
[00:00:00.000 --> 00:00:06.000]  在近年尾的時候,我們跟大家思想一下
[00:00:06.000 --> 00:00:12.000]  2015年有什麼態度要預備,或者有什麼態度要面對
[00:00:12.000 --> 00:00:20.000]  有些人說2014年的經濟已經是最好的
[00:00:20.000 --> 00:00:28.000]  即是接下來的一半,當然這是預測,不知道你的預測是怎樣
[00:00:28.000 --> 00:00:36.000]  每年做預測的經濟學人雜誌,又再度預測明年的狀況
[00:00:36.000 --> 00:00:40.000]  因為他的預測是每年大部分都準確
[00:00:40.000 --> 00:00:47.000]  所以這幾年的預測,簡直是很多報章都會馬上報導
[00:00:47.000 --> 00:00:53.000]  我選了幾個跟大家思考一下,會不會真的會這樣發生
[00:00:53.000 --> 00:01:00.000]  第一個就是美國的新政局,以一個美國優先的政策走先
[00:01:00.000 --> 00:01:04.000]  會不會影響到地緣政治呢?
[00:01:04.000 --> 00:01:11.000]  會不會加劇了一些緊張的局勢,令到他升溫呢?
[00:01:11.000 --> 00:01:17.000]  另一個令各國都受影響的國家,除了日本之外
[00:01:17.000 --> 00:01:23.000]  受影響的國家都很緊張關稅,美國說要加關稅
[00:01:23.000 --> 00:01:33.000]  因為這個新制沒有什麼科學標準,純粹是看美國領導人覺得加多少就多少
[00:01:33.000 --> 00:01:43.000]  令到不只是外商,連美國的商人都擔心這個情況
[00:01:43.000 --> 00:01:51.000]  另外我們發覺近幾年,潔淨能源的熱潮越來越厲害
[00:01:51.000 --> 00:01:58.000]  尤其是太陽能電板,越來越多國家有這個需求
[00:01:58.000 --> 00:02:06.000]  接下來這些潔淨能源能不能再成為一個熱捧呢?
[00:02:06.000 --> 00:02:16.000]  第四個就是加了關稅之後,我們很自然會想起有通脹
[00:02:16.000 --> 00:02:23.000]  這個通脹會不會又阻礙了一些經濟增長的情況呢?
[00:02:23.000 --> 00:02:27.000]  另一個就是高齡化和人口結構的情況
[00:02:27.000 --> 00:02:42.000]  我們留意到不得不服,我們見到世界各地八九十歲的高齡人士都會去參選政府的高位
[00:02:42.000 --> 00:02:47.000]  所以在座的我們每一個都很年輕,我們還有得拼的
