
[00:00:00.000 --> 00:00:02.000]  大影子妹平安
[00:00:02.000 --> 00:00:09.800]  我們今天來到繼承者們這個港島系列的尾二一講
[00:00:09.800 --> 00:00:12.200]  如果我沒有看錯的話
[00:00:12.200 --> 00:00:15.800]  也算是來到尾聲
[00:00:15.800 --> 00:00:19.200]  在預備這篇訊息之前
[00:00:19.200 --> 00:00:22.600]  我也特別問過你們堂所的同工
[00:00:22.600 --> 00:00:27.800]  其實當初Paul想這個系列到底想說什麼
[00:00:27.800 --> 00:00:33.400]  後來我發現,可能我全認識他
[00:00:33.400 --> 00:00:36.800]  作者已經不在了
[00:00:36.800 --> 00:00:42.200]  但當我想像他去選擇這個港島系列的時候
[00:00:42.200 --> 00:00:45.400]  其實他可能也是帶著一些想法
[00:00:45.400 --> 00:00:49.400]  就是將在座的每一位視為一個將要繼承
[00:00:49.400 --> 00:00:53.800]  和進入一個應去之地的一班繼承者
[00:00:53.800 --> 00:00:56.800]  所以就是在看你們作為一班繼承者
[00:00:56.800 --> 00:01:02.800]  姑且當我的推測是對的才算
[00:01:02.800 --> 00:01:04.800]  所以在座的繼承者們
[00:01:04.800 --> 00:01:09.800]  你們聽完接近三個月的約書亞記系列
[00:01:09.800 --> 00:01:13.800]  你們感覺如何呢?
[00:01:13.800 --> 00:01:18.800]  我真的很坦白,我沒有機會重溫每一次
[00:01:18.800 --> 00:01:22.800]  這三個月來每一篇的這個系列的港島
[00:01:22.800 --> 00:01:26.800]  但只是我們看回約書亞記
[00:01:26.800 --> 00:01:29.800]  或者看回每一次這個港島系列的題目
[00:01:29.800 --> 00:01:33.800]  我不知道你們會不會有一種負擔很重的感覺
[00:01:33.800 --> 00:01:37.800]  你會不會覺得要繼承,要進入這個應許之地
[00:01:37.800 --> 00:01:42.800]  這個使命實在是很大很難
[00:01:42.800 --> 00:01:43.800]  為什麼我會這樣說呢?
[00:01:43.800 --> 00:01:46.800]  因為在約書亞記或者甚至你有印象
[00:01:46.800 --> 00:01:48.800]  在舊約大部分的書卷裏面
[00:01:48.800 --> 00:01:52.800]  裏面繪畫出的耶和華的形象
[00:01:52.800 --> 00:01:54.800]  他的要求實在太高了
[00:01:54.800 --> 00:01:57.800]  他很嚴謹,尤其對於罪,對於偶像
[00:01:57.800 --> 00:02:00.800]  對於那些不遵守他的旨意的人
[00:02:00.800 --> 00:02:01.800]  很嚴謹
[00:02:01.800 --> 00:02:05.800]  經文甚至會說他是一個忌邪的上帝
[00:02:05.800 --> 00:02:08.800]  他是一個極度賞罰分明的上帝
[00:02:08.800 --> 00:02:11.800]  整個約書亞記給我們的印象就是
[00:02:11.800 --> 00:02:14.800]  那些要繼承這個應許之地的以色列人
[00:02:14.800 --> 00:02:17.800]  他們不可以有絲毫的行差踏錯
[00:02:17.800 --> 00:02:21.800]  一旦行錯一點點就殺身之禍
[00:02:21.800 --> 00:02:24.800]  所以可能給我們的感覺是
[00:02:24.800 --> 00:02:27.800]  我真的好像在走鋼線一樣
[00:02:27.800 --> 00:02:29.800]  一不小心走錯一點點
[00:02:29.800 --> 00:02:31.800]  跌下去我就粉身碎骨
[00:02:31.800 --> 00:02:37.800]  如果說今天我們就是一班現代的繼承者
[00:02:37.800 --> 00:02:40.800]  可能這個都會為你帶來相當的壓力
[00:02:40.800 --> 00:02:42.800]  真的要求很高
[00:02:42.800 --> 00:02:44.800]  真的要這麼嚴謹嗎?
[00:02:44.800 --> 00:02:48.800]  如果是這樣的話,不如留給另一個
[00:02:48.800 --> 00:02:50.800]  我還是下次吧
[00:02:50.800 --> 00:02:54.800]  今天我們會看的經文的部分
[00:02:54.800 --> 00:02:58.800]  是去到《事詩記》的第一和第二章的開始
[00:02:58.800 --> 00:03:02.800]  你可能會問,不是只有約書亞記嗎?
[00:03:02.800 --> 00:03:04.800]  但如果仔細看,其實在內容上
[00:03:04.800 --> 00:03:07.800]  《事詩記》內容上是接觸著約書亞記的
[00:03:07.800 --> 00:03:09.800]  我相信在設計這個系列的時候
[00:03:09.800 --> 00:03:11.800]  其實唐公也是想藉著
[00:03:11.800 --> 00:03:15.800]  或者帶我們去看《事詩記》的開始部分
[00:03:15.800 --> 00:03:17.800]  讓大家有機會看看
[00:03:17.800 --> 00:03:20.800]  在約書亞死之前就說了這麼多
[00:03:20.800 --> 00:03:23.800]  到底約書亞死了之後
[00:03:23.800 --> 00:03:26.800]  那班以色列人的故事是如何發展的
[00:03:26.800 --> 00:03:28.800]  他們迎來了一個怎樣的結局呢?
[00:03:28.800 --> 00:03:31.800]  今天經文有四十多章,很長
[00:03:31.800 --> 00:03:33.800]  我不會逐一跟大家讀
[00:03:33.800 --> 00:03:34.800]  我只是分了幾個段落
[00:03:34.800 --> 00:03:37.800]  跟大家很快地講解
[00:03:37.800 --> 00:03:39.800]  《事詩記》是如何開始的呢?
[00:03:39.800 --> 00:03:41.800]  是由兩段引言開始
[00:03:41.800 --> 00:03:43.800]  今天我們看其中一段
[00:03:43.800 --> 00:03:46.800]  《尚文》,即約書亞記的最後
[00:03:46.800 --> 00:03:49.800]  約書亞記的最後提到約書亞
[00:03:49.800 --> 00:03:52.800]  即約書亞他自己已經離開了這個世界
[00:03:52.800 --> 00:03:56.800]  那時候,以色列人仍然身處在迦南地以外
[00:03:56.800 --> 00:03:58.800]  我們經常說,他要去英許支地
[00:03:58.800 --> 00:03:59.800]  英許支地,英許支地
[00:03:59.800 --> 00:04:02.800]  說了很久,又抽籤要分地
[00:04:02.800 --> 00:04:04.800]  但其實,到約書亞死的時候
[00:04:04.800 --> 00:04:07.800]  他們仍未正式進入迦南地
[00:04:07.800 --> 00:04:10.800]  即是抽籤要拿取的那塊地
[00:04:10.800 --> 00:04:15.800]  他們仍未正式將本來居住在迦南地的外族
[00:04:15.800 --> 00:04:16.800]  正式說出來
[00:04:16.800 --> 00:04:19.800]  仍未正式搬進去那個地方
