
[00:00:00.000 --> 00:00:04.400]  大家好,似乎我的拋開還有些問題
[00:00:04.400 --> 00:00:07.200]  不過不要緊,我先介紹一下自己
[00:00:07.200 --> 00:00:12.200]  因為我看到有些我不太認識的面孔
[00:00:12.200 --> 00:00:15.700]  我叫古群幸
[00:00:15.700 --> 00:00:19.000]  姓古的古天樂,最近很紅的那位
[00:00:19.000 --> 00:00:23.200]  姓古,一群人的群,幸花村的幸
[00:00:23.200 --> 00:00:26.200]  古群幸村的幸,哎,就是看到這個了
[00:00:26.200 --> 00:00:31.200]  我的英文名叫Shirley,S-H-E-L-L-Y
[00:00:31.200 --> 00:00:34.200]  大家通常叫我Shirley
[00:00:34.200 --> 00:00:38.200]  我是青少年童工的其中一個區域
[00:00:38.200 --> 00:00:43.200]  我主要在沙田圍服務青少年
[00:00:43.200 --> 00:00:47.200]  今天來到當中分享
[00:00:47.200 --> 00:00:51.200]  話說,我不是很記得
[00:00:51.200 --> 00:00:54.200]  今天原來去上了19樓
[00:00:54.200 --> 00:00:57.200]  繼續正常地預備這篇講章的時候
[00:00:57.200 --> 00:00:59.200]  突然有一天,我看到樓下
[00:00:59.200 --> 00:01:01.200]  不知道大家有沒有看到壁報板
[00:01:01.200 --> 00:01:03.200]  那個療癒的那個
[00:01:03.200 --> 00:01:07.200]  我就想,咦,是不是這個星期六?
[00:01:07.200 --> 00:01:10.200]  之後我就去問Hazel
[00:01:10.200 --> 00:01:14.200]  是不是這個星期六上了19樓變了2點半?
[00:01:14.200 --> 00:01:17.200]  她說,是啊是啊,幸好我問了一問
[00:01:17.200 --> 00:01:19.200]  應該會下了8樓
[00:01:19.200 --> 00:01:22.200]  然後看到什麼人都沒有
[00:01:22.200 --> 00:01:26.200]  所以很開心今天可以見到大家
[00:01:26.200 --> 00:01:30.200]  今天是一個新的講道
[00:01:30.200 --> 00:01:34.200]  就是立陸家教我做門徒
[00:01:34.200 --> 00:01:37.200]  然後奉差遣的門徒
[00:01:37.200 --> 00:01:41.200]  在進入經文之前
[00:01:41.200 --> 00:01:44.200]  我想先問大家一些問題
[00:01:44.200 --> 00:01:47.200]  奉差遣的門徒
[00:01:47.200 --> 00:01:49.200]  說明奉差遣
[00:01:49.200 --> 00:01:55.200]  即是有些任務交給門徒要去做
[00:01:55.200 --> 00:01:58.200]  於是在開始之前
[00:01:58.200 --> 00:02:00.200]  我想先問大家一些問題
[00:02:00.200 --> 00:02:04.200]  就是你們過去
[00:02:04.200 --> 00:02:06.200]  請向上,上翻臉
[00:02:06.200 --> 00:02:08.200]  先不要下
[00:02:08.200 --> 00:02:11.200]  這樣就打亂了
[00:02:11.200 --> 00:02:13.200]  我記一下
[00:02:13.200 --> 00:02:16.200]  首先大家從小到大
[00:02:16.200 --> 00:02:20.200]  應該都接受過不少吩咐
[00:02:20.200 --> 00:02:22.200]  命令
[00:02:22.200 --> 00:02:24.200]  或者可以稱之為拜託你
[00:02:24.200 --> 00:02:26.200]  請求你
[00:02:26.200 --> 00:02:28.200]  拍肩膀
[00:02:28.200 --> 00:02:30.200]  幫幫手
[00:02:30.200 --> 00:02:31.200]  去做事的
[00:02:31.200 --> 00:02:33.200]  叫你幫忙去完成某件事
[00:02:33.200 --> 00:02:35.200]  或者去做某種任務
[00:02:35.200 --> 00:02:37.200]  完成某種任務
[00:02:37.200 --> 00:02:41.200]  當你接到這些吩咐命令的時候
[00:02:41.200 --> 00:02:46.200]  你通常會以什麼態度去面對呢?
[00:02:46.200 --> 00:02:50.200]  最近很流行MBTI
[00:02:50.200 --> 00:02:52.200]  我看一看
[00:02:52.200 --> 00:02:56.200]  還未可以,先不要下
[00:02:56.200 --> 00:02:59.200]  麻煩之後說下一張
[00:02:59.200 --> 00:03:01.200]  你幫我按
[00:03:01.200 --> 00:03:04.200]  我們就看看
[00:03:04.200 --> 00:03:09.200]  不同的人面對的態度又會怎樣
[00:03:09.200 --> 00:03:11.200]  大家熟不熟悉MBTI?
[00:03:11.200 --> 00:03:13.200]  應該熟悉吧?
[00:03:13.200 --> 00:03:15.200]  應該有些人已經做過不知多少次
[00:03:15.200 --> 00:03:18.200]  又很熟悉自己的MBTI是什麼
[00:03:18.200 --> 00:03:21.200]  今天我當然不會十六種人格
[00:03:21.200 --> 00:03:23.200]  逐一跟大家看
[00:03:23.200 --> 00:03:25.200]  我大致分成四個部分
[00:03:25.200 --> 00:03:27.200]  麻煩下一張
[00:03:27.200 --> 00:03:33.200]  我現在大略解釋一下
[00:03:33.200 --> 00:03:36.200]  看看你聽起來自己像哪樣
[00:03:36.200 --> 00:03:40.200]  首先面對吩咐或命令的時候
[00:03:40.200 --> 00:03:43.200]  視乎你是I型還是E型
[00:03:43.200 --> 00:03:45.200]  即是內向型還是外向型
[00:03:45.200 --> 00:03:47.200]  如果是內向型
[00:03:47.200 --> 00:03:50.200]  首先聽到命令會放在心裡
[00:03:50.200 --> 00:03:52.200]  需要一點時間去消化
[00:03:52.200 --> 00:03:54.200]  去思考
[00:03:54.200 --> 00:03:56.200]  想了一段時間之後
[00:03:56.200 --> 00:03:58.200]  再去發表自己的意見
[00:03:58.200 --> 00:04:00.200]  說一下自己的想法
[00:04:00.200 --> 00:04:02.200]  但外向型E人
[00:04:02.200 --> 00:04:04.200]  應該聽到命令之後
[00:04:04.200 --> 00:04:09.200]  會立即發表自己的意見
[00:04:09.200 --> 00:04:11.200]  我覺得應該是這樣的
