
[00:00:00.000 --> 00:00:04.000]  好,再等一會兒。
[00:00:04.000 --> 00:00:06.000]  好,出了我的名字了。
[00:00:06.000 --> 00:00:08.000]  繼承者們題拍了。
[00:00:08.000 --> 00:00:12.000]  繼承者們,繼承者,今天我講誰呢?
[00:00:12.000 --> 00:00:16.000]  主題是專心跟從耶和華。
[00:00:16.000 --> 00:00:18.000]  我講的是加勒。
[00:00:18.000 --> 00:00:20.000]  加勒是誰呢?
[00:00:20.000 --> 00:00:25.000]  加勒在希伯來文的翻譯是狗。
[00:00:25.000 --> 00:00:27.000]  他真的是狗。
[00:00:27.000 --> 00:00:33.000]  狗,但是狗是很忠心的,對人類來說,是很忠心的動物。
[00:00:33.000 --> 00:00:39.000]  記得我小時候,我住在木屋區,我養了隻糖狗,黑色的。
[00:00:39.000 --> 00:00:43.000]  我逢上學,那時候很小,我放學的時候牠衝出來,
[00:00:43.000 --> 00:00:47.000]  不停舔我,我最怕口水,我就推開牠,
[00:00:47.000 --> 00:00:50.000]  不過牠很黏身,跟著我走,
[00:00:50.000 --> 00:00:54.000]  但有一段時間就不見了牠,我很擔心牠不知道去了哪裡。
[00:00:54.000 --> 00:00:59.000]  後來爸爸媽媽跟我說,木屋區有很多人吃狗,
[00:00:59.000 --> 00:01:03.000]  我馬上哭了,我真的很討厭人吃狗。
[00:01:03.000 --> 00:01:07.000]  因為那個年代是很多人宰狗吃的,
[00:01:07.000 --> 00:01:11.000]  所以媽媽說可能狗被人抓去宰了,
[00:01:11.000 --> 00:01:15.000]  他們說糖狗是最好吃的,我不知道,
[00:01:15.000 --> 00:01:18.000]  但我那時候就很討厭那些人。
[00:01:18.000 --> 00:01:24.000]  然後,忠心之外,專心,所以一隻狗,不要說狗,
[00:01:24.000 --> 00:01:28.000]  專心,看專心的對著什麼,
[00:01:28.000 --> 00:01:32.000]  不知道大家是不是專心打機,專心做什麼呢?
[00:01:32.000 --> 00:01:36.000]  當你專心會怎樣?會全情投入裡面,
[00:01:36.000 --> 00:01:40.000]  但如果有人煩著你,你會怎樣?
[00:01:40.000 --> 00:01:43.000]  我經常媽媽騷擾我的時候,
[00:01:43.000 --> 00:01:49.000]  不要煩我,不要搞我,專心就是這樣。
[00:01:49.000 --> 00:01:53.000]  所以專心是對你做的那件事,
[00:01:53.000 --> 00:01:59.000]  但現在是跟從耶和華,其實有一個專一的,
[00:01:59.000 --> 00:02:04.000]  應該翻譯是專一的,專一對著誰呢?
[00:02:04.000 --> 00:02:07.000]  我沒理由說專心對著我老婆,
[00:02:07.000 --> 00:02:11.000]  我當然是專一對著我老婆,我沒理由專心對著我老婆,
[00:02:11.000 --> 00:02:16.000]  我專一對著我老婆,我專一對著耶和華,
[00:02:16.000 --> 00:02:21.000]  但其實原文講專心是解什麼呢?
[00:02:21.000 --> 00:02:29.000]  它解充滿,什麼叫充滿呢?
[00:02:29.000 --> 00:02:35.000]  李思敬博士就很簡單四個字,
[00:02:35.000 --> 00:02:45.000]  全神貫注,即是將你心思意念充滿你自己去貫注我們這位上帝。
[00:02:45.000 --> 00:02:48.000]  今天講迦勒的人物的時候,
[00:02:48.000 --> 00:02:55.000]  我看迦勒怎樣專心去仰望耶和華,
[00:02:55.000 --> 00:03:01.000]  我想請一位弟兄或姐妹上來幫我讀,好不好?
[00:03:01.000 --> 00:03:10.000]  我年輕時,勇敢一點,有沒有?
[00:03:10.000 --> 00:03:18.000]  我年輕時,可你一下我,是啦,勇敢一點,來!
[00:03:18.000 --> 00:03:20.000]  我不想大家讀,為什麼呢?
[00:03:20.000 --> 00:03:25.000]  因為我想大家專心聽神的話語,好不好?
[00:03:25.000 --> 00:03:41.000]  來!給點勇氣,就笑那個姐妹,勇氣,OK的,給點掌聲鼓勵她,幫我讀,
[00:03:41.000 --> 00:03:48.000]  兩版的,你慢慢讀,有兩版的你慢慢讀,
[00:03:48.000 --> 00:03:52.000]  不用這麼快,一個字一個字,讓他們清楚,
[00:03:52.000 --> 00:03:56.000]  你最重要是聆聽,細心聆聽,好不好?
[00:03:56.000 --> 00:03:58.000]  我們給點掌聲鼓勵她。
[00:03:58.000 --> 00:04:04.000]  約書亞記十四章六至十五節,
[00:04:04.000 --> 00:04:33.000]  (中文翻譯)
[00:04:33.000 --> 00:05:01.000]  (中文翻譯)
[00:05:01.000 --> 00:05:11.000]  (中文翻譯)
[00:05:11.000 --> 00:05:22.000]  (中文翻譯)
[00:05:22.000 --> 00:05:49.000]  (中文翻譯)
[00:05:49.000 --> 00:06:09.000]  (中文翻譯)
