
[00:00:00.000 --> 00:00:02.000]  各位頂姐妹請坐
[00:00:02.000 --> 00:00:04.000]  是
[00:00:04.000 --> 00:00:06.000]  不需要多介紹
[00:00:06.000 --> 00:00:08.000]  又是我阿榮
[00:00:08.000 --> 00:00:10.000]  來講道
[00:00:10.000 --> 00:00:12.000]  今天講的經文
[00:00:12.000 --> 00:00:14.000]  就是世代延續
[00:00:14.000 --> 00:00:18.000]  倚靠上帝大令和公認
[00:00:18.000 --> 00:00:20.000]  什麼叫倚靠呢
[00:00:20.000 --> 00:00:22.000]  我只知道
[00:00:22.000 --> 00:00:24.000]  教會有很多基督徒
[00:00:24.000 --> 00:00:26.000]  都是當有很大困難的時候
[00:00:26.000 --> 00:00:28.000]  就經常回來教會
[00:00:28.000 --> 00:00:32.000]  經常見到他們回來教會
[00:00:32.000 --> 00:00:34.000]  最勤力就是祈禱
[00:00:34.000 --> 00:00:36.000]  回來祈禱
[00:00:36.000 --> 00:00:40.000]  但當他們風調雨順的時候
[00:00:40.000 --> 00:00:42.000]  就不回來
[00:00:42.000 --> 00:00:44.000]  我見到有很多
[00:00:44.000 --> 00:00:48.000]  上帝求女給我兒子
[00:00:48.000 --> 00:00:50.000]  給我女兒
[00:00:50.000 --> 00:00:52.000]  誰知有了兒子有了女兒
[00:00:52.000 --> 00:00:54.000]  上帝說我回不來
[00:00:54.000 --> 00:00:56.000]  因為兒子忙
[00:00:56.000 --> 00:00:58.000]  我回不來
[00:00:58.000 --> 00:01:00.000]  對不對
[00:01:00.000 --> 00:01:02.000]  聽到有人說不對
[00:01:02.000 --> 00:01:04.000]  還有
[00:01:04.000 --> 00:01:06.000]  上帝的公認也有比較
[00:01:06.000 --> 00:01:08.000]  經常聽人說
[00:01:08.000 --> 00:01:10.000]  有人跟我說
[00:01:10.000 --> 00:01:12.000]  阿榮你見到很多上帝的恩典
[00:01:12.000 --> 00:01:14.000]  我慘你不知道
[00:01:14.000 --> 00:01:18.000]  你一年四次去日本玩
[00:01:18.000 --> 00:01:22.000]  我一年四次去什麼
[00:01:22.000 --> 00:01:24.000]  我不是說在娛樂園工作
[00:01:24.000 --> 00:01:26.000]  不是一年四次
[00:01:26.000 --> 00:01:28.000]  一年都在娛樂園工作
[00:01:28.000 --> 00:01:30.000]  所以說
