
[00:00:00.000 --> 00:00:06.000]  大家都很熟悉約伯記
[00:00:06.000 --> 00:00:08.000]  約伯是一個好人
[00:00:08.000 --> 00:00:11.000]  有一天,神試念他
[00:00:11.000 --> 00:00:15.000]  他失去一切
[00:00:15.000 --> 00:00:18.000]  甚至他的兒女也死了
[00:00:18.000 --> 00:00:21.000]  他有三個朋友來探望他
[00:00:21.000 --> 00:00:23.000]  本來要安慰他
[00:00:23.000 --> 00:00:27.000]  但一直聊天時反而吵架
[00:00:27.000 --> 00:00:30.000]  使約伯很不開心
[00:00:30.000 --> 00:00:35.000]  最後他甚至想蝕下神
[00:00:35.000 --> 00:00:43.000]  因為他和三個朋友都假設了報應神學
[00:00:43.000 --> 00:00:48.000]  中國人說好人有好報
[00:00:48.000 --> 00:00:51.000]  既然他有這個結果
[00:00:51.000 --> 00:00:55.000]  所以他三個朋友都界定他一定做錯了
[00:00:55.000 --> 00:00:57.000]  他們一味跟他說
[00:00:57.000 --> 00:01:00.000]  你認罪了,一定做錯了
[00:01:00.000 --> 00:01:03.000]  約伯實在是這樣想
[00:01:03.000 --> 00:01:06.000]  但他知道自己沒有做錯
[00:01:06.000 --> 00:01:08.000]  所以他想認也沒有辦法
[00:01:08.000 --> 00:01:11.000]  所以他和三個朋友爭論
[00:01:11.000 --> 00:01:17.000]  很明顯他們幾個人沒有讀過第十五節的經文
[00:01:17.000 --> 00:01:21.000]  因為如果讀過,他會發覺原來不一定是這樣
[00:01:21.000 --> 00:01:28.000]  約伯的故事可以說是大團圓結局
[00:01:28.000 --> 00:01:29.000]  為什麼呢?
[00:01:29.000 --> 00:01:31.000]  最後神祝福他
[00:01:31.000 --> 00:01:35.000]  他有雙倍的財產
[00:01:35.000 --> 00:01:41.000]  但不是每個人的故事都是大團圓結局
[00:01:41.000 --> 00:01:46.000]  傳道者今天這段經文教導我們
[00:01:46.000 --> 00:01:49.000]  當不是大團圓結局時又如何呢?
[00:01:49.000 --> 00:01:52.000]  不是每個人都像約伯一樣
[00:01:52.000 --> 00:01:54.000]  很多不是
[00:01:54.000 --> 00:01:58.000]  傳道者教導我們如何面對這樣的情況
[00:01:58.000 --> 00:02:01.000]  有兩個基本上的解釋
[00:02:01.000 --> 00:02:04.000]  一個解釋,剛才那段經文讀出來
[00:02:04.000 --> 00:02:06.000]  不知道大家讀出來後有沒有少少驚訝
[00:02:06.000 --> 00:02:09.000]  如果沒有,我一邊講下去,你就知道為什麼這麼驚訝
[00:02:09.000 --> 00:02:12.000]  一個是不要自以為是
[00:02:12.000 --> 00:02:14.000]  不要自以為有智慧
[00:02:14.000 --> 00:02:16.000]  即是假的
[00:02:16.000 --> 00:02:20.000]  兩個都是假的
[00:02:20.000 --> 00:02:22.000]  有沒有可能呢?
[00:02:22.000 --> 00:02:23.000]  實在有可能
[00:02:23.000 --> 00:02:25.000]  反而容易解釋
[00:02:25.000 --> 00:02:27.000]  自以為是,你不是這麼行義
[00:02:27.000 --> 00:02:29.000]  只是以為自己行義
[00:02:29.000 --> 00:02:31.000]  不是這麼智慧,只是以為自己是智慧
[00:02:31.000 --> 00:02:33.000]  實在更容易解釋
[00:02:33.000 --> 00:02:35.000]  但有一個問題在這裡
[00:02:35.000 --> 00:02:43.000]  問題是希伯來文不容許我們說它純粹是自以為是
[00:02:43.000 --> 00:02:46.000]  因為那是公義的字
[00:02:46.000 --> 00:02:48.000]  我們翻譯是行義
[00:02:48.000 --> 00:02:50.000]  實在的不是行義
[00:02:50.000 --> 00:02:54.000]  是不要過份公義
[00:02:54.000 --> 00:02:56.000]  它沒有說是行的字
[00:02:56.000 --> 00:02:58.000]  可能有其他東西
[00:02:58.000 --> 00:03:00.000]  另外那個是反而可以
[00:03:00.000 --> 00:03:02.000]  有智慧的就可以
[00:03:02.000 --> 00:03:05.000]  希伯來文可以有這個意思
[00:03:05.000 --> 00:03:06.000]  還有
