
[00:00:00.000 --> 00:00:09.000]  各位弟兄姊妹,大家平安
[00:00:09.000 --> 00:00:18.000]  很感恩今天有機會在當中跟大家分享上帝自己的話語
[00:00:18.000 --> 00:00:27.000]  不經不覺,我們今年亞摩斯的講道系列已經很快進入第四講
[00:00:27.000 --> 00:00:35.000]  今天講道的題目是「上帝出手了,你們仍不歸向我」
[00:00:35.000 --> 00:00:40.000]  經文是記載在亞摩斯書四章裏面
[00:00:40.000 --> 00:00:46.000]  一開始的時候,我們首先很快回顧一下
[00:00:46.000 --> 00:00:51.000]  在這個系列的頭三講的內容的重點
[00:00:51.000 --> 00:00:59.000]  在第一講的時候,首先提到在以色列王耶羅波安在位的時候
[00:00:59.000 --> 00:01:04.000]  當時是一個來自南國猶大國的木人
[00:01:04.000 --> 00:01:14.000]  亞摩斯受到神的呼召,要他去到北國以色列國傳道
[00:01:14.000 --> 00:01:25.000]  亞摩斯書一開始的時候,先講的是圍繞著以色列的鄰國
[00:01:25.000 --> 00:01:31.000]  他們國與國之間發生了很多殘暴不義的事情
[00:01:31.000 --> 00:01:36.000]  然後是Karen的第二講和Raymond的第三講
[00:01:36.000 --> 00:01:42.000]  帶我們進入這本書的真正核心內容
[00:01:42.000 --> 00:01:49.000]  就是當時以色列國正值國家繁榮安定
[00:01:49.000 --> 00:01:57.000]  當這些以色列人以為神賜福給他們的徵兆的時候
[00:01:57.000 --> 00:02:01.000]  亞摩斯就像來一個反高潮
[00:02:01.000 --> 00:02:06.000]  告訴我們原來這些所謂的繁榮美麗背後
[00:02:06.000 --> 00:02:18.000]  其實以色列國內的人也在做很多不公義和欺壓貧窮人的事情
[00:02:18.000 --> 00:02:24.000]  原來以色列人一直都在遠離上帝的心意
[00:02:24.000 --> 00:02:29.000]  今天到了第四講,聖經讓我們看到
[00:02:29.000 --> 00:02:32.000]  上帝在這個時候終於出手了
[00:02:32.000 --> 00:02:37.000]  他的管教終於臨到以色列人身上
[00:02:37.000 --> 00:02:42.000]  所以很盼望今天我們一起在信息裡
[00:02:42.000 --> 00:02:47.000]  在上帝的話語裡幫助我們去審查
[00:02:47.000 --> 00:02:52.000]  我們自己生命裡一些上帝所不起悅我們的事情
[00:02:52.000 --> 00:02:55.000]  同時間我們也一起去認識
[00:02:55.000 --> 00:03:02.000]  在上帝的管教背後究竟神的那份心意是怎樣的呢?
