
[00:00:00.000 --> 00:00:03.640]  歡迎大家回到我們清善崇拜
[00:00:03.640 --> 00:00:10.920]  很感謝敬拜隊讓我們能夠預備心靈進入聽上帝的話
[00:00:10.920 --> 00:00:16.320]  也給一些掌聲我們的影音部門
[00:00:16.320 --> 00:00:22.000]  今天我們的營是由我們自己年輕的弟兄姊妹負責的
[00:00:22.000 --> 00:00:23.320]  是不是看不出來?
[00:00:23.320 --> 00:00:24.840]  是不是?很厲害吧?
[00:00:24.840 --> 00:00:26.360]  真的非常厲害
[00:00:26.360 --> 00:00:32.800]  如果你有興趣也很想學怎樣去操作這些器材
[00:00:32.800 --> 00:00:35.560]  你也可以跟我們同工聯絡
[00:00:35.560 --> 00:00:37.800]  我們也可以安排一些訓練給你們
[00:00:37.800 --> 00:00:39.760]  也感謝影音的同工
[00:00:39.760 --> 00:00:45.880]  他們將他們專業的知識教授給我們一班年輕人
[00:00:45.880 --> 00:00:49.440]  開始我們今天的講道
[00:00:49.440 --> 00:00:54.840]  今天我們終於進入一個新的系列
[00:00:54.840 --> 00:00:59.840]  之前我們曾經說過一個無盡旅途的系列
[00:00:59.840 --> 00:01:02.200]  因為疫情的關係
[00:01:02.200 --> 00:01:07.600]  我們中間就讓一些港元自由定他們想說的題目
[00:01:07.600 --> 00:01:10.000]  到這個月開始
[00:01:10.000 --> 00:01:14.160]  我們會說一個題目或系列叫One Thing
[00:01:14.160 --> 00:01:17.840]  為什麼會選擇這個系列呢?
[00:01:17.840 --> 00:01:19.240]  我寫了一段文章
[00:01:19.240 --> 00:01:21.400]  也在IG上發布了
[00:01:22.080 --> 00:01:25.400]  很多時候我們會聽過一些問題
[00:01:25.400 --> 00:01:28.160]  如果明天是世界末日
[00:01:28.160 --> 00:01:33.520]  你在這一天最想做的是哪一件事呢?
[00:01:33.520 --> 00:01:38.480]  這些問題我們經常在年輕的時候都會接觸到
[00:01:38.480 --> 00:01:40.600]  是用來提醒我們
[00:01:40.600 --> 00:01:43.400]  人生最重要的是什麼
[00:01:43.400 --> 00:01:45.040]  給我們做一些反省
[00:01:45.040 --> 00:01:47.800]  如果放在我們的信仰裡面
[00:01:47.800 --> 00:01:53.880]  我們都預測到信仰的自由和宗教的自由會慢慢收窄
[00:01:53.880 --> 00:02:02.040]  如果將來這個政權只容許我們做一件事
[00:02:02.040 --> 00:02:03.800]  在信仰上
[00:02:03.800 --> 00:02:06.960]  信仰裡面哪件事是最重要的呢?
[00:02:06.960 --> 00:02:09.520]  我們從經文
[00:02:09.520 --> 00:02:13.240]  在上帝或歷代屬靈位人的眼中
[00:02:13.240 --> 00:02:16.080]  哪一件事是最看重的呢?
[00:02:16.080 --> 00:02:19.480]  在聖經裡面我找了六段中文的聖經
[00:02:19.480 --> 00:02:22.920]  找了六段關於一件事的經文
[00:02:22.920 --> 00:02:24.680]  跟大家做一些反省
[00:02:24.680 --> 00:02:27.160]  盼望我們聽這些經文的時候
[00:02:27.160 --> 00:02:30.480]  能夠調教我們生活的排序、節奏
[00:02:30.480 --> 00:02:35.960]  以致我們的心能夠緊緊跟隨上帝的新政的心意
[00:02:35.960 --> 00:02:41.480]  接下來有五講
[00:02:41.480 --> 00:02:44.240]  都是關於「One Thing」
[00:02:44.240 --> 00:02:49.120]  「One Thing」其實是外國的一個特會的名字
[00:02:49.120 --> 00:02:51.920]  如果你認識的話
[00:02:51.920 --> 00:02:55.240]  我借了這個名字來做這個系列
[00:02:55.240 --> 00:02:58.600]  今天的題目叫做「反客為主」
[00:02:58.600 --> 00:02:59.760]  究竟是講什麼呢?
[00:02:59.760 --> 00:03:02.520]  經文是來自《路加福音十章》
[00:03:02.520 --> 00:03:04.320]  請聽我讀出
[00:03:04.320 --> 00:03:13.800]  「他們繼續前行,耶穌進了一個村莊,有一個女人名叫瑪大,接她到自己家裡,她有一個妹妹名叫瑪利亞,
[00:03:13.800 --> 00:03:16.760]  在主的腳前坐著,聽她的道。
[00:03:16.760 --> 00:03:21.080]  瑪大事後的事多,心裡忙亂,進前來說:
[00:03:21.080 --> 00:03:27.040]  主啊!我的妹妹留下我一個人事後,你不在意嗎?請吩咐她來幫助我。
[00:03:27.040 --> 00:03:34.880]  主回答說:瑪大!瑪大!你為許多事操心煩惱,但是不可少的只有一件:
[00:03:34.880 --> 00:03:41.680]  瑪利亞已經選擇了那上好的福分,是沒有人能從她奪去的。」
[00:03:41.680 --> 00:03:44.600]  經文其實不是很長,只是很短
[00:03:44.600 --> 00:03:46.920]  究竟他講了什麼呢?
[00:03:46.920 --> 00:03:52.520]  經文的第38節,即是第一節,他已經講了「他們繼續前行」
[00:03:52.520 --> 00:03:54.800]  「他們」就是指耶穌和他的門徒
[00:03:54.800 --> 00:03:58.000]  繼續前行,究竟前行是去哪裡呢?
[00:03:58.000 --> 00:04:02.640]  原來在《路加福音》裡面,你聽我經常說
[00:04:02.640 --> 00:04:05.480]  《路加福音》其實是一個旅程
[00:04:05.480 --> 00:04:13.600]  由加利利一些鄉村或外邦地區往耶路撒冷的旅程
[00:04:13.600 --> 00:04:19.600]  《路加》在這個旅程裡面,他用了差不多十章去記載這個旅程
[00:04:19.600 --> 00:04:24.880]  對比於其他馬可、馬太,《路加》的篇幅是比較長的
[00:04:24.880 --> 00:04:29.040]  因為他很想突顯信仰就像一個旅程
[00:04:29.040 --> 00:04:31.640]  正如我們講文數記也是一樣
[00:04:31.640 --> 00:04:38.640]  信仰就像一個旅程,裡面有些地方可能是提醒我們或是建立我們
[00:04:38.640 --> 00:04:41.600]  我們也要反省
[00:04:41.600 --> 00:04:45.440]  在這個旅程裡面,有很多學者去研究
[00:04:45.440 --> 00:04:47.560]  究竟他有什麼主題呢?
[00:04:47.560 --> 00:04:52.960]  裡面其實講過耶穌基督的身份究竟是怎樣
[00:04:52.960 --> 00:04:57.920]  或者上帝子民的定義,究竟哪些才是上帝的子民
[00:04:57.920 --> 00:05:01.880]  或者很多都是關於耶穌對門徒的教訓
[00:05:01.880 --> 00:05:04.920]  甚至是猶太人對福音的氣絕
[00:05:04.920 --> 00:05:14.640]  也有一些新派學者認為是在講耳塞亞書的一些新的出埃及旅程
[00:05:14.640 --> 00:05:18.760]  不論如何,其實信仰就是一個旅途
[00:05:18.760 --> 00:05:24.680]  在裡面會有一些攔阻我們去跟隨上帝的地方
[00:05:24.680 --> 00:05:27.680]  或者有些地方是幫助我們堅定心智
[00:05:27.680 --> 00:05:32.520]  所以我們去看經文的時候可以幫助我們做一些反省
[00:05:32.520 --> 00:05:36.760]  在《路加福音》,剛剛那段經文
[00:05:36.760 --> 00:05:39.120]  他們向前走去一個村莊
[00:05:39.120 --> 00:05:41.440]  究竟之前他們發生了什麼事呢?
[00:05:41.440 --> 00:05:42.960]  上文在講什麼呢?
[00:05:42.960 --> 00:05:48.800]  原來上文第十章二十五節有一個我們很熟悉的片段
