
[00:00:00.000 --> 00:00:04.160]  歡迎各位回來述拜
[00:00:04.160 --> 00:00:09.280]  剛剛開始之前都和幾位姐妹聊天
[00:00:09.280 --> 00:00:12.280]  今堂其實我都是等上的
[00:00:12.280 --> 00:00:14.280]  已經連續兩個星期
[00:00:14.280 --> 00:00:16.440]  也連續不知道幾個星期
[00:00:16.440 --> 00:00:18.200]  都是在我角度
[00:00:18.200 --> 00:00:22.480]  也都為教育徒工祈禱
[00:00:22.480 --> 00:00:28.200]  因為我們不斷都有強檢、化療、確診
[00:00:28.200 --> 00:00:31.480]  所以亂七八糟的事情
[00:00:31.480 --> 00:00:34.720]  希望下星期不用連續
[00:00:34.720 --> 00:00:36.720]  為我祈禱
[00:00:36.720 --> 00:00:40.840]  今日的題目仍然是環保綜合公司
[00:00:40.840 --> 00:00:44.120]  就是衝動到忍耐
[00:00:44.120 --> 00:00:54.240]  原本盧國榮的信息將會調到20號再去分享
[00:00:54.240 --> 00:00:57.200]  我很想他來分享
[00:00:57.200 --> 00:01:02.680]  所以我希望調配之後他都能繼續分享
[00:01:02.680 --> 00:01:04.480]  衝動到忍耐
[00:01:04.480 --> 00:01:06.480]  做下一些定義
[00:01:06.480 --> 00:01:08.480]  衝動是甚麼來的呢
[00:01:08.480 --> 00:01:10.960]  維基百科就這樣去定義
[00:01:10.960 --> 00:01:14.480]  衝動是純粹跟隨慾望等
[00:01:14.480 --> 00:01:16.480]  去做出行為的傾向
[00:01:16.480 --> 00:01:19.480]  表現出的行為特徵通常是很少
[00:01:19.480 --> 00:01:21.480]  或者根本沒有預先計劃
[00:01:21.480 --> 00:01:23.480]  反思或者考慮過後果
[00:01:23.480 --> 00:01:27.480]  如果用時間和效果來說
[00:01:27.480 --> 00:01:31.480]  其實衝動就是短期能夠得益
[00:01:31.480 --> 00:01:33.480]  但長期是受轉
[00:01:33.480 --> 00:01:35.480]  相反忍耐是甚麼呢
[00:01:35.480 --> 00:01:37.480]  忍耐希列文的自持
[00:01:37.480 --> 00:01:40.480]  本身是在不能避免的情況下
[00:01:40.480 --> 00:01:44.480]  為了將來的益處而停留在困難的處境裏
[00:01:44.480 --> 00:01:46.480]  講完都不知道在講甚麼
[00:01:46.480 --> 00:01:48.480]  簡單一點就是延遲滿足
[00:01:48.480 --> 00:01:50.480]  甚麼來的呢
[00:01:50.480 --> 00:01:53.480]  延遲滿足其實是一個心理的實驗
[00:01:53.480 --> 00:01:55.480]  可能大家都聽過或者看過
