
[00:00:00.000 --> 00:00:02.000]  感謝大家的等待
[00:00:02.000 --> 00:00:08.000]  大家好,歡迎大家回來UFAS
[00:00:08.000 --> 00:00:10.000]  繼續分享這個系列
[00:00:10.000 --> 00:00:12.000]  我們也分享了幾講
[00:00:12.000 --> 00:00:14.000]  發現因電系列
[00:00:14.000 --> 00:00:16.000]  而今天講的是治療的力量
[00:00:16.000 --> 00:00:20.000]  經文是來自希伯來書四章十四至十六節
[00:00:20.000 --> 00:00:23.000]  開始之前,問問大家
[00:00:23.000 --> 00:00:26.000]  最近網上有一個很流行的術語
[00:00:26.000 --> 00:00:28.000]  大家有沒有聽過
[00:00:28.000 --> 00:00:30.000]  初級大人
[00:00:30.000 --> 00:00:32.000]  有沒有人是初級大人
[00:00:32.000 --> 00:00:36.000]  有人點頭不敢揮手
[00:00:36.000 --> 00:00:38.000]  初級大人
[00:00:38.000 --> 00:00:40.000]  近來就是
[00:00:40.000 --> 00:00:42.000]  我也是初級大人,大家好,初級大人
[00:00:42.000 --> 00:00:47.000]  網上最近流行這個術語
[00:00:47.000 --> 00:00:49.000]  初級大人是說什麼呢
[00:00:49.000 --> 00:00:54.000]  是指那些人年紀已經去到三十歲上下
[00:00:54.000 --> 00:00:58.000]  其實遲些大家也會變成初級大人
[00:00:58.000 --> 00:01:01.000]  工作多年了
[00:01:01.000 --> 00:01:04.000]  甚至有些人已經獨立生活
[00:01:04.000 --> 00:01:06.000]  自己自主生活
[00:01:06.000 --> 00:01:08.000]  但在生活的時候
[00:01:08.000 --> 00:01:10.000]  突然間某一個瞬間
[00:01:10.000 --> 00:01:13.000]  你發現自己其實也不太懂得做大人
[00:01:13.000 --> 00:01:16.000]  所以可能報稅
[00:01:16.000 --> 00:01:18.000]  學校沒教過
[00:01:18.000 --> 00:01:22.000]  可能是各方面管理自己的財務
[00:01:22.000 --> 00:01:24.000]  或者是生活,管理自己的身體
[00:01:24.000 --> 00:01:26.000]  健康
[00:01:26.000 --> 00:01:28.000]  突然間發現有一個時刻
[00:01:28.000 --> 00:01:30.000]  我要回家問問怎樣做
[00:01:30.000 --> 00:01:33.000]  這個就是傳說中的初級大人
[00:01:33.000 --> 00:01:37.000]  我很共鳴這個術語
[00:01:37.000 --> 00:01:39.000]  有些人這樣說
[00:01:39.000 --> 00:01:44.000]  他說因為十八歲是生理成熟
[00:01:44.000 --> 00:01:46.000]  十八歲來說
[00:01:46.000 --> 00:01:49.000]  其實我只是一個十歲的大人
[00:01:49.000 --> 00:01:51.000]  三十歲就是十二歲
[00:01:51.000 --> 00:01:53.000]  我只是一個十二歲的大人
[00:01:53.000 --> 00:01:55.000]  我很年輕
[00:01:55.000 --> 00:01:57.000]  我是十歲的大人
[00:01:57.000 --> 00:02:02.000]  其實在這個過程中
[00:02:02.000 --> 00:02:04.000]  我也在想
[00:02:04.000 --> 00:02:06.000]  其實過了中學之後
[00:02:06.000 --> 00:02:10.000]  你突然間躍進大學生
[00:02:10.000 --> 00:02:12.000]  然後去到四五年之後
[00:02:12.000 --> 00:02:14.000]  這段時間
[00:02:14.000 --> 00:02:17.000]  其實我們的轉變是很大
[00:02:17.000 --> 00:02:21.000]  好像很多東西突然間要成長
[00:02:21.000 --> 00:02:23.000]  例如是甚麼呢
