
[00:00:00.000 --> 00:00:06.000]  各位網友,平安!歡迎大家來到少年堂的周六崇拜
[00:00:06.000 --> 00:00:12.000]  今天繼續和大家分享今年的主題,耶穌的比喻
[00:00:12.000 --> 00:00:16.000]  耶穌的比喻是在路加福音裡的七個耶穌的比喻
[00:00:16.000 --> 00:00:19.000]  這些比喻我相信大家或多或少都熟悉
[00:00:19.000 --> 00:00:22.000]  正如今天所說的比喻一樣
[00:00:22.000 --> 00:00:26.000]  今天的題目是「踏上回家之路」
[00:00:26.000 --> 00:00:30.000]  我不知道回家對大家來說有什麼感覺
[00:00:30.000 --> 00:00:35.000]  回家究竟讓我們思考信仰的生命
[00:00:35.000 --> 00:00:40.000]  是否我們的生命要再次回到父上的懷抱當中呢?
[00:00:40.000 --> 00:00:45.000]  今天的經文是路加福音第十五章十一至二十四節
[00:00:45.000 --> 00:00:47.000]  我們非常熟悉的經文
[00:00:47.000 --> 00:00:51.000]  「浪子回頭」的比喻,讓我先為大家讀出
[00:00:51.000 --> 00:00:56.000]  經文裡說,耶穌說一個人有兩個兒子
[00:00:56.000 --> 00:01:01.000]  小兒子對父親說:父親,請你把我應得的家業分給我
[00:01:01.000 --> 00:01:05.000]  他父親就把財產分給他們,過了不多幾天
[00:01:05.000 --> 00:01:08.000]  小兒子把他一切所有的都收拾起來
[00:01:08.000 --> 00:01:13.000]  往遠方去了,在那裡他任意放蕩浪費錢財
[00:01:13.000 --> 00:01:18.000]  他耗盡了一切所有的,又恰逢那地方有大饑荒
[00:01:18.000 --> 00:01:23.000]  就窮困起來,於是他去投靠當地的一個居民
[00:01:23.000 --> 00:01:26.000]  那人打發他到田裡去放豬
[00:01:26.000 --> 00:01:29.000]  他恨不得拿豬所吃的豆鴿充饑
[00:01:29.000 --> 00:01:32.000]  有沒有人給他什麼吃的?
[00:01:32.000 --> 00:01:37.000]  他醒不過來就說:我父親有多少的故宮糧食有餘?
[00:01:37.000 --> 00:01:39.000]  我倒在這裡餓死嗎?
[00:01:39.000 --> 00:01:42.000]  我要起來到我父親那裡去
[00:01:42.000 --> 00:01:46.000]  對他說:父親,我得罪了天,又得罪了你
[00:01:46.000 --> 00:01:50.000]  從今以後我不配稱為你的兒子
[00:01:50.000 --> 00:01:52.000]  把我當作一個故宮吧
[00:01:52.000 --> 00:01:56.000]  於是他起來往他父親那裡去,相離還遠
[00:01:56.000 --> 00:01:59.000]  他父親看見,就動了持心
[00:01:59.000 --> 00:02:02.000]  跑去擁抱著他連連的親他
[00:02:02.000 --> 00:02:06.000]  兒子對他說:父親,我得罪了天,又得罪了你
[00:02:06.000 --> 00:02:10.000]  從今以後我不配稱為你的兒子
[00:02:10.000 --> 00:02:14.000]  父親卻吩咐僕人,化把那上好的袍子拿來
[00:02:14.000 --> 00:02:17.000]  給他穿,把戒指戴在他的指頭上
[00:02:17.000 --> 00:02:19.000]  把鞋穿在他的腳上
[00:02:19.000 --> 00:02:21.000]  把那肥牛毒牽來載了
[00:02:21.000 --> 00:02:23.000]  我們來吃喝慶祝
[00:02:23.000 --> 00:02:27.000]  因為我這個兒子是死而復活,失而復得的
[00:02:27.000 --> 00:02:30.000]  他們就開始慶祝
[00:02:30.000 --> 00:02:34.000]  我想一個我們非常熟悉的一個比喻
[00:02:34.000 --> 00:02:37.000]  是說一個父親有兩個小兒子
[00:02:37.000 --> 00:02:41.000]  小兒子半役,當時要和父親分家產
[00:02:41.000 --> 00:02:44.000]  拿了錢後,就去吃喝快活
[00:02:44.000 --> 00:02:48.000]  結果花光錢,遇到大饑荒
[00:02:48.000 --> 00:02:50.000]  還要和豬搶食物
[00:02:50.000 --> 00:02:55.000]  結果就萌生一個回家的念頭
[00:02:55.000 --> 00:02:59.000]  一個回家的故事
[00:02:59.000 --> 00:03:03.000]  我不知道家對大家來說有什麼感覺
[00:03:03.000 --> 00:03:05.000]  想起家,你會想起什麼呢?
[00:03:05.000 --> 00:03:09.000]  回到家,通常我們都會做一件事
[00:03:09.000 --> 00:03:12.000]  或者在家中,我們經常都會做
[00:03:12.000 --> 00:03:15.000]  甚至一大群人一起做的事
[00:03:15.000 --> 00:03:18.000]  回家當然是吃飯
[00:03:18.000 --> 00:03:21.000]  特別是中國人,圍在一起吃飯
[00:03:21.000 --> 00:03:24.000]  是我們經常都會發生的一些情況
[00:03:24.000 --> 00:03:27.000]  特別是當父母的子女開始長大
[00:03:27.000 --> 00:03:29.000]  有自己的家庭
[00:03:29.000 --> 00:03:31.000]  接下來又過時過節的時間
[00:03:31.000 --> 00:03:35.000]  都希望一家人回到家中一起吃一頓飯
[00:03:35.000 --> 00:03:39.000]  有時是否為了吃什麼菜,或者吃什麼飯
[00:03:39.000 --> 00:03:43.000]  很多時只是想大家有機會見面的時間
[00:03:43.000 --> 00:03:46.000]  以前有個廣告裡面,有一句話這樣說
[00:03:46.000 --> 00:03:49.000]  你以為真是為了一碗麵嗎?
[00:03:49.000 --> 00:03:52.000]  是想見多你幾面而已
[00:03:52.000 --> 00:03:57.000]  很多時不是因為那天要吃什麼菜
[00:03:57.000 --> 00:03:58.000]  所以你回去
[00:03:58.000 --> 00:04:01.000]  因為你很想見你的家人
[00:04:01.000 --> 00:04:07.000]  家人是要讓我們能夠彼此相聚的時間
[00:04:07.000 --> 00:04:11.000]  除了吃飯,你在家中做得最多的還有什麼?
[00:04:11.000 --> 00:04:14.000]  回家吃飯,還有呢?
[00:04:14.000 --> 00:04:16.000]  當然是睡覺,對吧?
[00:04:16.000 --> 00:04:19.000]  你想想回家,你用多少時間在家中睡覺
[00:04:19.000 --> 00:04:21.000]  現在疫情裡緩和
[00:04:21.000 --> 00:04:24.000]  很多人都去旅行,或者有機會出去公幹
[00:04:24.000 --> 00:04:28.000]  你總有機會在酒店裡過夜睡覺的時間
[00:04:28.000 --> 00:04:30.000]  問一個很簡單的問題
[00:04:30.000 --> 00:04:33.000]  不一定是絕對的,每個人都有自己的答案
[00:04:33.000 --> 00:04:37.000]  你覺得酒店張床好睡一點,還是家中張床好睡一點?
[00:04:37.000 --> 00:04:41.000]  兩樣都有的,但大部分我聽過很多都說家中張床好睡一點
[00:04:41.000 --> 00:04:45.000]  說張床夠大,很多時都不夠酒店張床
[00:04:45.000 --> 00:04:49.000]  家中張床最多4尺,4尺半最多5尺
[00:04:49.000 --> 00:04:51.000]  除了住豪宅
[00:04:51.000 --> 00:04:54.000]  酒店張床隨時6尺闊
[00:04:54.000 --> 00:04:57.000]  滾來滾去,轉身都可以
[00:04:57.000 --> 00:04:59.000]  家中張床很多時不能夠
[00:04:59.000 --> 00:05:02.000]  為什麼家中張床好睡一點?
[00:05:02.000 --> 00:05:08.000]  因為你睡慣了,無論枕頭的皮,那種感覺
[00:05:08.000 --> 00:05:12.000]  大家都知道很多小朋友自出生
[00:05:12.000 --> 00:05:15.000]  可能到八九十歲的時候
[00:05:15.000 --> 00:05:18.000]  在當中都要抱著一張東西,那張東西知道是什麼嗎?
[00:05:18.000 --> 00:05:22.000]  那張東西,他們形容叫做皮皮
[00:05:22.000 --> 00:05:25.000]  我家裡也有一個,他抱著一張皮睡覺
