
[00:00:00.000 --> 00:00:06.000]  各位在螢光幕前的弟兄姊妹,平安
[00:00:06.000 --> 00:00:12.000]  今日我要講的講題是有關性
[00:00:12.000 --> 00:00:19.000]  我在教會長大的,可能很多弟兄姊妹都知道
[00:00:19.000 --> 00:00:35.000]  小時候在教會裡,去到某個時間,你必定會發現身邊的一些姊妹,一些異性,你覺得自己很有感覺
[00:00:35.000 --> 00:00:45.000]  但同時你又會知道身邊很多的牧者,導師,他們對著你
[00:00:45.000 --> 00:00:52.000]  因此我年輕的時候,我跟自己作了一個決定
[00:00:52.000 --> 00:00:59.000]  我不會在教會裡談戀愛,我會在教會以外的地方談戀愛
[00:00:59.000 --> 00:01:11.000]  當時我有機會去到外國讀書,我第一次在那裡呼吸到一口自由戀愛的空氣
[00:01:11.000 --> 00:01:20.000]  但漸漸我發現,兩個不同性別,不同性格,不同成長背景的年青男女
[00:01:20.000 --> 00:01:30.000]  入世未深,要去做到相親相愛,其實是很高的難度
[00:01:30.000 --> 00:01:40.000]  我經歷了很多跌跌碰碰,也讓我明白到,靠著自己,我根本沒有能力去愛
[00:01:40.000 --> 00:01:48.000]  我更加明白到,我不能將我生命的一部分移走上帝
[00:01:48.000 --> 00:01:54.000]  我需要上帝帶著我去做每一個愛人的行為
[00:01:54.000 --> 00:02:03.000]  因為我很清楚,愛我的上帝,當我遇到困難和挑戰的時候,他會跟我同行
[00:02:03.000 --> 00:02:10.000]  就算我經歷了什麼,對我都是有益處
[00:02:10.000 --> 00:02:18.000]  當我祈禱,求上帝賜給我一個適合我,是他揀選給我的伴侶的時候
[00:02:18.000 --> 00:02:30.000]  沒多久,就在我生活的城市裡,在我教會團契裡來了一個新的姐妹
[00:02:30.000 --> 00:02:39.000]  她剛剛從香港過來,也剛剛在香港的一間教會裡決志信主
[00:02:39.000 --> 00:02:44.000]  她到埗之後,朋友介紹她來到我這間教會裡
[00:02:44.000 --> 00:02:50.000]  她留下一年在那裡學習,去一個在職的學習
[00:02:50.000 --> 00:02:55.000]  之後她就要回香港繼續她在醫療界的工作
[00:02:55.000 --> 00:03:00.000]  這一位就是我現在的太太
[00:03:00.000 --> 00:03:07.000]  這是我愛情的經歷,而今天我要分享的是神人之愛
[00:03:07.000 --> 00:03:16.000]  神在人的性愛生活裡和我們的關係是什麼
[00:03:16.000 --> 00:03:24.000]  在香港家庭計劃指導會的網站,你很容易會發現到有一篇這樣的文章
[00:03:24.000 --> 00:03:28.000]  究竟性的定義是什麼,我相信很多人都聽過
[00:03:28.000 --> 00:03:37.000]  性的定義有狹義的性,是關於身體、性器官、青春期、生育等等的資訊
[00:03:37.000 --> 00:03:44.000]  但是性不單止停留在生理的層面,還有講義的性
[00:03:44.000 --> 00:03:48.000]  講義的性是包括了人的心性發展
[00:03:48.000 --> 00:03:52.000]  我們進入一個性行為之前,我們要考慮什麼呢
[00:03:52.000 --> 00:03:57.000]  什麼是健康的性行為呢?什麼是不健康的性行為呢?
[00:03:57.000 --> 00:04:04.000]  我們如何去跟人溝通,以至我找到一個合適的伴侶呢?
[00:04:04.000 --> 00:04:12.000]  這裡所說的不單止是那種行為,也是那種態度
[00:04:12.000 --> 00:04:21.000]  當我們探討性的態度的時候,不只是去集中於身體寬裕的憧憬
[00:04:21.000 --> 00:04:29.000]  而且也是跟異性的人際交往,以及如何建立一個正確的價值觀
[00:04:29.000 --> 00:04:35.000]  聖經又怎麼說呢?在《Baker Encyclopedia of the Bible》說
[00:04:35.000 --> 00:04:41.000]  聖經對人類的性行為是持非常正面的看法
[00:04:41.000 --> 00:04:47.000]  上帝創造的原意根本就包括了兩性之間的關係
[00:04:47.000 --> 00:04:53.000]  而且特別是在舊約裡面,認為兩性之間身體的差異
[00:04:53.000 --> 00:05:00.000]  有不同的性徵,不會令人覺得尷尬,不應該令人覺得尷尬
[00:05:00.000 --> 00:05:09.000]  透過性愛這個神所創造的肢體表達,也沒有什麼值得可恥的
[00:05:09.000 --> 00:05:13.000]  在《Holman Illustrated Bible Dictionary》裡面更加這樣說
[00:05:13.000 --> 00:05:20.000]  有別於一些異教儀式對性的表達
[00:05:20.000 --> 00:05:25.000]  又或者是現代人對於性行為的那種沉溺
[00:05:25.000 --> 00:05:41.000]  聖經將性置於人性,Human nature,幸福,Happiness,聖潔,Holiness的整體背景裡面
[00:05:41.000 --> 00:05:45.000]  神極度看重男女之間的性愛
[00:05:45.000 --> 00:05:50.000]  不單單只因為有功能性去繁衍後代
[00:05:50.000 --> 00:05:57.000]  也讓神創造性愛是讓人到達一個親密的關係
[00:05:57.000 --> 00:06:01.000]  相互對方可以表達的真實
[00:06:01.000 --> 00:06:07.000]  聖經有很多處經文去教導信徒去明白
[00:06:07.000 --> 00:06:14.000]  性愛是什麼,神的心意是什麼,並且作出很多提醒
[00:06:14.000 --> 00:06:17.000]  今天我們會看幾段經文,特別會看到
[00:06:17.000 --> 00:06:28.000]  神創世的時候對兩個性別男女,性愛是怎樣設立的呢?
[00:06:28.000 --> 00:06:35.000]  請容許我讀出今天的經文,《創世紀2章15-25》
[00:06:35.000 --> 00:06:43.000]  「神把那人安置在伊甸園,那人是自己的男人,讓他去耕耘看管
[00:06:43.000 --> 00:06:50.000]  神吩咐那人,說圓中各樣的樹所出的,你都可以隨意吃
[00:06:50.000 --> 00:06:57.000]  只是善惡樹所出的,你不可吃,因為你吃了之後,你必定死
[00:06:57.000 --> 00:07:07.000]  而神說,那人單獨一個不好,我要為他做一個配偶幫助他
