
[00:00:00.000 --> 00:00:09.000]  大家好,我是Mandy傳導
[00:00:09.000 --> 00:00:16.000]  今天我們來到青少年崇拜
[00:00:16.000 --> 00:00:19.000]  我們年輕了
[00:00:19.000 --> 00:00:24.000]  我也是在小力園堂的獅耳目區傳導
[00:00:24.000 --> 00:00:27.000]  很開心今天可以在這裡和大家分享
[00:00:27.000 --> 00:00:32.000]  我知道你們之前的系列是
[00:00:32.000 --> 00:00:36.000]  我與上帝的關係
[00:00:36.000 --> 00:00:38.000]  我與教會的關係
[00:00:38.000 --> 00:00:40.000]  我與社會的關係
[00:00:40.000 --> 00:00:44.000]  來到年尾的最後一個訊息
[00:00:44.000 --> 00:00:49.000]  究竟我與自己的關係是怎樣呢?
[00:00:49.000 --> 00:01:04.000]  我想問你們有沒有問過我究竟是誰?
[00:01:04.000 --> 00:01:08.000]  有沒有問過自己我是誰呢?
[00:01:08.000 --> 00:01:13.000]  其實在小學的時候我已經問過這些問題
[00:01:13.000 --> 00:01:16.000]  為什麼我會在這個家庭長大呢?
[00:01:16.000 --> 00:01:20.000]  為什麼我會在這間學校讀書呢?
[00:01:20.000 --> 00:01:22.000]  為什麼我會有這些朋友呢?
[00:01:22.000 --> 00:01:24.000]  為什麼我不是在同學家庭呢?
[00:01:24.000 --> 00:01:26.000]  同學家庭又有多好呢?
[00:01:26.000 --> 00:01:29.000]  好像他媽媽經常來接他放學
[00:01:29.000 --> 00:01:32.000]  我以前也很期待我媽媽接我放學
[00:01:32.000 --> 00:01:35.000]  但接到一個地步
[00:01:35.000 --> 00:01:40.000]  我媽媽是六年級也接我放學
[00:01:40.000 --> 00:01:42.000]  所以當時我就想
[00:01:42.000 --> 00:01:45.000]  可不可以不是這個媽媽呢?
[00:01:45.000 --> 00:01:48.000]  可不可以是我的同學媽媽呢?
[00:01:48.000 --> 00:01:51.000]  我的同學媽媽年輕又漂亮
[00:01:51.000 --> 00:01:54.000]  因為我媽媽比我年紀大
[00:01:54.000 --> 00:01:58.000]  所以當時我很怕告訴別人這是我媽媽
[00:01:58.000 --> 00:02:01.000]  我當時有很多疑惑
[00:02:01.000 --> 00:02:06.000]  當時我會想究竟我為什麼要生存呢?
[00:02:06.000 --> 00:02:09.000]  究竟我生存在這裡有什麼用呢?
[00:02:09.000 --> 00:02:14.000]  我媽媽有時可能做得不好的時候
[00:02:14.000 --> 00:02:17.000]  可能會說生一個叉燒比生你更好
[00:02:17.000 --> 00:02:21.000]  我的價值是成為一個死物
[00:02:21.000 --> 00:02:26.000]  會不會大家都有這些疑問呢?
[00:02:26.000 --> 00:02:34.000]  或者我會問究竟我為什麼要生存呢?
[00:02:34.000 --> 00:02:38.000]  可能在一些很差的狀況裡
[00:02:38.000 --> 00:02:40.000]  可能會覺得我為什麼
[00:02:40.000 --> 00:02:42.000]  都是那句話
[00:02:42.000 --> 00:02:44.000]  我們是不行的
[00:02:44.000 --> 00:02:48.000]  其實是否死就可以解決問題呢?
[00:02:48.000 --> 00:02:54.000]  當一直問這些問題
[00:02:54.000 --> 00:02:56.000]  原來這些都是神學的問題
[00:02:56.000 --> 00:02:58.000]  但很特別
[00:02:58.000 --> 00:03:00.000]  今天我們講這個訊息的時候
[00:03:00.000 --> 00:03:07.000]  阿寶奴我們在以弗所書二章的一到十節
[00:03:07.000 --> 00:03:10.000]  我們不如精神一點一起讀
[00:03:10.000 --> 00:03:12.000]  一起讀就會很精神
[00:03:12.000 --> 00:03:14.000]  你幫幫我
[00:03:14.000 --> 00:03:16.000]  大聲一點讀
[00:03:16.000 --> 00:03:17.000]  一二三
[00:03:17.000 --> 00:03:22.000]  從前你們因著自己的過犯罪惡而死了
[00:03:22.000 --> 00:03:26.000]  那時你們在過犯罪惡中生活
[00:03:26.000 --> 00:03:28.000]  隨從今世的風俗
[00:03:28.000 --> 00:03:32.000]  盡同空中養活者的領袖
[00:03:32.000 --> 00:03:35.000]  就是願今載父亦
[00:03:35.000 --> 00:03:37.000]  魂魄結成
[00:03:37.000 --> 00:03:39.000]  安如從前
[00:03:39.000 --> 00:03:43.000]  仿造之體之私慾
[00:03:43.000 --> 00:03:46.000]  隨從來體的真正的存在
[00:03:46.000 --> 00:03:48.000]  人一日
[00:03:48.000 --> 00:03:50.000]  世萬世
[00:03:50.000 --> 00:04:04.000]  (音樂)
[00:04:04.000 --> 00:04:32.000]  (音樂)
[00:04:32.000 --> 00:04:48.000]  (音樂)
[00:04:48.000 --> 00:04:54.000]  一個很完整的複音
[00:04:54.000 --> 00:04:56.000]  很感恩你們讀得很齊
[00:04:56.000 --> 00:04:58.000]  非常之好
[00:04:58.000 --> 00:05:00.000]  給你們一個讚
[00:05:00.000 --> 00:05:03.000]  在裏面
[00:05:03.000 --> 00:05:05.000]  首先
[00:05:05.000 --> 00:05:07.000]  寶萊說
[00:05:07.000 --> 00:05:12.000]  你們因著自己的過犯罪惡而死了
[00:05:12.000 --> 00:05:15.000]  他所說的死
[00:05:15.000 --> 00:05:20.000]  其實不是我們肉身的死
[00:05:20.000 --> 00:05:24.000]  好像平時被人罵
[00:05:24.000 --> 00:05:25.000]  想死嗎
[00:05:25.000 --> 00:05:27.000]  做錯事
[00:05:27.000 --> 00:05:29.000]  通常都會這樣說
[00:05:29.000 --> 00:05:31.000]  希望牧者不會這樣說
[00:05:31.000 --> 00:05:33.000]  想死嗎
[00:05:33.000 --> 00:05:35.000]  不回家
[00:05:35.000 --> 00:05:37.000]  不回小組
[00:05:37.000 --> 00:05:38.000]  想死嗎
[00:05:38.000 --> 00:05:40.000]  不回家
[00:05:40.000 --> 00:05:46.000]  這個死不是肉身的死
[00:05:46.000 --> 00:05:51.000]  這個死的狀態是怎樣死呢
[00:05:51.000 --> 00:05:57.000]  就是我們和神的隔絕狀態
