
[00:00:00.000 --> 00:00:01.000]  (笑)
[00:00:01.000 --> 00:00:02.000]  這個part point
[00:00:02.000 --> 00:00:05.000]  好,大家好
[00:00:05.000 --> 00:00:07.000]  吳安
[00:00:07.000 --> 00:00:14.000]  我不知道在座有多少人可能都認識我
[00:00:14.000 --> 00:00:19.000]  我上年就生了一個小朋友
[00:00:19.000 --> 00:00:22.000]  我太太生了一個小朋友
[00:00:22.000 --> 00:00:28.000]  所以她接下來兩個月就一歲了
[00:00:28.000 --> 00:00:31.000]  自從生了小朋友後
[00:00:31.000 --> 00:00:35.000]  特別是拜年見親朋戚友
[00:00:35.000 --> 00:00:39.000]  每次帶小朋友去見親朋戚友的時候
[00:00:39.000 --> 00:00:43.000]  對方就很自然地很熱烈地討論
[00:00:43.000 --> 00:00:45.000]  她真的像誰
[00:00:45.000 --> 00:00:47.000]  好像爸爸好像媽媽
[00:00:47.000 --> 00:00:49.000]  每次我聽到這些的時候
[00:00:49.000 --> 00:00:51.000]  我都坐在旁邊
[00:00:51.000 --> 00:00:55.000]  尷尬而不失禮貌地微笑
[00:00:55.000 --> 00:01:00.000]  因為我真的不在乎我女兒像我還是像我老婆
[00:01:00.000 --> 00:01:03.000]  起碼我知道她是我親生就可以
[00:01:03.000 --> 00:01:07.000]  但親戚朋友偏偏很投入
[00:01:07.000 --> 00:01:09.000]  很喜歡很堅持
[00:01:09.000 --> 00:01:13.000]  在小朋友身上找小朋友到底像誰
[00:01:13.000 --> 00:01:16.000]  耳朵像誰,鼻子像誰
[00:01:16.000 --> 00:01:19.000]  這個不是我女兒,這是一個西人
[00:01:19.000 --> 00:01:23.000]  他們很熱烈地討論
[00:01:23.000 --> 00:01:26.000]  但你也知道的
[00:01:26.000 --> 00:01:28.000]  你也會經歷過
[00:01:28.000 --> 00:01:32.000]  小朋友,可能小時候親朋戚友都是這樣討論
[00:01:32.000 --> 00:01:37.000]  但長大後親朋戚友就不會再理會你像誰
[00:01:37.000 --> 00:01:39.000]  我相信新年的時候
[00:01:39.000 --> 00:01:41.000]  你這個年紀,二十多三十歲
[00:01:41.000 --> 00:01:43.000]  去拜年不會再有親戚朋友說
[00:01:43.000 --> 00:01:45.000]  你真的像誰,你的鼻子像誰
[00:01:45.000 --> 00:01:47.000]  不會的,對吧
[00:01:47.000 --> 00:01:49.000]  我們都長大了
[00:01:49.000 --> 00:01:51.000]  我們有屬於我們的外表,我們的打扮
[00:01:51.000 --> 00:01:53.000]  但相比之下,我們成長後
[00:01:53.000 --> 00:01:57.000]  可能身邊的人會留意和關注我們的是甚麼呢
