
[00:00:00.000 --> 00:00:08.000]  今天的經文記載在倉西的二十四章十至二十七節
[00:00:08.000 --> 00:00:21.000]  整個故事就是阿伯拉罕去猜險他的僕人為他的兒子娶老婆
[00:00:21.000 --> 00:00:25.000]  今天的題目就是「服侍的腿」
[00:00:25.000 --> 00:00:32.000]  當中我立即想起那個僕人和阿伯拉罕在做跑腿
[00:00:32.000 --> 00:00:39.000]  我們現實當中的跑腿最明顯就是這些速遞公司
[00:00:39.000 --> 00:00:43.000]  FedEx、順豐應該大家都曾經用過
[00:00:43.000 --> 00:00:48.000]  不知道大家有沒有做過兼職或者想做這份工作
[00:00:48.000 --> 00:00:52.000]  其實跑腿的意思是為人去奔波
[00:00:52.000 --> 00:00:54.000]  做一些瑣碎的事
[00:00:54.000 --> 00:00:58.000]  我相信這些都未必大家很想去做
[00:00:58.000 --> 00:01:01.000]  但當中其實他們都很重要
[00:01:01.000 --> 00:01:03.000]  特別在我們過去兩年期間
[00:01:03.000 --> 00:01:06.000]  我們又不能外出
[00:01:06.000 --> 00:01:08.000]  要透過他們送一些件給我們
[00:01:08.000 --> 00:01:10.000]  或者幫我們送買食物
[00:01:10.000 --> 00:01:15.000]  我記得以前在公司收到信封的時候真的很開心
[00:01:15.000 --> 00:01:19.000]  因為一張紙其實裏面有很大的意義
[00:01:19.000 --> 00:01:20.000]  可能是一份合約
[00:01:20.000 --> 00:01:22.000]  是說幾千萬的生意
[00:01:22.000 --> 00:01:23.000]  是說美金
[00:01:23.000 --> 00:01:26.000]  其實這個件是很重要
[00:01:26.000 --> 00:01:29.000]  我想大家都收過件
[00:01:29.000 --> 00:01:31.000]  都會很開心很驚喜
[00:01:31.000 --> 00:01:35.000]  但今天說起跑腿
[00:01:35.000 --> 00:01:39.000]  我們就想起這個僕人
[00:01:39.000 --> 00:01:42.000]  僕人怎樣成為阿伯拉罕的跑腿呢
[00:01:42.000 --> 00:01:44.000]  我們一起讀經文好嗎
[00:01:44.000 --> 00:01:46.000]  好,預備起
[00:01:46.000 --> 00:01:52.000]  那僕人從他主人的駱駝中取了十匹駱駝
[00:01:52.000 --> 00:01:58.000]  他手中也帶著他主人各樣的貴重物品離開
[00:01:58.000 --> 00:02:04.000]  起身往美索不達米亞去
[00:02:04.000 --> 00:02:06.000]  到了那惡的城
[00:02:06.000 --> 00:02:10.000]  傍晚時眾女子出來打睡
[00:02:10.000 --> 00:02:15.000]  他就讓駱駝跪在城外的水井旁
[00:02:15.000 --> 00:02:17.000]  他說:耶和華
[00:02:17.000 --> 00:02:20.000]  我主人阿伯拉罕的神啊
[00:02:20.000 --> 00:02:24.000]  求你施恩給我的主人阿伯拉罕
[00:02:24.000 --> 00:02:27.000]  讓我今天就遇見吧
