
[00:00:00.000 --> 00:00:02.760]  各位現場及網上的弟兄姊妹
[00:00:02.760 --> 00:00:04.260]  各位朋友、各位街坊
[00:00:04.260 --> 00:00:05.760]  好,平安
[00:00:05.760 --> 00:00:07.760]  先介紹一下自己
[00:00:07.760 --> 00:00:11.260]  我是街坊,因為我之前住在第一城
[00:00:11.260 --> 00:00:16.260]  住在第一城,經常都說錯大雞大
[00:00:16.260 --> 00:00:19.260]  大比大,其實是另一間雞的專門店
[00:00:19.260 --> 00:00:21.260]  賣雞的,在那邊
[00:00:21.260 --> 00:00:25.260]  住了兩三年,後來搬了上瑞和園
[00:00:25.260 --> 00:00:28.260]  之後再搬回去,跟爺爺一起住
[00:00:28.260 --> 00:00:30.260]  所以稱為街坊
[00:00:30.260 --> 00:00:33.260]  大家可能很少見我
[00:00:33.260 --> 00:00:38.260]  在今年被教會安排巡迴港島
[00:00:38.260 --> 00:00:39.260]  這裡是我第二站
[00:00:39.260 --> 00:00:41.260]  先介紹一下我的名字
[00:00:41.260 --> 00:00:43.260]  有點繞口
[00:00:43.260 --> 00:00:47.260]  當要稱呼一些宗教人士的時候
[00:00:47.260 --> 00:00:51.260]  請問你是陶傳道還是陶傳家傳道呢?
[00:00:51.260 --> 00:00:55.260]  我說是陶傳道,或者叫我Jimmy傳道
[00:00:55.260 --> 00:00:59.260]  有些人問我是否小時候就立志做這個行業
[00:00:59.260 --> 00:01:03.260]  我說不是,我沒想過做這個行業
[00:01:03.260 --> 00:01:05.260]  是我爺爺改名的
[00:01:05.260 --> 00:01:07.260]  爺爺改名的時候有個故事
[00:01:07.260 --> 00:01:11.260]  因為我是傳家之寶,所以就叫傳家
[00:01:11.260 --> 00:01:13.260]  我說好棒,爺爺
[00:01:13.260 --> 00:01:17.260]  我真的有個堂弟弟叫傳寶
[00:01:17.260 --> 00:01:21.260]  但我的親弟弟叫傳心
[00:01:21.260 --> 00:01:25.260]  我問我爺爺,怎樣傳家之寶可以搭到傳心
[00:01:25.260 --> 00:01:28.260]  他說因為森林裡有顆傳家之寶
[00:01:28.260 --> 00:01:31.260]  我說爺爺你的講故事能力很值得我敬佩
[00:01:31.260 --> 00:01:33.260]  所以一定會傳揚
[00:01:33.260 --> 00:01:35.260]  因為是逐譜的,因為我們是上海人
[00:01:35.260 --> 00:01:37.260]  是十代
[00:01:37.260 --> 00:01:40.260]  到這一代就傳X,傳Y
[00:01:40.260 --> 00:01:41.260]  配一些不同的字
[00:01:41.260 --> 00:01:43.260]  傳家,傳正,傳美,傳愛
[00:01:43.260 --> 00:01:45.260]  我想下一代應該叫什麼呢?
[00:01:45.260 --> 00:01:47.260]  我想到了,不如就叫
[00:01:47.260 --> 00:01:52.260]  下一代是家,家配一些東西
[00:01:52.260 --> 00:01:54.260]  陶家傳,不如就
[00:01:54.260 --> 00:01:56.260]  如果子女見家長的時候
[00:01:56.260 --> 00:02:00.260]  請陶家傳的父親陶傳家出來
[00:02:00.260 --> 00:02:04.260]  就會很巧合,我就可以考到老師
[00:02:04.260 --> 00:02:09.260]  也有想過不如叫家琴,家粟
[00:02:09.260 --> 00:02:11.260]  那些子女一定會罵死我
[00:02:11.260 --> 00:02:13.260]  或者去到茶餐廳的時候
[00:02:13.260 --> 00:02:15.260]  家鹽家醋,來
[00:02:15.260 --> 00:02:17.260]  家辣,我都說了
[00:02:17.260 --> 00:02:19.260]  那些夥計就會叫我加加減減
[00:02:19.260 --> 00:02:22.260]  既然今天這個題目是華爾相信
[00:02:22.260 --> 00:02:26.260]  大家去猜猜我的前半生的工作
[00:02:26.260 --> 00:02:28.260]  大家來看看
[00:02:28.260 --> 00:02:30.260]  在我左手邊的那個
[00:02:30.260 --> 00:02:34.260]  是我神學院的實習工作
[00:02:34.260 --> 00:02:36.260]  大家去猜猜
[00:02:36.260 --> 00:02:38.260]  究竟我當時是什麼工作
[00:02:38.260 --> 00:02:39.260]  知道答案就不要說了
[00:02:39.260 --> 00:02:41.260]  有些可能已經是熟悉我的老朋友
[00:02:41.260 --> 00:02:45.260]  我給三個MC題,多項選擇題給你選擇
[00:02:45.260 --> 00:02:46.260]  人人喜歡選擇
[00:02:46.260 --> 00:02:50.260]  第一個就是專門營銷的
[00:02:50.260 --> 00:02:52.260]  賣一些體育用品
[00:02:52.260 --> 00:02:54.260]  賣給神學院,賺錢
[00:02:54.260 --> 00:02:58.260]  神學院都需要去透過體育活動接觸人
[00:02:58.260 --> 00:03:00.260]  第二個就是體育老師
[00:03:00.260 --> 00:03:03.260]  第三個就是其他的選項
[00:03:03.260 --> 00:03:05.260]  大家會選擇什麼
[00:03:05.260 --> 00:03:08.260]  老師,本來我想走來走去
[00:03:08.260 --> 00:03:09.260]  不過我怕辛苦了CAMMANMAN
[00:03:09.260 --> 00:03:10.260]  所以我不走來走去
[00:03:10.260 --> 00:03:12.260]  我都會走來走去
[00:03:12.260 --> 00:03:16.260]  答案就和身體建築有關
[00:03:16.260 --> 00:03:17.260]  類似物理教育
[00:03:17.260 --> 00:03:18.260]  但不是PE老師
[00:03:18.260 --> 00:03:20.260]  就是籃球的教育
[00:03:20.260 --> 00:03:22.260]  我就是一名籃球教練全職
[00:03:22.260 --> 00:03:24.260]  在神學院之前
[00:03:24.260 --> 00:03:27.260]  去到一些科目機構工作的時候
[00:03:27.260 --> 00:03:29.260]  那時候去到神學院
[00:03:29.260 --> 00:03:31.260]  在長洲見到
[00:03:31.260 --> 00:03:32.260]  他們有個傳統
[00:03:32.260 --> 00:03:33.260]  就是星期五一定要出隊
[00:03:33.260 --> 00:03:34.260]  上完課的時候
[00:03:34.260 --> 00:03:35.260]  全部不要做功課
[00:03:35.260 --> 00:03:36.260]  就出去報到
[00:03:36.260 --> 00:03:37.260]  練習一下傳科
[00:03:37.260 --> 00:03:39.260]  有得讓我選擇的
[00:03:39.260 --> 00:03:42.260]  其中一個地方就是一間長洲觀立中學
[00:03:42.260 --> 00:03:45.260]  那裡有個師兄在那裡有個籃球學會
[00:03:45.260 --> 00:03:49.260]  但未有一些實質持續的報道工作
[00:03:49.260 --> 00:03:50.260]  我就和師兄說
[00:03:50.260 --> 00:03:53.260]  不如我就一些體育報道
[00:03:53.260 --> 00:03:55.260]  我自己本身做這個職業
[00:03:55.260 --> 00:03:56.260]  他說好啊
[00:03:56.260 --> 00:03:58.260]  不過是有些難度的
[00:03:58.260 --> 00:03:59.260]  不是那麼容易的
[00:03:59.260 --> 00:04:01.260]  可能學生未必認識你
[00:04:01.260 --> 00:04:03.260]  身邊的同學也跟著我
[00:04:03.260 --> 00:04:05.260]  說我們都不懂得怎麼做
[00:04:05.260 --> 00:04:06.260]  我說OK啦
[00:04:06.260 --> 00:04:07.260]  我去到示範
[00:04:07.260 --> 00:04:08.260]  結果進到門口的時候
[00:04:08.260 --> 00:04:10.260]  剛才那張照片
[00:04:10.260 --> 00:04:12.260]  跟學生和小朋友說
[00:04:12.260 --> 00:04:15.260]  我知道你們應該不喜歡聽耶穌的
[00:04:15.260 --> 00:04:16.260]  我明白的
[00:04:16.260 --> 00:04:18.260]  我說這樣吧
[00:04:18.260 --> 00:04:20.260]  現場有那麼多人的時候
[00:04:20.260 --> 00:04:22.260]  你們逐個和我一對一
[00:04:22.260 --> 00:04:23.260]  如果全場的時候
[00:04:23.260 --> 00:04:26.260]  你們所有人都輸給我的時候
[00:04:26.260 --> 00:04:28.260]  留下來聽我十分鐘講聖經
[00:04:28.260 --> 00:04:30.260]  如果其中一個贏到我的時候
[00:04:30.260 --> 00:04:31.260]  我馬上走了
[00:04:31.260 --> 00:04:32.260]  不講聖經了
[00:04:32.260 --> 00:04:33.260]  大家平平安安
[00:04:33.260 --> 00:04:34.260]  相安無慮
[00:04:34.260 --> 00:04:35.260]  結果呢
[00:04:35.260 --> 00:04:36.260]  結果就
[00:04:36.260 --> 00:04:37.260]  要走那邊
[00:04:37.260 --> 00:04:38.260]  結果就死死氣氣了
[00:04:38.260 --> 00:04:40.260]  所有人全部輸了
[00:04:40.260 --> 00:04:42.260]  全部留下來
[00:04:42.260 --> 00:04:43.260]  心服口服
[00:04:43.260 --> 00:04:45.260]  都說你怎麼搞的
[00:04:45.260 --> 00:04:46.260]  你那麼身高可以打贏我們
[00:04:46.260 --> 00:04:48.260]  他不知道我的背景
[00:04:48.260 --> 00:04:50.260]  那時候也是
[00:04:50.260 --> 00:04:51.260]  當時
[00:04:51.260 --> 00:04:53.260]  當我在神樂院之前
[00:04:53.260 --> 00:04:55.260]  我去了一個敏感的地方
[00:04:55.260 --> 00:04:57.260]  做一個運動的體驗
[00:04:57.260 --> 00:04:59.260]  在拿簽證的時候
[00:04:59.260 --> 00:05:01.260]  寫是籃球教練義工
[00:05:01.260 --> 00:05:03.260]  要到達的時候
[00:05:03.260 --> 00:05:04.260]  在五天之內
[00:05:04.260 --> 00:05:07.260]  要去簽證
[00:05:07.260 --> 00:05:09.260]  去取牌照
[00:05:09.260 --> 00:05:10.260]  去到的時候有點卡
[00:05:10.260 --> 00:05:13.260]  翻譯員朋友就寫信給我說
[00:05:13.260 --> 00:05:14.260]  Jimmy
[00:05:14.260 --> 00:05:16.260]  那個官員懷疑你
[00:05:16.260 --> 00:05:17.260]  他說你那麼身高
[00:05:17.260 --> 00:05:19.260]  怎麼可能做籃球教練
[00:05:19.260 --> 00:05:20.260]  我想
[00:05:20.260 --> 00:05:21.260]  糟糕了
