
[00:00:00.000 --> 00:00:05.000]  大家好,在網上的朋友
[00:00:05.000 --> 00:00:11.000]  今天是星期六,明天是什麼節?
[00:00:11.000 --> 00:00:22.000]  明天是父親節,在這裡代表教會祝各位父親節快樂
[00:00:22.000 --> 00:00:30.000]  在這個節日裡,教會也有一份禮物送給大家
[00:00:30.000 --> 00:00:34.000]  我們不如去片
[00:00:34.000 --> 00:00:57.000]  (音樂)
[00:00:57.000 --> 00:01:26.000]  (歌詞)
[00:01:26.000 --> 00:01:55.000]  (歌詞)
[00:01:55.000 --> 00:02:24.000]  (歌詞)
[00:02:24.000 --> 00:02:37.000]  (歌詞)
[00:02:37.000 --> 00:02:54.000]  (歌詞)
[00:02:54.000 --> 00:03:04.000]  (歌詞)
[00:03:04.000 --> 00:03:31.000]  (歌詞)
[00:03:31.000 --> 00:04:00.000]  (歌詞)
[00:04:00.000 --> 00:04:12.000]  (歌詞)
[00:04:12.000 --> 00:04:41.000]  (歌詞)
[00:04:41.000 --> 00:04:49.000]  (歌詞)
[00:04:49.000 --> 00:05:00.000]  我們給點掌聲小力園堂兒童士工一班同工同導師
[00:05:00.000 --> 00:05:08.000]  很努力地為一班小朋友拍攝這首歌
[00:05:08.000 --> 00:05:13.000]  裡面除了有基督使用軍和阿灣娜之外
[00:05:13.000 --> 00:05:21.000]  也有很多導師和童工在裡面幫忙
[00:05:21.000 --> 00:05:25.000]  除了給點掌聲我們的八天父
[00:05:25.000 --> 00:05:28.000]  也給點掌聲我們的導師
[00:05:28.000 --> 00:05:31.000]  更加給點掌聲給爸爸
[00:05:31.000 --> 00:05:40.000]  在歌詞裡面很感謝這位絕世好爸
[00:05:40.000 --> 00:05:42.000]  究竟是誰呢
[00:05:42.000 --> 00:05:45.000]  我們一邊看的時候
[00:05:45.000 --> 00:05:48.000]  看看我們是否發現到
[00:05:48.000 --> 00:05:51.000]  不如我們一起讀一下
[00:05:51.000 --> 00:05:54.000]  《馬太福音》十章二十九到三十三節
[00:05:54.000 --> 00:05:55.000]  五節經文
[00:05:55.000 --> 00:05:56.000]  1 2 3
[00:05:56.000 --> 00:05:59.000]  兩隻麻雀不是賣一銅錢嗎
[00:05:59.000 --> 00:06:01.000]  你們的腐肉不許
[00:06:01.000 --> 00:06:04.000]  一隻也不會掉在地上
[00:06:04.000 --> 00:06:08.000]  就是你們的頭髮也都數算過
[00:06:08.000 --> 00:06:10.000]  所以不要懼怕
[00:06:10.000 --> 00:06:13.000]  你們比許多的麻雀還貴重
[00:06:13.000 --> 00:06:16.000]  所以凡在人面前認我的
[00:06:16.000 --> 00:06:20.000]  我在天上的父面前也必認他
[00:06:20.000 --> 00:06:23.000]  凡在人面前不認我的
[00:06:23.000 --> 00:06:28.000]  我在我天上的父面前也不認他
[00:06:28.000 --> 00:06:33.000]  在父親節當中
[00:06:33.000 --> 00:06:38.000]  我們的焦點是父親
[00:06:38.000 --> 00:06:42.000]  不如我在網上找找
[00:06:42.000 --> 00:06:45.000]  究竟做一個好爸爸有什麼特質
[00:06:45.000 --> 00:06:48.000]  在座爸爸在
[00:06:48.000 --> 00:06:53.000]  看了不用馬上說有沒有做到
[00:06:53.000 --> 00:06:54.000]  不用說的
[00:06:54.000 --> 00:06:56.000]  所以不用擔心
[00:06:56.000 --> 00:06:59.000]  如果太太在就不用碰她
[00:06:59.000 --> 00:07:03.000]  是網上調查
[00:07:03.000 --> 00:07:05.000]  普遍性
