
[00:00:00.000 --> 00:00:04.640]  在這個大才席的年三十晚裏面
[00:00:04.640 --> 00:00:06.640]  很高興見到大家
[00:00:06.640 --> 00:00:08.640]  我改了一個主題
[00:00:08.640 --> 00:00:10.640]  也是一個新歲的主題
[00:00:10.640 --> 00:00:13.640]  女愛更生應新歲
[00:00:13.640 --> 00:00:16.640]  我們看二筆鎖書
[00:00:16.640 --> 00:00:19.640]  今年真的很開心
[00:00:19.640 --> 00:00:24.640]  大家有沒有迎接新年的喜樂
[00:00:24.640 --> 00:00:27.640]  和去年氣氛相差很遠
[00:00:27.640 --> 00:00:34.640]  不如我們一起用金句彼此祝福我們的生命
[00:00:34.640 --> 00:00:37.640]  我們將你們改為我們
[00:00:37.640 --> 00:00:38.640]  親切一點
[00:00:38.640 --> 00:00:40.640]  我們一起來預備起
[00:00:40.640 --> 00:00:43.640]  願賜盼望的上帝
[00:00:43.640 --> 00:00:50.640]  使我們的信把各樣的喜樂平安充滿我們的心
[00:00:50.640 --> 00:00:55.640]  使我們藉著聖靈的能力大有盼望
[00:00:55.640 --> 00:00:57.640]  看看旁邊的那個
[00:00:57.640 --> 00:00:59.640]  誰和你是一齊的
[00:00:59.640 --> 00:01:01.640]  有喜樂有平安
[00:01:01.640 --> 00:01:02.640]  我們大有盼望
[00:01:02.640 --> 00:01:03.640]  祝福旁邊那個
[00:01:03.640 --> 00:01:05.640]  有喜樂有平安
[00:01:05.640 --> 00:01:07.640]  我們大有盼望
[00:01:07.640 --> 00:01:09.640]  感謝主
[00:01:09.640 --> 00:01:11.640]  大有盼望
[00:01:11.640 --> 00:01:15.640]  在新的接近年裏
[00:01:15.640 --> 00:01:21.640]  我們基督徒很少有禮儀禮節
[00:01:21.640 --> 00:01:26.640]  但有些關係應該保持
[00:01:26.640 --> 00:01:29.640]  所以待會是否趕著去吃飯
[00:01:29.640 --> 00:01:31.640]  還是吃了?
[00:01:31.640 --> 00:01:33.640]  這些團年飯
[00:01:33.640 --> 00:01:37.640]  這些都是重新我們家人相聚
[00:01:37.640 --> 00:01:38.640]  都是數算
[00:01:38.640 --> 00:01:40.640]  剛才玉卿傳道去大學
[00:01:40.640 --> 00:01:43.640]  是一個我們中國人說的春節
[00:01:43.640 --> 00:01:45.640]  一個重新的開始
[00:01:45.640 --> 00:01:48.640]  上帝又給我們一個更新
[00:01:48.640 --> 00:01:50.640]  所以我們去想
[00:01:50.640 --> 00:01:52.640]  新的年裏
[00:01:52.640 --> 00:01:54.640]  上帝給萬物更新的時候
[00:01:54.640 --> 00:01:57.640]  我們又如何用生命去回應
[00:01:57.640 --> 00:02:01.640]  上帝給我們一個新的盼望呢?
[00:02:01.640 --> 00:02:04.640]  我選了這幅所書
[00:02:04.640 --> 00:02:07.640]  大家一起思想
