
[00:00:00.000 --> 00:00:02.720]  今天在這裡分享
[00:00:02.720 --> 00:00:04.720]  我先介紹自己,我叫蘇平欣
[00:00:04.720 --> 00:00:08.320]  今天分享的題目是
[00:00:08.320 --> 00:00:13.320]  「真誠、友善、有樣體問號」
[00:00:13.320 --> 00:00:16.520]  「真誠、友善」是不是「有樣體」呢?
[00:00:16.520 --> 00:00:19.520]  你看看你旁邊那個,是不是「真誠、友善」呢?
[00:00:19.520 --> 00:00:23.320]  他的樣子是不是「有樣體」呢?
[00:00:23.320 --> 00:00:28.120]  我記得幾年前,教會來了一個實習神學生
[00:00:28.120 --> 00:00:30.720]  來到第一天,剛好是祈禱會
[00:00:30.720 --> 00:00:35.720]  剛分組的時候,他跟我一起祈禱
[00:00:35.720 --> 00:00:38.720]  我不知道我的樣子是怎樣
[00:00:38.720 --> 00:00:40.720]  他問我可不可以問我一個問題
[00:00:40.720 --> 00:00:42.720]  我說當然可以
[00:00:42.720 --> 00:00:44.720]  他問了一個問題,你猜他問什麼呢?
[00:00:44.720 --> 00:00:48.720]  他就說,你是不是過來人?
[00:00:48.720 --> 00:00:50.720]  大家知不知道什麼是過來人?
[00:00:50.720 --> 00:00:53.720]  就是吸過毒,坐過牢那些
[00:00:53.720 --> 00:00:55.720]  我的樣子是不是這樣呢?
[00:00:55.720 --> 00:00:57.720]  他一來就問我是不是過來人
[00:00:57.720 --> 00:00:59.720]  我立刻就玩一下他
[00:00:59.720 --> 00:01:02.720]  就很兇的問他,什麼叫過來人?
[00:01:02.720 --> 00:01:05.720]  嚇到他就不敢再問我了
[00:01:05.720 --> 00:01:08.720]  「真誠、友善」是不是有個樣子可以看得到呢?
[00:01:08.720 --> 00:01:11.720]  我們先看一看這段片,幾分鐘的片
[00:01:11.720 --> 00:01:31.720]  (片段)
[00:01:31.720 --> 00:01:57.720]  (片段)
[00:01:57.720 --> 00:02:22.720]  (片段)
[00:02:22.720 --> 00:02:36.720]  (片段)
[00:02:36.720 --> 00:02:40.720]  (片段)
[00:02:40.720 --> 00:02:52.720]  (片段)
[00:02:52.720 --> 00:03:21.720]  (片段)
[00:03:21.720 --> 00:03:23.720]  (片段)
[00:03:23.720 --> 00:03:34.720]  (片段)
[00:03:34.720 --> 00:03:36.720]  (片段)
[00:03:36.720 --> 00:03:48.720]  (片段)
[00:03:48.720 --> 00:03:55.720]  (片段)
[00:03:55.720 --> 00:04:03.720]  (片段)
[00:04:03.720 --> 00:04:13.720]  (片段)
[00:04:13.720 --> 00:04:29.720]  (片段)
[00:04:29.720 --> 00:04:41.720]  (片段)
[00:04:41.720 --> 00:04:49.720]  (片段)
[00:04:49.720 --> 00:04:51.720]  片段看完了
[00:04:51.720 --> 00:04:54.720]  老闆娘是不是惡形惡相呢?
[00:04:54.720 --> 00:04:56.720]  好像是吧?
[00:04:56.720 --> 00:04:59.720]  但最重要是她的行為
[00:04:59.720 --> 00:05:02.720]  她是在幫那些傷犯,幫那些人
[00:05:02.720 --> 00:05:05.720]  所以不只是靠樣子
[00:05:05.720 --> 00:05:07.720]  是看你做什麼,做成怎樣
[00:05:07.720 --> 00:05:11.720]  才知道你的行為是否對稱
[00:05:11.720 --> 00:05:14.720]  有個德國哲學家,Fredrick Paulsen
[00:05:14.720 --> 00:05:18.720]  他就說,宗教和道德有相同的起源
[00:05:18.720 --> 00:05:23.720]  就是出於意志對盡善盡美的渴望
[00:05:23.720 --> 00:05:25.720]  在道德上是一個要求
[00:05:25.720 --> 00:05:29.720]  但在宗教上就變成實體
[00:05:29.720 --> 00:05:31.720]  不是只有一個「講」字
