
[00:00:00.000 --> 00:00:06.340]  感謝主又有機會跟大家分享訊息
[00:00:06.340 --> 00:00:10.640]  來到第三講了
[00:00:10.640 --> 00:00:18.140]  已經是十誡的系列
[00:00:18.140 --> 00:00:20.860]  讓我找回PowerPoint
[00:00:20.860 --> 00:00:22.780]  是,在這裡
[00:00:22.780 --> 00:00:30.920]  不知道大家清不清楚十誡是什麼來的
[00:00:30.920 --> 00:00:38.920]  不是基督徒都知道我們基督教信仰有十條誡命
[00:00:38.920 --> 00:00:40.920]  什麼時候我們會知道呢
[00:00:40.920 --> 00:00:46.960]  就是當我們有意無意讓對方知道我們是基督徒的時候
[00:00:46.960 --> 00:00:50.040]  他們就會開始留意我們
[00:00:50.040 --> 00:00:53.680]  當他們留意我們的時候發現我們有少少不對勁的話
[00:00:53.680 --> 00:00:57.180]  或者跟他們認識的基督徒有些不一樣的時候
[00:00:57.180 --> 00:00:59.180]  他們就會開始告訴我們
[00:00:59.180 --> 00:01:02.380]  咦,你們不是應該要這樣做這樣做的嗎
[00:01:02.380 --> 00:01:05.100]  十誡是這樣說的
[00:01:05.100 --> 00:01:06.940]  在他們的生命裡面
[00:01:06.940 --> 00:01:13.540]  他們認識的十誡是十條清規十條戒律
[00:01:13.540 --> 00:01:19.780]  但在摩西在西乃山領受這兩塊石板的時候
[00:01:19.780 --> 00:01:24.040]  上帝用手指頭寫著這十句話
[00:01:24.040 --> 00:01:26.040]  其實真正的翻譯
[00:01:26.040 --> 00:01:29.820]  原文真實的翻譯是十句話
[00:01:29.820 --> 00:01:34.820]  而我比較喜歡李思景博士
[00:01:34.820 --> 00:01:38.620]  前中國神學研究院的院長
[00:01:38.620 --> 00:01:43.940]  他形容這十句話是十句真言
[00:01:43.940 --> 00:01:50.620]  原來上帝對他的子民的吩咐是十句真言
[00:01:50.620 --> 00:01:52.300]  讓人好好生活
[00:01:52.300 --> 00:01:56.540]  讓人好好思考的十句真言
[00:01:56.540 --> 00:01:58.940]  跟清規戒律就很不一樣
[00:01:58.940 --> 00:02:00.940]  層次不同了
[00:02:00.940 --> 00:02:02.940]  因為我們相信這位上帝
[00:02:02.940 --> 00:02:08.540]  他不是要用這些戒律規範著我們去做些什麼
[00:02:08.540 --> 00:02:11.660]  而是他想我們的生活過得好
[00:02:11.660 --> 00:02:13.140]  神是愛
[00:02:13.140 --> 00:02:14.460]  他愛我們每一個
[00:02:14.460 --> 00:02:17.460]  他想我們在他認識他
[00:02:17.460 --> 00:02:22.380]  以致我們可以享受到他給我們的每一個祝福
[00:02:22.380 --> 00:02:25.900]  所以因此這是很語重心長的十句真言
[00:02:25.900 --> 00:02:27.900]  而這十句真言一開始
[00:02:27.900 --> 00:02:31.180]  就是不可有別的神
[00:02:31.180 --> 00:02:33.180]  神親自去介紹自己
[00:02:33.180 --> 00:02:37.100]  告訴我們他是耶和華我們的神
[00:02:37.100 --> 00:02:42.620]  從埃及引領作奴隸的以色列人
[00:02:42.620 --> 00:02:46.500]  去出來拯救他們釋放他們
[00:02:46.500 --> 00:02:50.420]  他親自主動跟人建立這個拯救的關係
[00:02:50.420 --> 00:02:54.700]  也告訴我們神是有永恆的屬性
[00:02:54.700 --> 00:02:59.580]  因為他一直拯救著我們
[00:02:59.580 --> 00:03:02.700]  直至今天我們都呼求他的名
[00:03:02.700 --> 00:03:04.700]  我們都相信他會拯救我們的名
[00:03:04.700 --> 00:03:06.700]  所以我們在祈禱的時候
[00:03:06.700 --> 00:03:08.700]  我們都會呼求他的名
[00:03:08.700 --> 00:03:11.140]  我們都會相信他是拯救我們的
[00:03:11.140 --> 00:03:13.140]  他是超越時間空間
[00:03:13.140 --> 00:03:14.820]  有那份永恆性
[00:03:14.820 --> 00:03:18.260]  也同時讓我們有那份安全感
[00:03:18.260 --> 00:03:20.260]  有這個應許的保證
[00:03:20.260 --> 00:03:22.940]  這個正正就是第一講
[00:03:22.940 --> 00:03:25.620]  物質行傳道跟我們分享
[00:03:25.620 --> 00:03:29.540]  沒有其他神可以落實這一份應許
[00:03:29.540 --> 00:03:33.020]  沒有其他神可以落實這份安全感
[00:03:33.020 --> 00:03:38.820]  也沒有其他神可以保證這份祝福
[00:03:38.820 --> 00:03:40.820]  第二句真言
[00:03:40.820 --> 00:03:43.620]  岑嘉欣傳道跟我們分享
[00:03:43.620 --> 00:03:45.620]  告訴我們
[00:03:45.620 --> 00:03:49.420]  這個神不要偶像化他
[00:03:49.420 --> 00:03:53.020]  不要雕刻一些偶像來拜
[00:03:53.020 --> 00:03:56.020]  因為神是個零
[00:03:56.020 --> 00:03:58.020]  意思是他沒有形象
[00:03:58.020 --> 00:04:02.820]  你誤會了我不是一個木雕或一個sculpture
[00:04:02.820 --> 00:04:05.820]  要跟他建立一個關係的時候
[00:04:05.820 --> 00:04:07.820]  我們要用心靈誠實
[00:04:07.820 --> 00:04:09.820]  我們要真心真意
[00:04:09.820 --> 00:04:12.820]  要相信要信服
[00:04:12.820 --> 00:04:17.820]  而不是去拜一些雕琢的石頭
[00:04:17.820 --> 00:04:20.820]  岑嘉欣傳道提醒我們
[00:04:20.820 --> 00:04:22.820]  人跟神建立關係的時候
[00:04:22.820 --> 00:04:24.820]  需要有一份堅持
[00:04:24.820 --> 00:04:27.820]  需要在自己的生命當中
[00:04:27.820 --> 00:04:31.820]  去發現神的臨在
[00:04:31.820 --> 00:04:33.820]  在我們心裏面
[00:04:33.820 --> 00:04:35.820]  剛才我們唱的詩歌
[00:04:35.820 --> 00:04:40.820]  讓神在我們心裏面臨在
[00:04:40.820 --> 00:04:42.820]  要有這一份醒覺
[00:04:42.820 --> 00:04:44.820]  今天第三講
[00:04:44.820 --> 00:04:47.820]  不可妄稱神的名
[00:04:47.820 --> 00:04:49.820]  經文中特別提醒
[00:04:49.820 --> 00:04:52.820]  其他九句都沒有提及
[00:04:52.820 --> 00:04:54.820]  妄稱神的名者
[00:04:54.820 --> 00:04:57.820]  神必然定他的罪
[00:04:57.820 --> 00:04:59.820]  妄稱神的名者
[00:04:59.820 --> 00:05:01.820]  神必然定他的罪
[00:05:01.820 --> 00:05:03.820]  神要我們每一個去留意
[00:05:03.820 --> 00:05:08.820]  我們需要負擔起如何宣揚神的名的責任
[00:05:08.820 --> 00:05:10.820]  讓我們一起讀出這段經文
[00:05:10.820 --> 00:05:12.820]  1 2 3
[00:05:12.820 --> 00:05:25.820]  什麼是妄稱或理神的名呢
[00:05:25.820 --> 00:05:28.820]  在New Living Translation翻譯
[00:05:28.820 --> 00:05:33.820]  You must not misuse the name of the Lord your God
[00:05:33.820 --> 00:05:38.820]  The Lord will not let you go unpunished if you misuse his name
[00:05:38.820 --> 00:05:40.820]  什麼叫做misuse his name呢
