
[00:00:00.000 --> 00:00:10.160]  今天我們會進入一個新的講道系列
[00:00:10.160 --> 00:00:11.240]  重建關係
[00:00:11.240 --> 00:00:14.680]  系列名就是《我與上帝的關係》
[00:00:14.680 --> 00:00:15.960]  《屬靈福氣》
[00:00:15.960 --> 00:00:17.200]  這就是今天的講題
[00:00:17.200 --> 00:00:21.640]  我回憶當時在教會實習期間
[00:00:21.640 --> 00:00:25.160]  舉辦了一個活動叫做表白Cafe
[00:00:25.160 --> 00:00:26.840]  有沒有人有參加?
[00:00:26.840 --> 00:00:30.400]  是在場沒有人參加的
[00:00:30.400 --> 00:00:33.680]  什麼叫做表白Cafe呢?
[00:00:33.680 --> 00:00:36.480]  就是我們用弟兄姊妹創作的詩歌
[00:00:36.480 --> 00:00:40.000]  然後一起向上帝表白的意思
[00:00:40.000 --> 00:00:43.040]  當日的訊息令我很深刻
[00:00:43.040 --> 00:00:44.080]  深刻到現在
[00:00:44.080 --> 00:00:46.480]  講完之後他就問了一條問題
[00:00:46.480 --> 00:00:49.920]  表白之前的關係是什麼狀態?
[00:00:49.920 --> 00:00:51.120]  有人知道嗎?
[00:00:51.120 --> 00:00:53.320]  有沒有人知道是什麼?
[00:00:53.320 --> 00:00:56.040]  (笑)
[00:00:56.040 --> 00:01:00.040]  表白之前的關係是什麼?
[00:01:00.040 --> 00:01:03.240]  那一刻我聽完之後呆了
[00:01:03.240 --> 00:01:05.520]  然後就想「糟了,表白之前有關係」
[00:01:05.520 --> 00:01:06.920]  「關係還沒開始」
[00:01:06.920 --> 00:01:07.840]  (笑)
[00:01:07.840 --> 00:01:10.200]  「表白之前有什麼關係呢?」
[00:01:10.200 --> 00:01:12.520]  然後他就告訴我
[00:01:12.520 --> 00:01:15.800]  「原來表白之前的關係是曖昧」
[00:01:15.800 --> 00:01:17.400]  不知道大家有沒有想到
[00:01:17.400 --> 00:01:20.600]  他的訊息就是跟我們說
[00:01:20.600 --> 00:01:25.200]  比喻我們人與上帝的關係不要這麼曖昧
[00:01:25.200 --> 00:01:27.960]  要與上帝坦白、坦誠
[00:01:27.960 --> 00:01:30.040]  多找他聊天
[00:01:30.040 --> 00:01:32.560]  所以今天這個系列
[00:01:32.560 --> 00:01:34.280]  都有這個意味
[00:01:34.280 --> 00:01:38.560]  想跟大家一起與上帝的關係不要這麼曖昧
[00:01:38.560 --> 00:01:42.200]  可以與上帝親近一點
[00:01:42.200 --> 00:01:44.200]  而這個曖昧的關係
[00:01:44.200 --> 00:01:47.000]  會讓人很不自在、很尷尬
[00:01:47.000 --> 00:01:49.280]  令人沒辦法相處
[00:01:49.280 --> 00:01:53.640]  我們教會有幾種
[00:01:53.640 --> 00:01:55.440]  與上帝的關係
[00:01:55.440 --> 00:01:58.240]  可能有時我們與教會的關係很曖昧
[00:01:58.240 --> 00:02:00.800]  可能有時我們與社會的關係也很曖昧
[00:02:00.800 --> 00:02:03.760]  有時很少想到社會的關係
[00:02:03.760 --> 00:02:06.000]  有時自己與自己的關係
[00:02:06.000 --> 00:02:08.800]  內心有些深處不願意讓人知道
[00:02:08.800 --> 00:02:10.920]  也很曖昧
[00:02:10.920 --> 00:02:13.680]  所以有時曖昧的關係
[00:02:13.680 --> 00:02:15.640]  會令人特別內耗
[00:02:15.640 --> 00:02:18.080]  令人相處特別吃力
[00:02:18.080 --> 00:02:20.160]  我覺得教會是一個學習
[00:02:20.160 --> 00:02:22.280]  如何建立關係的地方
[00:02:22.280 --> 00:02:25.200]  想跟大家一起學習如何相處
[00:02:25.200 --> 00:02:27.040]  如何建立好的關係
[00:02:27.040 --> 00:02:28.800]  學習如何澄清關係
[00:02:28.800 --> 00:02:30.040]  系列有八講
[00:02:30.040 --> 00:02:32.080]  每兩講講一種關係
[00:02:32.080 --> 00:02:33.280]  今天我們會講
[00:02:33.280 --> 00:02:35.960]  我們與上帝的關係屬靈福氣
[00:02:35.960 --> 00:02:38.000]  首先講講以弗所教會
[00:02:38.000 --> 00:02:39.240]  以弗所教會
[00:02:39.240 --> 00:02:42.040]  通常我們講投入關係
[00:02:42.040 --> 00:02:44.560]  最容易理解就是用戀愛比喻
[00:02:44.560 --> 00:02:47.360]  所以我都順著戀愛比喻
