
[00:00:00.000 --> 00:00:03.000]  好 各位弟兄姊妹晚安
[00:00:03.000 --> 00:00:07.000]  歡迎大家來到小力園堂的周六崇拜當中
[00:00:07.000 --> 00:00:10.000]  今年繼續和大家分享一個系列的主題叫作「莊門徒的代價」
[00:00:10.000 --> 00:00:13.000]  因為今年教會的主題叫作「作主門徒」
[00:00:13.000 --> 00:00:16.000]  行主道作門徒
[00:00:16.000 --> 00:00:18.000]  曾經說得很清楚的 他說
[00:00:18.000 --> 00:00:21.000]  所以市萬民要作甚麼呀
[00:00:21.000 --> 00:00:23.000]  作我的門徒
[00:00:23.000 --> 00:00:25.000]  大使命的吩咐不單止是傳福音
[00:00:25.000 --> 00:00:29.000]  大使命的吩咐是要讓人成為主的門徒
[00:00:29.000 --> 00:00:32.000]  作主門徒的意思就是願意用生命
[00:00:32.000 --> 00:00:34.000]  在一個充滿挑戰的世代裏面
[00:00:34.000 --> 00:00:36.000]  仍然敢於為主作見證
[00:00:36.000 --> 00:00:39.000]  今天的題目叫作「堅持與放棄」
[00:00:39.000 --> 00:00:42.000]  是在說一個夢想
[00:00:42.000 --> 00:00:44.000]  如果我問你 你有沒有夢想
[00:00:44.000 --> 00:00:46.000]  你怎樣回應 你有沒有夢想呀
[00:00:46.000 --> 00:00:50.000]  或者你覺得夢想是甚麼人才會有的呀
[00:00:50.000 --> 00:00:52.000]  年輕人 年青人
[00:00:52.000 --> 00:00:54.000]  可能你覺得我都一把年紀了
[00:00:54.000 --> 00:00:57.000]  還說甚麼夢想呢 是不是
[00:00:57.000 --> 00:01:00.000]  大家知不知道摩西在當中要承擔一個使命的時候
[00:01:00.000 --> 00:01:02.000]  即是帶領以色列人要出埃及的時候
[00:01:02.000 --> 00:01:04.000]  知不知道他幾歲呀
[00:01:04.000 --> 00:01:05.000]  八十歲呀
[00:01:05.000 --> 00:01:07.000]  你八十歲了沒有呀
[00:01:07.000 --> 00:01:08.000]  還沒有呀 是不是
[00:01:08.000 --> 00:01:13.000]  所以你的生命仍然都可以大大地被上帝所使用
[00:01:13.000 --> 00:01:15.000]  只要你仍然在上帝裏面
[00:01:15.000 --> 00:01:18.000]  有一顆追尋夢想的心
[00:01:18.000 --> 00:01:23.000]  作主門徒就是敢於願意在上帝裏面求夢想
[00:01:23.000 --> 00:01:25.000]  今年跟大家分享不同的人物
[00:01:25.000 --> 00:01:27.000]  很多都是使徒的門徒
[00:01:27.000 --> 00:01:29.000]  說到彼得他三次不認主的經歷
[00:01:29.000 --> 00:01:31.000]  完全被拆毀的過程
[00:01:31.000 --> 00:01:33.000]  但是能夠被主再一次重建
[00:01:33.000 --> 00:01:36.000]  成為初期教會裏面一個很重要的使徒門徒
[00:01:36.000 --> 00:01:39.000]  約翰性情乾裂很火爆
[00:01:39.000 --> 00:01:43.000]  講武兩句就說上帝降火要消滅一切的仇敵
[00:01:43.000 --> 00:01:46.000]  但他最後跟大家說
[00:01:46.000 --> 00:01:49.000]  我們愛因為上帝施愛我們
[00:01:49.000 --> 00:01:52.000]  因為遇見耶穌生命被一百八十度的改變
[00:01:52.000 --> 00:01:57.000]  當雅各希望在耶穌的身上得到一些尊榮成功感虛榮感的時間
[00:01:57.000 --> 00:02:00.000]  但耶穌所指示他走一條甚麼道路
[00:02:00.000 --> 00:02:05.000]  就是一條願意為主受苦甚至殉道的道路
[00:02:05.000 --> 00:02:08.000]  雅各仍然甘於踏上這條道路
[00:02:08.000 --> 00:02:10.000]  今天講的人物叫拿彈業
[00:02:10.000 --> 00:02:13.000]  拿彈業在聖經裏面的記載不是很多
[00:02:13.000 --> 00:02:15.000]  但他是一個有夢想的人
[00:02:15.000 --> 00:02:17.000]  在一個夢想追尋的過程裏面
[00:02:17.000 --> 00:02:19.000]  令到他有很多的艱辛
[00:02:19.000 --> 00:02:22.000]  灰心失意甚至很多的無奈
[00:02:22.000 --> 00:02:24.000]  直到他遇見耶穌
[00:02:24.000 --> 00:02:27.000]  他覺得這個夢想有機會實現
[00:02:27.000 --> 00:02:32.000]  我不知道你是否主角裏面仍然有些東西繼續堅持
[00:02:32.000 --> 00:02:35.000]  可能等了又等等了又等仍然都未實現
[00:02:35.000 --> 00:02:37.000]  但正如拿彈業一樣
[00:02:37.000 --> 00:02:39.000]  當他遇見耶穌那一刻
[00:02:39.000 --> 00:02:41.000]  生命被改變
[00:02:41.000 --> 00:02:43.000]  夢想能夠成真
[00:02:43.000 --> 00:02:46.000]  究竟今天我們選擇去堅持
[00:02:46.000 --> 00:02:48.000]  還是選擇去放棄呢
[00:02:48.000 --> 00:02:51.000]  今天的經文是約翰福音第一章43至51字
[00:02:51.000 --> 00:02:53.000]  請大家聽我讀出
[00:02:53.000 --> 00:02:55.000]  聖經裏面這樣講
[00:02:55.000 --> 00:02:56.000]  他說又過了一天
[00:02:56.000 --> 00:02:58.000]  耶穌想要往加利利去
[00:02:58.000 --> 00:03:00.000]  他找到了肥力就對他說
[00:03:00.000 --> 00:03:03.000]  來跟從我,這肥力是白菜大人
[00:03:03.000 --> 00:03:05.000]  是安德烈和彼得的同鄉
[00:03:05.000 --> 00:03:08.000]  肥力找到了拿彈業對他說
[00:03:08.000 --> 00:03:10.000]  摩西在律法書上所寫的
[00:03:10.000 --> 00:03:12.000]  和眾仙之所記的那一位
[00:03:12.000 --> 00:03:14.000]  我們遇見了
[00:03:14.000 --> 00:03:17.000]  就是約瑟的兒子拿撒勒人耶穌
[00:03:17.000 --> 00:03:20.000]  拿彈業對他說
[00:03:20.000 --> 00:03:23.000]  拿撒勒還能出什麼好的嗎?
[00:03:23.000 --> 00:03:25.000]  肥力說:你來看
[00:03:25.000 --> 00:03:27.000]  耶穌看見拿彈業向他走來
[00:03:27.000 --> 00:03:29.000]  就論道他說
[00:03:29.000 --> 00:03:31.000]  看那者真是個以色列人
[00:03:31.000 --> 00:03:33.000]  他心裏沒有鬼扎的
[00:03:33.000 --> 00:03:35.000]  拿彈業對耶穌說
[00:03:35.000 --> 00:03:36.000]  你從哪裡認識我?
[00:03:36.000 --> 00:03:38.000]  耶穌回答他說
[00:03:38.000 --> 00:03:40.000]  肥力說:沒有呼喚你
[00:03:40.000 --> 00:03:42.000]  你在無花果樹底下
[00:03:42.000 --> 00:03:44.000]  我就看見你了
[00:03:44.000 --> 00:03:45.000]  拿彈業回答他
[00:03:45.000 --> 00:03:47.000]  拉彼你是上帝的兒子
[00:03:47.000 --> 00:03:49.000]  你是以色列的王耶穌
[00:03:49.000 --> 00:03:50.000]  回答他說
[00:03:50.000 --> 00:03:54.000]  因為我說在無花果樹底下看見你
[00:03:54.000 --> 00:03:55.000]  你就信嗎?
[00:03:55.000 --> 00:03:57.000]  你將看見比這更大的事
[00:03:57.000 --> 00:04:01.000]  他又說:我實實在在地告訴你們
[00:04:01.000 --> 00:04:03.000]  你們將要看見天開了
[00:04:03.000 --> 00:04:06.000]  上帝的使者在人子的身上
[00:04:06.000 --> 00:04:08.000]  上去下來
[00:04:08.000 --> 00:04:10.000]  今天說一下夢想
[00:04:10.000 --> 00:04:12.000]  你有沒有夢想?
