
[00:00:00.000 --> 00:00:03.080]  好,各位弟兄姊妹,平安
[00:00:03.080 --> 00:00:11.320]  近來我跟一個微信的朋友吃飯
[00:00:11.320 --> 00:00:16.160]  他就說了他近來的跌跌跌
[00:00:16.160 --> 00:00:19.160]  別人就是起起跌跌,他就是跌跌跌
[00:00:19.160 --> 00:00:23.560]  他在經歷生命很多的跌的時候
[00:00:23.560 --> 00:00:25.440]  過程中他跟我說
[00:00:25.520 --> 00:00:30.520]  他說他發現自己想認識基督信仰多一點
[00:00:30.520 --> 00:00:32.920]  為什麼這樣說呢?
[00:00:32.920 --> 00:00:34.480]  他說因為看到他身邊的基督徒
[00:00:34.480 --> 00:00:38.040]  好像他們的生命是…
[00:00:38.040 --> 00:00:39.720]  好像無憂無慮一點
[00:00:39.720 --> 00:00:42.520]  他說「是的,我也覺得信教是好一點的」
[00:00:42.520 --> 00:00:44.600]  「少一點憂慮,人又開心一點」
[00:00:44.600 --> 00:00:48.760]  這是一個近來跟他聊天的微信分享
[00:00:48.760 --> 00:00:51.600]  我不知道你的信仰經歷是怎樣的
[00:00:51.600 --> 00:00:53.320]  你的信仰經歷是怎樣的呢?
[00:00:53.840 --> 00:00:55.680]  可能你跟我一樣
[00:00:55.680 --> 00:00:57.440]  聽說有很多人信主
[00:00:57.440 --> 00:00:59.320]  都是因為他經歷困難的時候
[00:00:59.320 --> 00:01:02.640]  有上帝、弟兄姊妹跟他同行
[00:01:02.640 --> 00:01:04.560]  有同伴、有倚靠
[00:01:04.560 --> 00:01:07.120]  所以他信了耶穌、信了主
[00:01:07.120 --> 00:01:07.960]  做了基督徒之後
[00:01:07.960 --> 00:01:10.120]  他好像擔憂少了
[00:01:10.120 --> 00:01:12.480]  人又樂觀了、積極了
[00:01:12.480 --> 00:01:16.120]  甚至有些人是真實地經歷自己的困難
[00:01:16.120 --> 00:01:21.400]  透過祈禱、經歷神的恩典
[00:01:21.400 --> 00:01:22.440]  然後就解決了
[00:01:22.520 --> 00:01:25.480]  所以他因此決心要倚靠上帝
[00:01:25.480 --> 00:01:29.640]  信仰和上帝很多時候
[00:01:29.640 --> 00:01:33.440]  都是作為一個解決困難、解決憂慮的方案
[00:01:33.440 --> 00:01:35.120]  出現在我們生命中
[00:01:35.120 --> 00:01:37.960]  特別是很多信徒初信的時候
[00:01:37.960 --> 00:01:41.720]  生命就是持續有憂慮、有困難
[00:01:41.720 --> 00:01:46.200]  於是就成為他們要持續倚靠神的原因或動力
[00:01:46.200 --> 00:01:51.480]  但當我們信靠或信了耶穌久了之後
[00:01:51.560 --> 00:01:54.840]  我們會發現比起辦法
[00:01:54.840 --> 00:01:57.360]  困難和憂慮總是更多的
[00:01:57.360 --> 00:02:01.840]  原來不是每次的困難、憂慮或壓力
[00:02:01.840 --> 00:02:03.840]  我們都是多祈禱兩次
[00:02:03.840 --> 00:02:05.280]  然後信靠神多一點
[00:02:05.280 --> 00:02:07.160]  然後迎刃而解
[00:02:07.160 --> 00:02:09.560]  這幾年我們經歷
[00:02:09.560 --> 00:02:12.680]  現在考到如火如荼的DSE
[00:02:12.680 --> 00:02:14.520]  就是很好的例子
[00:02:14.520 --> 00:02:18.400]  很多的憂慮、困難其實在所難免
[00:02:20.640 --> 00:02:22.680]  2022年尾
[00:02:22.680 --> 00:02:24.960]  即是去年年尾有一個民意調查
[00:02:24.960 --> 00:02:25.680]  結果是這樣
[00:02:25.680 --> 00:02:29.880]  他說在一千個香港受訪者中
[00:02:29.880 --> 00:02:33.920]  有87%的人感到壓力過大
[00:02:33.920 --> 00:02:38.680]  而當中有19%受訪者自認無法應付該等壓力
[00:02:38.680 --> 00:02:41.400]  結果是亞太區內最高
[00:02:41.400 --> 00:02:45.160]  在全球15個市場中排行第三
[00:02:45.160 --> 00:02:47.760]  弟兄姊妹,我不知道你是屬於那種
[00:02:47.840 --> 00:02:51.560]  壓力過大的87%
[00:02:51.560 --> 00:02:55.120]  還是屬於其餘的13%
[00:02:55.120 --> 00:02:59.560]  今天我們要說的一段經文
[00:02:59.560 --> 00:03:01.400]  是大家一段很熟悉的經文
[00:03:01.400 --> 00:03:02.440]  是真的很熟悉的
[00:03:02.440 --> 00:03:03.360]  就是馬太福音
[00:03:03.360 --> 00:03:06.080]  耶穌所說的不要憂慮的經文
[00:03:06.080 --> 00:03:08.600]  我讀一次給大家聽
[00:03:08.600 --> 00:03:12.200]  「一個人不能服侍兩個主
[00:03:12.200 --> 00:03:14.280]  他不是恨這個愛那個
[00:03:14.280 --> 00:03:16.560]  就是重這個輕那個
[00:03:16.640 --> 00:03:19.560]  你們不能又服侍上帝又服侍馬門
[00:03:19.560 --> 00:03:20.920]  所以我告訴你們
[00:03:20.920 --> 00:03:24.440]  不要為你們的生命憂慮吃甚麼喝甚麼
[00:03:24.440 --> 00:03:27.320]  或為你們的身體憂慮穿甚麼
[00:03:27.320 --> 00:03:29.600]  生命不勝於飲食嗎
[00:03:29.600 --> 00:03:32.240]  身體不勝於衣裳嗎
[00:03:32.240 --> 00:03:34.080]  你們看一看那天上的飛鳥
[00:03:34.080 --> 00:03:35.720]  也不種也不收
[00:03:35.720 --> 00:03:38.000]  也不在倉裡存糧
[00:03:38.000 --> 00:03:40.880]  你們的天賦尚且讓活它們
[00:03:40.880 --> 00:03:43.800]  你們不比飛鳥貴種得多嗎
[00:03:43.800 --> 00:03:45.680]  你們哪一個能藉著憂慮
[00:03:45.760 --> 00:03:47.760]  使壽數多加一克呢
[00:03:47.760 --> 00:03:51.120]  何必為衣裳憂慮呢
[00:03:51.120 --> 00:03:52.960]  你們想一想野地裡的百合花
[00:03:52.960 --> 00:03:54.800]  是怎樣長起來的
[00:03:54.800 --> 00:03:57.040]  它也不勞動也不枋線
[00:03:57.040 --> 00:03:58.160]  然而我告訴你們
[00:03:58.160 --> 00:04:00.600]  就是所羅門極榮華的時候
[00:04:00.600 --> 00:04:01.720]  它所穿戴的
[00:04:01.720 --> 00:04:04.480]  還不如這些花的一朵呢
[00:04:04.480 --> 00:04:06.000]  你們這小信的人
[00:04:06.000 --> 00:04:08.360]  野地裡的草今天還在
[00:04:08.360 --> 00:04:10.160]  明天就凋在爐裡
[00:04:10.160 --> 00:04:12.680]  上帝還給它這樣的裝飾
[00:04:12.680 --> 00:04:14.160]  何妨你們呢
[00:04:14.240 --> 00:04:16.360]  所以不要憂慮說
[00:04:16.360 --> 00:04:19.120]  我們吃甚麼、喝甚麼、穿甚麼
[00:04:19.120 --> 00:04:21.320]  這都是外邦人所求的
[00:04:21.320 --> 00:04:23.080]  你們需要這一切東西
