
[00:00:00.000 --> 00:00:02.000]  好,請坐各位
[00:00:02.000 --> 00:00:04.000]  年青人平安
[00:00:04.000 --> 00:00:07.300]  YouTube 正在看的年青人都平安
[00:00:07.300 --> 00:00:11.400]  盼望下次見到你回來
[00:00:11.400 --> 00:00:13.600]  一起去敬拜上帝,好不好?
[00:00:13.600 --> 00:00:18.400]  今天就輪到我講道
[00:00:18.400 --> 00:00:20.000]  都不需要介紹我了
[00:00:20.000 --> 00:00:22.400]  大家都知道我的名字是弱者
[00:00:22.400 --> 00:00:25.800]  不是,我的名字是江榮
[00:00:25.800 --> 00:00:27.400]  就是盧江榮
[00:00:27.400 --> 00:00:29.200]  江榮就是Low的
[00:00:29.200 --> 00:00:31.200]  記住,沒有江榮的
[00:00:31.200 --> 00:00:32.200]  我Low江榮
[00:00:32.200 --> 00:00:33.800]  沒有江榮的
[00:00:33.800 --> 00:00:35.800]  但是江榮都在上帝那裡
[00:00:35.800 --> 00:00:37.400]  我們要去榮耀上帝
[00:00:37.400 --> 00:00:39.000]  上帝創造我們的時候
[00:00:39.000 --> 00:00:40.200]  都是要榮耀他
[00:00:40.200 --> 00:00:44.000]  今天講題就是
[00:00:44.000 --> 00:00:46.200]  基督徒浸魔鳥的
[00:00:46.200 --> 00:00:49.400]  瀕臨絕跡的因典
[00:00:49.400 --> 00:00:53.400]  我動物才聽過瀕臨絕跡的
[00:00:53.400 --> 00:00:56.200]  動物為什麼會瀕臨絕跡呢?
[00:00:56.200 --> 00:00:58.200]  可能環境的因素
[00:00:58.200 --> 00:01:00.200]  可能繁殖的問題
[00:01:00.200 --> 00:01:03.200]  各樣各樣的因素會影響到
[00:01:03.200 --> 00:01:06.000]  所以就沒有下一代了
[00:01:06.000 --> 00:01:09.400]  沒有下一代的,然後就會絕種
[00:01:09.400 --> 00:01:11.400]  因典有沒有下一代的?
[00:01:11.400 --> 00:01:12.800]  是不是?
[00:01:12.800 --> 00:01:15.000]  真典為什麼會絕種呢?
[00:01:15.000 --> 00:01:18.600]  我們因典又會怎麼傳承呢?
[00:01:18.600 --> 00:01:20.400]  我們今天看看
[00:01:20.400 --> 00:01:22.800]  瀕臨絕跡的因典是怎樣的
[00:01:22.800 --> 00:01:27.400]  讓我讀一下提摩太后書一章三至十四節
[00:01:27.400 --> 00:01:30.400]  有個姐妹上次叫她上來讀完經文
