
[00:00:00.000 --> 00:00:02.000]  跟著是正道的時間
[00:00:02.000 --> 00:00:03.800]  今天正道
[00:00:03.800 --> 00:00:06.700]  我們邀請到黃福光博士
[00:00:06.700 --> 00:00:10.000]  講題是「什麼是神的旨意」
[00:00:10.000 --> 00:00:16.400]  經文是《生命記》30章11至14節
[00:00:16.400 --> 00:00:20.400]  請聽我重讀以下的經文
[00:00:20.400 --> 00:00:23.700]  我今日所吩咐你的誡命
[00:00:23.700 --> 00:00:26.200]  對你並不困難
[00:00:26.200 --> 00:00:28.800]  也不太遠
[00:00:28.800 --> 00:00:32.800]  不是在天上使你說
[00:00:32.800 --> 00:00:37.400]  誰為我們上天去取來給我們
[00:00:37.400 --> 00:00:41.200]  使我們聽了可以進行呢?
[00:00:41.200 --> 00:00:45.500]  也不是在海的那邊使你說
[00:00:45.500 --> 00:00:48.700]  誰為我們渡海到另一邊
[00:00:48.700 --> 00:00:51.700]  去取來給我們
[00:00:51.700 --> 00:00:55.500]  使我們聽了可以進行呢?
[00:00:55.500 --> 00:01:00.500]  因這話離你很近就在你口中
[00:01:00.500 --> 00:01:04.900]  在你心裡使你可以進行
[00:01:04.900 --> 00:01:06.900]  我們有請黃福光博士
[00:01:06.900 --> 00:01:24.900]  (黃福光)
[00:01:24.900 --> 00:01:26.900]  各位安安
[00:01:26.900 --> 00:01:30.900]  今天我的講題是「上帝的旨意是什麼」
[00:01:30.900 --> 00:01:35.900]  一個熱門話題
[00:01:35.900 --> 00:01:38.900]  今時今日是講移民
[00:01:38.900 --> 00:01:43.900]  或者搬到別的國家住
[00:01:43.900 --> 00:01:45.900]  當然這個帶出什麼呢?
[00:01:45.900 --> 00:01:47.900]  帶出一個問題
[00:01:47.900 --> 00:01:49.900]  就是「神的旨意」
[00:01:49.900 --> 00:01:51.900]  實在當然不是移民
[00:01:51.900 --> 00:01:53.900]  我們做很多事都要問
[00:01:53.900 --> 00:01:55.900]  這是不是神的旨意
[00:01:55.900 --> 00:01:56.900]  一個基督徒
[00:01:56.900 --> 00:01:58.900]  不只是大事
[00:01:58.900 --> 00:02:00.900]  小事很多時我們都會問
[00:02:00.900 --> 00:02:02.900]  究竟是不是神的心意呢?
[00:02:02.900 --> 00:02:05.900]  今天我想講一下關於這件事
[00:02:05.900 --> 00:02:07.900]  我不敢說講完之後
[00:02:07.900 --> 00:02:09.900]  大家就知道神的心意
[00:02:09.900 --> 00:02:12.900]  不過就明白多些
[00:02:12.900 --> 00:02:15.900]  什麼是或不是神的心意
[00:02:15.900 --> 00:02:19.900]  第一件事
[00:02:19.900 --> 00:02:21.900]  什麼叫做神的心意呢?
[00:02:21.900 --> 00:02:23.900]  就是上帝的主權
[00:02:23.900 --> 00:02:25.900]  大家看經文
[00:02:25.900 --> 00:02:27.900]  這裡就很明顯了
[00:02:27.900 --> 00:02:31.900]  因為神說「沒有別的神」
[00:02:31.900 --> 00:02:33.900]  「這個宇宙只有一個神」
[00:02:33.900 --> 00:02:35.900]  「祂想做什麼就做什麼」
[00:02:35.900 --> 00:02:39.900]  「祂已經決定了這個宇宙是怎樣的」
[00:02:39.900 --> 00:02:44.900]  所以這個就是神的旨意
[00:02:44.900 --> 00:02:46.900]  神想做的事
[00:02:46.900 --> 00:02:48.900]  但這個可以說
[00:02:48.900 --> 00:02:54.900]  不是我們人可以探討或者明白的
[00:02:54.900 --> 00:02:55.900]  神的主權
[00:02:55.900 --> 00:02:56.900]  祂要做的事
[00:02:56.900 --> 00:02:59.900]  從祂創造這個宇宙
[00:02:59.900 --> 00:03:01.900]  或者創造這個世界
[00:03:01.900 --> 00:03:03.900]  到啟示錄
[00:03:03.900 --> 00:03:04.900]  到主在來
[00:03:04.900 --> 00:03:05.900]  或者之後
[00:03:05.900 --> 00:03:08.900]  祂要怎樣做什麼呢?
[00:03:08.900 --> 00:03:10.900]  實際上不是我們探討的
[00:03:10.900 --> 00:03:11.900]  我們也不知道
[00:03:11.900 --> 00:03:15.900]  我們不過是可以觀看
[00:03:15.900 --> 00:03:17.900]  然後看到原來神
[00:03:17.900 --> 00:03:20.900]  在這個世上是在做什麼
[00:03:20.900 --> 00:03:23.900]  這個可以說是與我們有關的
[00:03:23.900 --> 00:03:27.900]  因為我們是其中會感受到
[00:03:27.900 --> 00:03:31.900]  人類和我們知道什麼事正在發生
[00:03:31.900 --> 00:03:33.900]  但這個不是我們探討的
[00:03:33.900 --> 00:03:37.900]  另外一個就是上帝道德的標準
[00:03:37.900 --> 00:03:39.900]  這個就是剛才我們讀的經文
[00:03:39.900 --> 00:03:42.900]  《生命記》30章11至14節
[00:03:42.900 --> 00:03:44.900]  這個是說
[00:03:44.900 --> 00:03:47.900]  神的旨意
[00:03:47.900 --> 00:03:51.900]  如果大家用這個字去探討
[00:03:51.900 --> 00:03:53.900]  最多在舊約聖經
[00:03:53.900 --> 00:03:56.900]  尤其是說神的旨意
[00:03:56.900 --> 00:03:58.900]  是在說這個東西
[00:03:58.900 --> 00:04:00.900]  就是跟從神的旨意
[00:04:00.900 --> 00:04:02.900]  你發覺原來是跟從神的華語
[00:04:02.900 --> 00:04:03.900]  這個意思
[00:04:03.900 --> 00:04:04.900]  大多數
[00:04:04.900 --> 00:04:06.900]  我沒有做過統計
[00:04:06.900 --> 00:04:08.900]  不過是八、九成
[00:04:08.900 --> 00:04:10.900]  基本上是在說這個東西
[00:04:10.900 --> 00:04:13.900]  這個是上帝的道德標準
[00:04:13.900 --> 00:04:15.900]  或者神的華語
[00:04:15.900 --> 00:04:17.900]  這個說得很清楚
[00:04:17.900 --> 00:04:20.900]  這個東西不是高到我們不知道的
[00:04:20.900 --> 00:04:21.900]  有一天我們不可以說
[00:04:21.900 --> 00:04:22.900]  主人,我不知道
[00:04:22.900 --> 00:04:25.900]  原來你有說過不可殺人嗎?
[00:04:25.900 --> 00:04:27.900]  不是的,我們不可以這樣說
[00:04:27.900 --> 00:04:29.900]  神說什麼呢?
[00:04:29.900 --> 00:04:30.900]  是很近的
[00:04:30.900 --> 00:04:32.900]  近在你的口、你的心那裡
[00:04:32.900 --> 00:04:35.900]  你實在是知道的
[00:04:35.900 --> 00:04:37.900]  這個東西
[00:04:37.900 --> 00:04:39.900]  我們是真的要負責任的
[00:04:39.900 --> 00:04:42.900]  實在其中一個很重要的東西
[00:04:42.900 --> 00:04:44.900]  當我們做一個決定
[00:04:44.900 --> 00:04:46.900]  要知道是不是神的心意
[00:04:46.900 --> 00:04:49.900]  就要看是否合乎神的華語
[00:04:49.900 --> 00:04:51.900]  我和你說一個例子
[00:04:51.900 --> 00:04:55.900]  如果我不是自己親身經驗
[00:04:55.900 --> 00:04:56.900]  我也不敢說
[00:04:56.900 --> 00:04:58.900]  不過這個是真的
[00:04:58.900 --> 00:05:03.900]  話說有一個女子
[00:05:03.900 --> 00:05:07.900]  她和一個男生拍拖
[00:05:07.900 --> 00:05:11.900]  她拍拖後發覺原來男生已經結婚
[00:05:11.900 --> 00:05:13.900]  應該就結束了
[00:05:13.900 --> 00:05:15.900]  不是,她祈禱
[00:05:15.900 --> 00:05:16.900]  然後她說這是神的旨意
[00:05:16.900 --> 00:05:18.900]  我應該和他結婚
[00:05:18.900 --> 00:05:19.900]  我聽到的時候
[00:05:19.900 --> 00:05:21.900]  老實說我也是「Oh」了
[00:05:21.900 --> 00:05:22.900]  即是怎樣呢?
[00:05:22.900 --> 00:05:24.900]  怎可以是神的旨意呢?
[00:05:24.900 --> 00:05:27.900]  這個明顯是違反了神的華語
[00:05:27.900 --> 00:05:30.900]  怎可以祈禱後感覺這是神的帶領
[00:05:30.900 --> 00:05:32.900]  這是神的旨意
[00:05:32.900 --> 00:05:33.900]  要繼續下去呢?
[00:05:33.900 --> 00:05:34.900]  我和你說
[00:05:34.900 --> 00:05:37.900]  如果那件事是違反神的華語
[00:05:37.900 --> 00:05:39.900]  那就不是神的旨意了
[00:05:39.900 --> 00:05:42.900]  基本上就不用祈禱了
[00:05:42.900 --> 00:05:45.900]  因為學至剛才的經文說
[00:05:45.900 --> 00:05:46.900]  我們知道了
[00:05:46.900 --> 00:05:47.900]  神已經說了
[00:05:47.900 --> 00:05:48.900]  不可以做的
[00:05:48.900 --> 00:05:51.900]  所以我們知道神的華語
[00:05:51.900 --> 00:05:53.900]  我們知道神的旨意
