
[00:00:00.000 --> 00:00:04.000]  上一集我們學到天使其實就是神的使者
[00:00:04.000 --> 00:00:07.000]  究竟神的使者是否要守護人類?
[00:00:07.000 --> 00:00:11.000]  他們又是否像人類的社會般有階級之分?
[00:00:11.000 --> 00:00:14.000]  而邪靈和污鬼又有什麼分別呢?
[00:00:14.000 --> 00:00:17.000]  Dr. Wong繼續為大家拆解
[00:00:28.000 --> 00:00:31.000]  Dr. Wong,天使究竟日常有什麼任務?
[00:00:31.000 --> 00:00:33.000]  是否要守護人類?
[00:00:33.000 --> 00:00:39.000]  所謂守護人類,是怎樣來的呢?
[00:00:39.000 --> 00:00:43.000]  實在…《瑪特福音》第十八章
[00:00:43.000 --> 00:00:50.000]  耶穌說,小孩的天使在神面前
[00:00:50.000 --> 00:00:53.000]  站立在神的面前
[00:00:53.000 --> 00:01:00.000]  甚至在七間教會的天使的啟示錄
[00:01:00.000 --> 00:01:03.000]  寫給哪間教會的天使
[00:01:03.000 --> 00:01:10.000]  有些人覺得這是守護天使的意思
[00:01:10.000 --> 00:01:12.000]  所以有些人覺得是守護天使
[00:01:12.000 --> 00:01:14.000]  但其實我們不知道
[00:01:14.000 --> 00:01:16.000]  究竟它是做什麼的呢?
[00:01:16.000 --> 00:01:18.000]  如果七間教會有天使
[00:01:18.000 --> 00:01:20.000]  現在七間教會已經沒有了
[00:01:20.000 --> 00:01:23.000]  那些天使是否重新安排了
[00:01:23.000 --> 00:01:25.000]  保護其他教會呢?
[00:01:25.000 --> 00:01:27.000]  很多這些事我們基本上不知道
[00:01:27.000 --> 00:01:30.000]  祈禱是我們跟神說話的途徑
[00:01:30.000 --> 00:01:34.000]  為何神跟人說話又要靠使者呢?
[00:01:34.000 --> 00:01:38.000]  好,多數我們說天使…
[00:01:38.000 --> 00:01:44.000]  你想想舊約,舊約神會差派天使
[00:01:44.000 --> 00:01:47.000]  神會差派先知
[00:01:47.000 --> 00:01:52.000]  神會以異象或其他方法對人說話
[00:01:52.000 --> 00:01:56.000]  這是神對我們說話的方式
[00:01:56.000 --> 00:01:59.000]  神的話語也是一個方式
[00:01:59.000 --> 00:02:00.000]  為何呢?
[00:02:00.000 --> 00:02:07.000]  應該是因為摩西在《中厄及記》33章
[00:02:07.000 --> 00:02:11.000]  神跟他說不可以面對面見神而活
[00:02:11.000 --> 00:02:15.000]  所以神跟我們不可以太直接
[00:02:15.000 --> 00:02:17.000]  因為我們是罪人
[00:02:17.000 --> 00:02:20.000]  但我們向神祈禱時
[00:02:20.000 --> 00:02:23.000]  我們不是真的站在神面前
[00:02:23.000 --> 00:02:24.000]  明白嗎?
[00:02:24.000 --> 00:02:26.000]  但神是聽到我們禱告
[00:02:26.000 --> 00:02:29.000]  所以我們可以直接對祂祈禱
[00:02:29.000 --> 00:02:30.000]  祂會知道
[00:02:30.000 --> 00:02:33.000]  但如果神直接站在我們面前
[00:02:33.000 --> 00:02:35.000]  那就不行了
[00:02:35.000 --> 00:02:36.000]  因為我們是罪人
[00:02:36.000 --> 00:02:38.000]  所以分別是這樣
[00:02:38.000 --> 00:02:40.000]  天使有階級之分嗎?
[00:02:40.000 --> 00:02:43.000]  因為看到有天使掌這些字眼
[00:02:43.000 --> 00:02:46.000]  正正是因為有天使掌這個字眼出現
[00:02:46.000 --> 00:02:48.000]  所以有些人覺得有階級
[00:02:48.000 --> 00:02:52.000]  Michael在《猶大書》出現
[00:02:52.000 --> 00:02:54.000]  《但以利書》也是出現
[00:02:54.000 --> 00:02:56.000]  他是一個天使掌
[00:02:56.000 --> 00:02:58.000]  既然有天使掌
[00:02:58.000 --> 00:03:00.000]  就有些天使不是掌
[00:03:00.000 --> 00:03:02.000]  所以就有階級
[00:03:02.000 --> 00:03:03.000]  加伯列也是
[00:03:03.000 --> 00:03:07.000]  他說他站在耶和華面前
[00:03:07.000 --> 00:03:09.000]  好像有一個階級
[00:03:09.000 --> 00:03:11.000]  有些不是
[00:03:11.000 --> 00:03:14.000]  還有啟示62章
[00:03:14.000 --> 00:03:19.000]  Michael和他的天使和龍
[00:03:19.000 --> 00:03:21.000]  實在那個字是他的天使
[00:03:21.000 --> 00:03:23.000]  龍也有他的天使一起增展
[00:03:23.000 --> 00:03:26.000]  感覺上有兩個軍隊在打仗
[00:03:26.000 --> 00:03:28.000]  如果是軍隊
[00:03:28.000 --> 00:03:30.000]  那就有不同的階級
[00:03:30.000 --> 00:03:32.000]  就是這樣而來
[00:03:32.000 --> 00:03:34.000]  去到第二聖殿
[00:03:34.000 --> 00:03:37.000]  聖經之外就多了
[00:03:37.000 --> 00:03:39.000]  《次經》、《魏經》
[00:03:39.000 --> 00:03:41.000]  就說有很多天使
[00:03:41.000 --> 00:03:42.000]  很多不同的名字
[00:03:42.000 --> 00:03:44.000]  很多東西出現
[00:03:44.000 --> 00:03:47.000]  實在那些不是在聖經裡面
[00:03:47.000 --> 00:03:52.000]  所以對我們來說沒有什麼參考價值
[00:03:52.000 --> 00:03:54.000]  不過很有趣
[00:03:54.000 --> 00:03:57.000]  那撒旦是不是墮落了的天使?
[00:03:57.000 --> 00:04:00.000]  耶穌自己說的
[00:04:00.000 --> 00:04:01.000]  我看撒旦
[00:04:01.000 --> 00:04:05.000]  就是墮落那條科的意思
[00:04:05.000 --> 00:04:07.000]  傳統說是
[00:04:07.000 --> 00:04:10.000]  只有那句話
[00:04:10.000 --> 00:04:14.000]  我們知道撒旦
[00:04:14.000 --> 00:04:16.000]  從那個角度來看
[00:04:16.000 --> 00:04:18.000]  加上白記
[00:04:18.000 --> 00:04:21.000]  他會去到神的面前
[00:04:21.000 --> 00:04:24.000]  他也叫做神的兒子
[00:04:24.000 --> 00:04:27.000]  所以他應該也是一個天使
[00:04:27.000 --> 00:04:29.000]  我們說他墮落了
[00:04:29.000 --> 00:04:31.000]  他現在是敵黨神
[00:04:31.000 --> 00:04:33.000]  他不是像其他天使
