
[00:00:00.000 --> 00:00:12.000]  好,各位收看直播的大型節目,大家好
[00:00:12.000 --> 00:00:17.000]  今天很開心有機會再一次跟大家分享訊息
[00:00:17.000 --> 00:00:22.000]  不知道各位朋友、大型節目近來心情如何
[00:00:22.000 --> 00:00:25.000]  可能當你每一天有機會看到新聞報道的時候
[00:00:25.000 --> 00:00:30.000]  你見到疫情第三波越來越嚴重,心裏面也有一沉
[00:00:30.000 --> 00:00:34.000]  可能你剛剛也看完衛生署的記者會
[00:00:34.000 --> 00:00:37.000]  你見到今天的確診數字又飆升的時候
[00:00:37.000 --> 00:00:39.000]  你心裏面也很難過
[00:00:39.000 --> 00:00:42.000]  有時當我們面對心靈裏面很多不同的處境
[00:00:42.000 --> 00:00:44.000]  很多的逆境的時候
[00:00:44.000 --> 00:00:48.000]  悲傷難過的心情是難免的
[00:00:48.000 --> 00:00:52.000]  但今天我們如何在聖經的位置裏面學習
[00:00:52.000 --> 00:00:54.000]  一同去備提醒
[00:00:54.000 --> 00:00:57.000]  在一個充滿患難、充滿挑戰的世代裏面
[00:00:57.000 --> 00:01:02.000]  我們如何能夠將一份悲傷化為力量
[00:01:02.000 --> 00:01:06.000]  今天在當中跟大家分享的繼續是登山補訓的訊息
[00:01:06.000 --> 00:01:10.000]  說到第二幅,我相信很多人都認識的
[00:01:10.000 --> 00:01:15.000]  登山補訓當中的對象是一群散落在耶路撒冷的猶太人
[00:01:15.000 --> 00:01:20.000]  同樣他們都是面對很多充滿挑戰、壓迫、患難的環境裏面
[00:01:20.000 --> 00:01:23.000]  但耶穌基督透過登山補訓要教導他們
[00:01:23.000 --> 00:01:27.000]  沒錯,外在的環境是充滿挑戰、充滿困難
[00:01:27.000 --> 00:01:31.000]  但我們如何靠著上帝的恩典去領受從上帝而來的福氣
[00:01:31.000 --> 00:01:35.000]  讓我們有能力去面對當下的處境
[00:01:35.000 --> 00:01:39.000]  盼望藉著馬太福音的經文和另一段約翰福音的經文
[00:01:39.000 --> 00:01:44.000]  讓我們一同去學習如何化悲傷能夠成為力量
[00:01:44.000 --> 00:01:46.000]  請大家先聽我讀出當中的經文
[00:01:46.000 --> 00:01:48.000]  經文裏面這樣說
[00:01:48.000 --> 00:01:53.000]  「哀動的人有福了,因為他們必得安慰」
[00:01:53.000 --> 00:01:58.000]  另外,在約翰福音第十一章裏面這樣記載
[00:01:58.000 --> 00:02:08.000]  「瑪利亞到了耶穌那裏,看見祂就俯伏在祂腳前,對祂說:主啊,祢若早在這裏,我大帝就不會死了。
[00:02:08.000 --> 00:02:16.000]  耶穌看見祂哭,並看見與祂同來的猶太人也哭,就心裏悲慨,又甚憂愁。
[00:02:16.000 --> 00:02:23.000]  就說你們把祂安放在那裏,他們對祂說:主啊,請祢來害,耶穌哭了。
[00:02:23.000 --> 00:02:26.000]  猶太人就說:你看,祂多麼愛祂。
[00:02:26.000 --> 00:02:32.000]  其中有人說:祂既然開了萬人的眼睛,難道不能叫這人不死嗎?」
[00:02:32.000 --> 00:02:36.000]  這是記載往後拉薩路復活之前的一段經文
[00:02:36.000 --> 00:02:38.000]  讓我們一同去禱告
[00:02:38.000 --> 00:02:41.000]  七位恩主,多謝您讓我們今天能夠
[00:02:41.000 --> 00:02:45.000]  雖然我們暫時不能夠有實體的聚會和崇拜
