
[00:00:00.000 --> 00:00:05.520]  在子林的分享中,我看到今天的題目是《亂世中的門徒群體》
[00:00:05.520 --> 00:00:11.840]  信徒或門徒與這個世界不能夠分割
[00:00:11.840 --> 00:00:15.680]  當我們身處這個世界,我們就是被這個世界所影響
[00:00:15.680 --> 00:00:18.280]  這個世界發生了什麼事情
[00:00:18.280 --> 00:00:21.240]  或者你自己生命中有什麼遭遇
[00:00:21.240 --> 00:00:24.680]  直接在你的生命當中會發現出來
[00:00:24.680 --> 00:00:28.040]  今天的題目分了兩件事
[00:00:28.040 --> 00:00:30.760]  第一,今天我們面對一個什麼樣的世代
[00:00:30.760 --> 00:00:34.320]  一個充滿混亂、充滿挑戰
[00:00:34.320 --> 00:00:39.440]  或者甚至你自己生命中充滿了很多不同困難的時刻
[00:00:39.440 --> 00:00:44.480]  這些時刻直接地影響今天你與上帝的關係
[00:00:44.480 --> 00:00:49.160]  有時外在的環境我們無法選擇亦無法避免
[00:00:49.160 --> 00:00:53.760]  但今天你可以選擇你用一個什麼身份
[00:00:53.760 --> 00:00:56.320]  用一個什麼心態在當中面對
[00:00:57.600 --> 00:00:58.800]  世界亂了
[00:00:58.800 --> 00:01:03.240]  我不知道你有多認同這個世界發生了什麼事情
[00:01:03.240 --> 00:01:08.840]  以下舉例跟大家看一些今天我們所面對世界發生的一些情況
[00:01:08.840 --> 00:01:13.880]  世界氣象組織告訴你全球的水循環亂了
[00:01:13.880 --> 00:01:15.080]  什麼是水循環
[00:01:15.080 --> 00:01:20.080]  就是以前不會多下雨的地方,今天下到很大聲
[00:01:20.080 --> 00:01:25.680]  以前下雨很厲害的地方,今天會出現旱災
[00:01:25.680 --> 00:01:26.880]  包括什麼呢?
[00:01:26.880 --> 00:01:28.200]  之前你有沒有聽過新聞
[00:01:28.200 --> 00:01:30.200]  在迪拜一個沙漠的地方
[00:01:30.200 --> 00:01:34.240]  居然可以下到傾盆大雨、水浸的一樣
[00:01:34.240 --> 00:01:38.000]  在過去十幾二十年或者更長更遠的日子裡
[00:01:38.000 --> 00:01:39.800]  你不會見到這些事情發生
[00:01:39.800 --> 00:01:45.000]  不單止有天災人禍
[00:01:45.000 --> 00:01:49.120]  中東的戰爭,今天已經不只是說以巴了
[00:01:49.120 --> 00:01:52.280]  以色列和黎巴嫩或者甚至乎和伊朗
[00:01:52.280 --> 00:01:54.200]  都會有衝突的發生
[00:01:54.440 --> 00:01:57.040]  中東的地方戰雲密佈
[00:01:57.040 --> 00:02:01.840]  甚至乎有些飛機都不敢再飛到當中的上空
[00:02:01.840 --> 00:02:04.200]  不單止中東,大家都知道
[00:02:04.200 --> 00:02:06.200]  俄烏的戰爭同樣都一樣
[00:02:06.200 --> 00:02:10.000]  打了差不多超過兩年的情況
[00:02:10.000 --> 00:02:12.920]  仍然都沒有任何平息的跡象
[00:02:12.920 --> 00:02:15.840]  戰爭、戰火不斷的發生
[00:02:15.840 --> 00:02:18.960]  我想有時候不單止中東或者歐洲的地方
[00:02:18.960 --> 00:02:21.040]  南北韓的局勢
[00:02:21.040 --> 00:02:22.600]  我不知道你有多少看新聞
[00:02:22.600 --> 00:02:23.760]  南北韓的局勢
[00:02:23.760 --> 00:02:24.720]  時好時壞
[00:02:24.720 --> 00:02:26.960]  有時候又要測試一下導彈
[00:02:26.960 --> 00:02:27.920]  又射得多遠
[00:02:27.920 --> 00:02:29.840]  又射到你旁邊,又不是射中你
[00:02:29.840 --> 00:02:31.560]  等等很多這些情況
[00:02:31.560 --> 00:02:34.080]  在東亞的地方同樣都在發生
[00:02:34.080 --> 00:02:36.400]  今天作為信徒的
[00:02:36.400 --> 00:02:38.200]  我們不只是在教會裡面
[00:02:38.200 --> 00:02:39.160]  四面牆裡面
[00:02:39.160 --> 00:02:40.600]  回來我們一起敬拜
[00:02:40.600 --> 00:02:42.000]  聽聽見證,多好
[00:02:42.000 --> 00:02:45.000]  其實這個世界發生很多很多的事情
[00:02:45.000 --> 00:02:47.960]  或多或少都直接或者間接地影響
[00:02:47.960 --> 00:02:50.400]  今天我們怎樣看信仰的生命
[00:02:51.400 --> 00:02:52.800]  美國的大選
[00:02:52.800 --> 00:02:54.440]  接下來差不多到年底的時候
[00:02:54.440 --> 00:02:55.720]  會不會有美國的大選
[00:02:55.720 --> 00:02:58.040]  特朗普今天不是對拜登
[00:02:58.040 --> 00:02:59.280]  對賀錦麗
[00:02:59.280 --> 00:03:02.280]  共和黨、民主黨
[00:03:02.280 --> 00:03:04.760]  究竟哪一個政黨的上場
[00:03:04.760 --> 00:03:07.600]  都直接影響整個世界的局勢
[00:03:07.600 --> 00:03:10.120]  和中國的關係
[00:03:10.120 --> 00:03:11.640]  和世界的關係
[00:03:11.640 --> 00:03:14.800]  這些或多或少都直接地影響今天
[00:03:14.800 --> 00:03:16.200]  我們怎樣看這個世界
[00:03:16.200 --> 00:03:18.400]  說回香港
[00:03:18.400 --> 00:03:21.000]  香港經濟低迷
[00:03:21.800 --> 00:03:23.200]  很多的店鋪
[00:03:23.200 --> 00:03:23.880]  結業
[00:03:23.880 --> 00:03:25.280]  特別一些零售
[00:03:25.280 --> 00:03:26.880]  或者一些餐飲業
[00:03:26.880 --> 00:03:28.080]  說真的
[00:03:28.080 --> 00:03:30.080]  大家有沒有不上消費
[00:03:30.080 --> 00:03:32.680]  可能你都會有的
[00:03:32.680 --> 00:03:36.680]  我聽我的同工說
[00:03:36.680 --> 00:03:39.080]  剛剛對上一個週末一天
[00:03:39.080 --> 00:03:41.280]  有九十多萬人
[00:03:41.280 --> 00:03:43.880]  過關不上
[00:03:43.880 --> 00:03:45.200]  一天
[00:03:45.200 --> 00:03:48.800]  因為我想現在交通實在太方便了
[00:03:48.800 --> 00:03:51.480]  以前回到大陸都比較麻煩
[00:03:51.480 --> 00:03:53.480]  現在太多的關口
[00:03:53.480 --> 00:03:54.920]  很快就到達
[00:03:54.920 --> 00:03:57.120]  沒錯
[00:03:57.120 --> 00:03:59.440]  今天我們不是說
[00:03:59.440 --> 00:04:00.920]  你不上消費好還是不好
[00:04:00.920 --> 00:04:03.440]  還是你要刺激本地的經濟
[00:04:03.440 --> 00:04:06.240]  而今天我們就是面對這個情況
[00:04:06.240 --> 00:04:07.600]  有些調查告訴你
[00:04:07.600 --> 00:04:09.920]  在上年的9至11月
[00:04:09.920 --> 00:04:15.080]  總共有差不多接近1200間的餐廳倒閉了
[00:04:15.080 --> 00:04:18.160]  短短三個月
[00:04:19.160 --> 00:04:23.160]  經濟在當中持續地沒有什麼氣息的時間
[00:04:23.160 --> 00:04:26.160]  都是我們今天所面對的一些情況
[00:04:26.160 --> 00:04:29.560]  不單是客觀的環境
[00:04:29.560 --> 00:04:30.440]  人生命
[00:04:30.440 --> 00:04:33.440]  特別是情緒上的健康
[00:04:33.440 --> 00:04:36.040]  當你面對家庭裡的壓力
[00:04:36.040 --> 00:04:37.640]  工作上的壓力
[00:04:37.640 --> 00:04:41.640]  他說有八成的港人感覺到壓力過大
[00:04:41.640 --> 00:04:43.440]  感覺到疲累
[00:04:44.960 --> 00:04:48.680]  或者今天我們就是面對一個整體的客觀的環境
[00:04:48.680 --> 00:04:50.480]  無論世界大事也好
[00:04:50.480 --> 00:04:52.080]  本港的一些情況也好
[00:04:52.080 --> 00:04:55.480]  或者甚至你生命的經歷和遭遇也好
[00:04:55.480 --> 00:04:59.080]  我們都是面對一個不容易的日子
[00:04:59.080 --> 00:05:00.880]  你有沒有問過你自己
[00:05:00.880 --> 00:05:01.680]  你作為一個信徒
[00:05:01.680 --> 00:05:04.080]  或者甚至你覺得你成為一個主的門徒
[00:05:04.080 --> 00:05:05.760]  面對一個這樣的環境
[00:05:05.760 --> 00:05:07.480]  我們應該如何面對
[00:05:07.480 --> 00:05:09.880]  還沒說如何面對才知道
[00:05:09.880 --> 00:05:11.880]  我想邀請大家一起祈禱
[00:05:11.880 --> 00:05:14.280]  當你聽到
[00:05:14.280 --> 00:05:15.880]  無論世界大事也好
[00:05:15.880 --> 00:05:16.880]  香港也好
[00:05:16.880 --> 00:05:19.280]  生命的遭遇經歷也好
[00:05:19.280 --> 00:05:22.280]  我不知道你有沒有感覺到有疲累
[00:05:22.280 --> 00:05:23.880]  壓力很大
[00:05:23.880 --> 00:05:25.880]  或者甚至是沮喪的時間
[00:05:25.880 --> 00:05:28.480]  很想邀請大家
[00:05:28.480 --> 00:05:31.280]  今天在你的座位裡
[00:05:31.280 --> 00:05:32.680]  先為你自己祈禱
[00:05:32.680 --> 00:05:37.080]  無論今天你面對一個什麼樣的處境
[00:05:37.080 --> 00:05:38.680]  求上帝幫助你
[00:05:38.680 --> 00:05:39.880]  開你的生命
[00:05:39.880 --> 00:05:41.480]  開你的眼睛
[00:05:42.280 --> 00:05:46.880]  雖然今天我們面對一個充滿挑戰的年代
[00:05:46.880 --> 00:05:49.680]  求上帝幫助我們
[00:05:49.680 --> 00:05:52.280]  讓我們無論在什麼時代
[00:05:52.280 --> 00:05:55.280]  我們都願意去捉緊上帝的指引
[00:05:55.280 --> 00:05:57.280]  七位恩主
[00:05:57.280 --> 00:05:59.080]  我們都為在在的每一個弟兄姐妹
[00:05:59.080 --> 00:06:00.280]  加以上帝的手當中
[00:06:00.280 --> 00:06:03.280]  多謝主你引領我們來到這裡
[00:06:03.280 --> 00:06:06.680]  無論今天我們看這個世界是充滿了挑戰
[00:06:06.680 --> 00:06:09.280]  甚至我們覺得充滿了很多的黑暗
[00:06:11.080 --> 00:06:13.080]  但是黑暗不能遮蓋大地
[00:06:13.080 --> 00:06:15.480]  求主幫助我們
[00:06:15.480 --> 00:06:18.080]  讓我們的心能夠緊靠上帝
[00:06:18.080 --> 00:06:21.080]  因為你是我們生命的救主
[00:06:21.080 --> 00:06:24.480]  讓我們能夠捉緊從你而來的那份使命
[00:06:24.480 --> 00:06:25.680]  方向和目標
[00:06:25.680 --> 00:06:26.480]  沒錯
[00:06:26.480 --> 00:06:28.680]  有時候外在的環境我們掌握不了
[00:06:28.680 --> 00:06:29.880]  甚至乎改變不了
[00:06:29.880 --> 00:06:32.880]  但是我們可以選擇以一個什麼身份
[00:06:32.880 --> 00:06:35.080]  或者以一個什麼心態
[00:06:35.080 --> 00:06:36.280]  在當中去面對
[00:06:36.280 --> 00:06:38.280]  求主繼續幫助我們
[00:06:38.280 --> 00:06:39.480]  我們眾多節目同在
[00:06:39.480 --> 00:06:40.880]  多謝主我們禱告
[00:06:40.880 --> 00:06:42.880]  交託奉耶穌基督名謝其求
[00:06:42.880 --> 00:06:43.680]  阿們
[00:06:43.680 --> 00:06:46.080]  有一本書叫做《雙城記》
[00:06:46.080 --> 00:06:47.280]  在十九世紀裡面
[00:06:47.280 --> 00:06:48.680]  英國的作家狄根斯
[00:06:48.680 --> 00:06:50.280]  他講了一句這樣的說話
[00:06:50.280 --> 00:06:52.480]  這是一個最好的時代
[00:06:52.480 --> 00:06:55.280]  也是一個最壞的時代
[00:06:55.280 --> 00:06:58.080]  我不知道你今天怎麼看
[00:06:58.080 --> 00:07:01.280]  你今天所面對的一切的環境或者遭遇
[00:07:01.280 --> 00:07:03.480]  正如剛才志琳也說
[00:07:03.480 --> 00:07:05.680]  亂也為他帶來一些好處
[00:07:05.680 --> 00:07:09.280]  亂能夠為他再一次重新整理他的生命
[00:07:09.480 --> 00:07:11.880]  無論今天你怎麼去評論
[00:07:11.880 --> 00:07:13.880]  今天你所面對的環境
[00:07:13.880 --> 00:07:14.880]  遭遇
[00:07:14.880 --> 00:07:17.080]  你可能覺得很好
[00:07:17.080 --> 00:07:18.880]  你可能覺得是很壞
[00:07:18.880 --> 00:07:22.080]  但是你可以選擇
[00:07:22.080 --> 00:07:25.880]  用一個什麼的心態去面對
[00:07:25.880 --> 00:07:28.680]  在《四經七百》來書第十三章第八章
[00:07:28.680 --> 00:07:30.680]  我們很熟悉的一段經文這樣說
[00:07:30.680 --> 00:07:35.280]  他說耶穌基督是昨日今日一直到永遠都是一樣
[00:07:35.280 --> 00:07:37.680]  聖經裡面說得很清楚
[00:07:37.680 --> 00:07:39.880]  耶穌基督在過去的日子
[00:07:39.880 --> 00:07:41.280]  今日的日子
[00:07:41.280 --> 00:07:44.680]  或者將來的日子從來沒有改變過
[00:07:44.680 --> 00:07:46.880]  我不知道你怎麼理解這段經文
[00:07:46.880 --> 00:07:47.480]  那就是了
[00:07:47.480 --> 00:07:49.080]  耶穌不改變嘛
[00:07:49.080 --> 00:07:49.480]  是不是
[00:07:49.480 --> 00:07:50.880]  但是我鼓勵你
[00:07:50.880 --> 00:07:52.480]  你再看這段經文的時間
[00:07:52.480 --> 00:07:53.680]  你再看一節
[00:07:53.680 --> 00:07:56.280]  你知不知道第十三章第七節
[00:07:56.280 --> 00:07:57.080]  他講了什麼
[00:07:57.080 --> 00:08:01.680]  他說從前引導你們的
[00:08:01.680 --> 00:08:03.480]  傳上帝的道給你們的
[00:08:03.480 --> 00:08:05.080]  你們要紀念他們
