
[00:00:00.000 --> 00:00:06.400]  (敲打)
[00:00:06.400 --> 00:00:08.400]  都幾得意
[00:00:08.400 --> 00:00:13.200]  頭先個敬拜係我哋登耶和華嘅聖山
[00:00:13.200 --> 00:00:16.200]  今日嘅經文就係
[00:00:16.200 --> 00:00:18.200]  如果你知就係主禱文
[00:00:18.200 --> 00:00:20.800]  都係登山嘅狀態嚟嘅
[00:00:20.800 --> 00:00:23.800]  登山補訓入面嘅主禱文
[00:00:23.800 --> 00:00:27.600]  咁所以都真係喺一個山上面我哋去聽上帝嘅話語
[00:00:27.600 --> 00:00:32.000]  所以我哋一陣間就會繼續去睇呢段經文
[00:00:32.000 --> 00:00:34.000]  歡迎大家嚟到YouFest先
[00:00:34.000 --> 00:00:40.800]  近排我嘅生命狀態唔係好容易
[00:00:40.800 --> 00:00:44.400]  好忙碌 冇乜時間可以停落嚟
[00:00:44.400 --> 00:00:48.200]  話說我要喺度發洩一下
[00:00:48.200 --> 00:00:52.000]  前幾日我個腦入面突然之間有一個畫面
[00:00:52.000 --> 00:00:55.200]  嗰個畫面就係一條爆咗嘅芝士腸
[00:00:55.200 --> 00:01:00.400]  跟住我就越諗越覺得我自己嘅生命就係一條爆咗嘅芝士腸
[00:01:00.400 --> 00:01:06.800]  我嘅schedule 生活狀態 作息 時間好似爆開咗咁
[00:01:06.800 --> 00:01:08.800]  冇辦法維持一個正常
[00:01:08.800 --> 00:01:11.800]  呢個係意境嚟嘅 其實個內容係唔重要
[00:01:11.800 --> 00:01:17.600]  即使我維持住呢個狀態 但係我繼續要去主
[00:01:17.600 --> 00:01:21.200]  今日都要去主 主禱文
[00:01:21.200 --> 00:01:25.800]  咁藉住主禱文 我哋注視返上帝 即係注視返我哋嘅上帝
[00:01:25.800 --> 00:01:29.800]  希望我係喺忙碌到爆嘅日子 我哋藉住禱文
[00:01:29.800 --> 00:01:33.200]  我哋都可以畀主親自牧養安慰同埋更生
[00:01:33.200 --> 00:01:37.200]  如果大家都係喺呢個狀態 咁恭喜你 你哋有福啦
[00:01:37.200 --> 00:01:40.600]  如果唔係呢個狀態嘅話 你哋回想下你過往
