
[00:00:00.000 --> 00:00:10.400]  好 多謝欣宇和頂姐妹同工帶領我們的敬拜
[00:00:10.400 --> 00:00:15.000]  很感恩 我覺得是很預備我們去聽道
[00:00:15.000 --> 00:00:19.600]  已經祈禱求主預備我們的心去聽聽明主的話語
[00:00:19.600 --> 00:00:22.200]  更加我覺得在這個日子裏面
[00:00:22.200 --> 00:00:26.000]  我們很需要一個這樣的祈禱讓主在我們心裏面去掌權
[00:00:26.000 --> 00:00:32.600]  今天我們跟大家去分享一個訊息 這個訊息叫做遍地充滿
[00:00:32.600 --> 00:00:36.800]  經文記載以創下書第十一章第一到第九節
[00:00:36.800 --> 00:00:40.000]  讓我跟大家去讀出來這篇聖經
[00:00:40.000 --> 00:00:49.000]  從耶西的殘幹必長出亂芝 她的根所秋的枝子必結果實
[00:00:49.000 --> 00:01:00.200]  耶和華的靈必住在她身上 就是智慧和聰明的靈 謀略和能力的靈 知識和敬畏耶和華的靈
[00:01:00.200 --> 00:01:07.400]  她必以敬畏耶和華為樂 行審判不憑眼見 斷是非也不憑耳聞
[00:01:07.400 --> 00:01:14.000]  卻要以公義審判貧寒人 以正直判斷地上的困苦人
[00:01:14.000 --> 00:01:26.000]  以口中的棍擊打全地 以嘴裡的氣殺戮惡人 公義必當她的腰帶 信實必作她脅下的大志
[00:01:26.000 --> 00:01:36.600]  野狼必與小綿羊同住 豹子與小山羊同餓 燒葬獅子牛毒和肥畜同群
[00:01:36.600 --> 00:01:45.600]  孩童要牽引他們 牛必與熊同食 牛毒與小熊同餓 獅子與牛一樣吃草
[00:01:45.600 --> 00:01:53.800]  吃奶的嬰孩在毀蛇的洞口玩耍 斷奶的嬰孩必按守在毒蛇的穴上
[00:01:53.800 --> 00:01:59.800]  在惡性山角處 他們都不傷人不害物
[00:01:59.800 --> 00:02:12.800]  因為認識耶和華的知識 要遍滿全地 好像水充滿海洋一樣
[00:02:12.800 --> 00:02:15.800]  我們先同心祈禱
[00:02:17.800 --> 00:02:25.800]  耶穌我們願祢為王 願祢的國來到地上
[00:02:25.800 --> 00:02:36.800]  因為在祢掌權的國裡 我們看到光 我們看到公義 我們看到平安 我們看到醫治
[00:02:36.800 --> 00:02:41.800]  我們看到獅子老虎和綿羊和牛可以一起同住
[00:02:41.800 --> 00:02:47.800]  在祢的國裡 一切都不傷人不害物
[00:02:47.800 --> 00:02:50.800]  所以耶穌我們願祢的國來到
[00:02:50.800 --> 00:02:58.800]  但我們在祢的國來到的日子裡 主求祢也預備我們能成為祢的國裡的子民
[00:02:58.800 --> 00:03:05.800]  求主掌管我口中的說話 也掌管弟子妹要聽到祢要跟我們說的話
[00:03:05.800 --> 00:03:09.800]  多謝主聽我們禱告 奉靠耶穌的名求 阿們
[00:03:09.800 --> 00:03:12.800]  以賽亞書十一章 遍地充滿
[00:03:12.800 --> 00:03:19.800]  最初看這段聖經的時候 當然令我想起所唱的詩歌
[00:03:19.800 --> 00:03:23.800]  有不同敬拜的詩歌都引用過這句話
