
[00:00:00.000 --> 00:00:05.320]  今天我建議大家打開手機打開聖經
[00:00:05.320 --> 00:00:06.680]  看經文
[00:00:06.680 --> 00:00:11.320]  因為我們雖然只會認識這段很短的經文
[00:00:11.320 --> 00:00:15.320]  但是我們會看一點前文後理
[00:00:15.320 --> 00:00:18.600]  打開聖經會方便一點看
[00:00:18.600 --> 00:00:22.200]  整段經文大家剛才讀了一次
[00:00:22.200 --> 00:00:24.040]  看起來是不難的
[00:00:24.040 --> 00:00:26.840]  用一個平時會經的方法去看
[00:00:26.840 --> 00:00:29.920]  愛人如己
[00:00:29.920 --> 00:00:31.720]  整段經文講什麼呢
[00:00:31.720 --> 00:00:34.720]  第一句和最後一句
[00:00:34.720 --> 00:00:38.040]  愛或愛人就成全了律法
[00:00:38.040 --> 00:00:39.160]  重複了兩次
[00:00:39.160 --> 00:00:40.480]  還要放在頭和尾
[00:00:40.480 --> 00:00:44.760]  所以這一句就是作者想帶出的重點
[00:00:44.760 --> 00:00:47.800]  而什麼叫做愛就成全律法呢
[00:00:47.800 --> 00:00:49.920]  中間解釋了
[00:00:49.920 --> 00:00:51.040]  在十誡裡面
[00:00:51.040 --> 00:00:53.440]  見機在愛倫如己
[00:00:53.440 --> 00:00:55.000]  原來是
[00:00:55.000 --> 00:00:58.440]  很容易明白的經文
[00:00:58.440 --> 00:01:01.240]  但是再仔細一點看的時候
[00:01:01.240 --> 00:01:03.320]  會發現有兩個不對勁的位置
[00:01:03.320 --> 00:01:05.320]  有兩個問題要解決
[00:01:05.320 --> 00:01:08.600]  聖經要教我們愛人就愛人
[00:01:08.600 --> 00:01:12.160]  為什麼愛和虧欠有什麼關係呢
[00:01:12.160 --> 00:01:15.800]  愛和律法又有什麼關係呢
[00:01:15.800 --> 00:01:19.560]  今天重點和大家解決這兩個問題
[00:01:19.560 --> 00:01:21.920]  我們看看經文結構
[00:01:21.920 --> 00:01:24.680]  首先我們嘗試回答第一個問題
[00:01:24.680 --> 00:01:26.840]  對任何人都不可虧欠
[00:01:26.840 --> 00:01:29.320]  任何人是誰呢
[00:01:29.320 --> 00:01:34.120]  羅馬書十三章八至十節
[00:01:34.120 --> 00:01:36.000]  我們剛才讀的這段經文
[00:01:36.000 --> 00:01:42.080]  其實是整個羅馬書十二章至十三章的總結
[00:01:42.080 --> 00:01:44.680]  你可以看一點
[00:01:44.680 --> 00:01:46.000]  你們隨便看
[00:01:46.000 --> 00:01:47.640]  看標題都可以
[00:01:47.640 --> 00:01:50.040]  如果你有和合本修訂版的話
[00:01:50.040 --> 00:01:52.400]  為什麼我會這樣說呢
[00:01:52.400 --> 00:01:55.720]  因為我們看整個羅馬書十三章
[00:01:55.720 --> 00:01:58.200]  只是看那個位置的部分
[00:01:58.200 --> 00:02:00.400]  如果你們看我的經文是講掌權者的
[00:02:00.400 --> 00:02:02.440]  其實他沒有什麼講愛
[00:02:02.440 --> 00:02:04.200]  沒有什麼解釋什麼是愛的東西
