
[00:00:00.000 --> 00:00:02.000]  各位大姊妹平安
[00:00:02.000 --> 00:00:06.000]  歡迎你們歡迎我
[00:00:06.000 --> 00:00:10.000]  因為這次是你們轉到新的地方的時候
[00:00:10.000 --> 00:00:14.000]  第一次上來這個地方去港島
[00:00:14.000 --> 00:00:17.000]  你們享受這個新的地方嗎?
[00:00:17.000 --> 00:00:18.000]  棒不棒?
[00:00:18.000 --> 00:00:21.000]  這個好像更加…
[00:00:21.000 --> 00:00:23.000]  是不是有些很chill的corner?
[00:00:23.000 --> 00:00:27.000]  然後又覺得好像大家的距離又近了一點
[00:00:27.000 --> 00:00:30.000]  不過少少美中不足之處就是
[00:00:30.000 --> 00:00:34.000]  我想起之前幾次跟大家分享訊息
[00:00:34.000 --> 00:00:36.000]  都是很想跟大家一起讀聖經
[00:00:36.000 --> 00:00:38.000]  但就想起聖經應該在八樓
[00:00:38.000 --> 00:00:41.000]  沒理由這麼短的時間要私事搬上搬下
[00:00:41.000 --> 00:00:45.000]  但是無論如何我們即使是一個新的地方
[00:00:45.000 --> 00:00:50.000]  我們可能今天未必是跟大家再去翻開實體的聖經
[00:00:50.000 --> 00:00:52.000]  去讀今天的經文
[00:00:52.000 --> 00:00:54.000]  但即使我們的環境改變了
[00:00:54.000 --> 00:00:55.000]  有些東西不同了
[00:00:55.000 --> 00:00:58.000]  但我們一起預備心去聽上帝的導引
[00:00:58.000 --> 00:01:00.000]  這個心我們都要好好地去預備
[00:01:00.000 --> 00:01:01.000]  好嗎?
[00:01:01.000 --> 00:01:03.000]  是不是有pointer的?
[00:01:03.000 --> 00:01:06.000]  還是我要指向下一頁?
[00:01:06.000 --> 00:01:08.000]  OK 好
[00:01:08.000 --> 00:01:10.000]  那我指向下一頁
[00:01:10.000 --> 00:01:15.000]  今天我要跟大家宣講的這個訊息
[00:01:15.000 --> 00:01:20.000]  是來自另一位馬堂的童工Michael去到Set的一個系列
