
[00:00:00.000 --> 00:00:02.000]  很開心又見到大家
[00:00:02.000 --> 00:00:05.280]  其實是未過農曆十五的
[00:00:05.280 --> 00:00:06.640]  所以還是新年
[00:00:06.640 --> 00:00:07.240]  農曆新年
[00:00:07.240 --> 00:00:09.400]  所以我都在祝福現場的
[00:00:09.400 --> 00:00:10.880]  和網上的
[00:00:10.880 --> 00:00:12.000]  每位訂閱姐妹
[00:00:12.000 --> 00:00:12.760]  新一年怎麼樣
[00:00:12.760 --> 00:00:13.880]  身體健康
[00:00:13.880 --> 00:00:16.120]  愛主更深
[00:00:16.120 --> 00:00:18.040]  我不知道各位年輕人
[00:00:18.040 --> 00:00:20.640]  你們喜不喜歡新年
[00:00:20.640 --> 00:00:21.640]  我不知道你喜不喜歡
[00:00:21.640 --> 00:00:23.080]  可能有些是喜歡的
[00:00:23.080 --> 00:00:23.880]  什麼原因你喜歡
[00:00:23.880 --> 00:00:25.920]  因為有假期
[00:00:25.920 --> 00:00:27.120]  有假期
[00:00:27.120 --> 00:00:29.760]  有利是
[00:00:29.760 --> 00:00:30.960]  又有節日氣氛
[00:00:30.960 --> 00:00:32.600]  多好
[00:00:32.600 --> 00:00:33.440]  有些點頭
[00:00:33.440 --> 00:00:35.160]  我見到應該是
[00:00:35.160 --> 00:00:36.640]  但我見到這麼多沒有反應
[00:00:36.640 --> 00:00:39.160]  其實可能他們不喜歡
[00:00:39.160 --> 00:00:39.920]  什麼原因
[00:00:39.920 --> 00:00:41.640]  人多
[00:00:41.640 --> 00:00:43.560]  要去拜年的時候
[00:00:43.560 --> 00:00:46.840]  要開口說一些祝福的話
[00:00:46.840 --> 00:00:48.040]  不單止這樣
[00:00:48.040 --> 00:00:50.000]  甚至可能拜年的時候
[00:00:50.000 --> 00:00:53.440]  被長輩問一些很尷尬的問題
[00:00:53.440 --> 00:00:54.920]  我記得很久很久之前
[00:00:54.920 --> 00:00:55.840]  我見過一個長輩
[00:00:55.840 --> 00:00:57.320]  不是一個年輕人
[00:00:57.320 --> 00:00:58.640]  通常都是
[00:00:58.640 --> 00:01:00.040]  見到他之後
[00:01:00.040 --> 00:01:01.000]  很久沒見了
[00:01:01.000 --> 00:01:03.160]  你現在中幾了
[00:01:03.160 --> 00:01:04.720]  那個年輕人
[00:01:04.720 --> 00:01:06.640]  他睜一眼
[00:01:06.640 --> 00:01:08.440]  然後很大聲說
[00:01:08.440 --> 00:01:11.680]  我中大的
[00:01:11.680 --> 00:01:12.280]  當然
[00:01:12.280 --> 00:01:13.120]  你明白嗎
[00:01:13.120 --> 00:01:14.400]  年輕人在中大讀書
