
[00:00:00.000 --> 00:00:07.000]  大家好,再一次能夠去到小聯堂跟大家分享
[00:00:07.000 --> 00:00:12.000]  上星期大家都在現場,我也是,今個星期又在這裡
[00:00:12.000 --> 00:00:19.000]  今天跟大家分享的訊息是其他的設計師設計給我的
[00:00:19.000 --> 00:00:26.000]  我看看大家設計給我的世代的PowerPoint
[00:00:26.000 --> 00:00:33.000]  我調了,因為我早點來的時候,我看到謎底已經揭曉了
[00:00:33.000 --> 00:00:39.000]  我通常講到會將謎底放在最後,所以我就會給大家填格制
[00:00:39.000 --> 00:00:45.000]  除非你很留意網上的資訊,無論你是手機的apps
[00:00:45.000 --> 00:00:48.000]  我都不問大家了,有多少人安裝了手機apps
[00:00:48.000 --> 00:00:55.000]  或者是看實體的月刊,或者是網上月刊,或者看牧區的IG的時候
[00:00:55.000 --> 00:01:00.000]  你就會回答到這五個字,放心,這是學生的答法
[00:01:00.000 --> 00:01:04.000]  學生和門徒是有分別的,我先簡介一下自己
[00:01:04.000 --> 00:01:10.000]  我一開始很早期都不知道什麼叫門徒,因為我不是教會之弟
[00:01:10.000 --> 00:01:14.000]  當然教會之弟也不代表一定會知道什麼叫門徒
[00:01:14.000 --> 00:01:20.000]  我在大專的時候信主,在美國,當時我很理性
[00:01:20.000 --> 00:01:24.000]  當然你說我在香港有回過一些教的學校
[00:01:24.000 --> 00:01:28.000]  就算我有錢也是教學校的,當時略知一二聖經
[00:01:28.000 --> 00:01:31.000]  但就不是很知道什麼叫門徒
[00:01:31.000 --> 00:01:36.000]  初信的時候都是略略提及,當時信主的教會
[00:01:36.000 --> 00:01:40.000]  後來回到香港的時候聚會,都是很少提及的
[00:01:40.000 --> 00:01:45.000]  到我去神樂院受訓的時候,略略提及過
[00:01:45.000 --> 00:01:50.000]  都是有一點點模糊的,直至沉著沙浸的那天
[00:01:50.000 --> 00:01:55.000]  我當時在2007年的時候遇見Hippo
[00:01:55.000 --> 00:02:00.000]  當時我還記得Michelle和Karen坐了花車
[00:02:00.000 --> 00:02:05.000]  2006年12月尾的時候,有個花車巡行
