
[00:00:00.000 --> 00:00:03.720]  今天有機會跟大家提出一個題目
[00:00:03.720 --> 00:00:05.520]  基督徒怎麼搞
[00:00:05.520 --> 00:00:08.120]  「枯乾的靈魂」
[00:00:08.120 --> 00:00:08.920]  是的
[00:00:08.920 --> 00:00:10.960]  做都市人
[00:00:10.960 --> 00:00:14.600]  無論你讀書還是剛出來工作
[00:00:14.600 --> 00:00:17.920]  實在每一天都要充電
[00:00:17.920 --> 00:00:19.560]  很快就要借電
[00:00:19.560 --> 00:00:21.160]  不是那麼容易
[00:00:21.160 --> 00:00:23.560]  可以保持這麼久有電
[00:00:23.560 --> 00:00:26.000]  不過我們基督徒怎麼搞
[00:00:26.000 --> 00:00:30.320]  如果我們信主的生命有一份盼望
[00:00:30.320 --> 00:00:32.960]  我們都這樣怎麼辦
[00:00:32.960 --> 00:00:35.040]  神容許
[00:00:35.040 --> 00:00:38.760]  神讓我們有事就是知道自己有限制
[00:00:38.760 --> 00:00:40.840]  如果我們太自大
[00:00:40.840 --> 00:00:43.760]  以為我們自己什麼都能搞定
[00:00:43.760 --> 00:00:49.200]  我們根本不需要神在我們生命裡帶著
[00:00:49.200 --> 00:00:51.680]  所以我們本身就是有限制
[00:00:51.680 --> 00:00:54.400]  就是要在限制中走出來
[00:00:54.400 --> 00:00:57.120]  不知道你有沒有在讀書的時候
[00:00:57.120 --> 00:01:00.400]  已經進入過輔導房
[00:01:00.400 --> 00:01:03.280]  或者你來到教會之後
[00:01:03.280 --> 00:01:06.320]  發現原來教會有一些很小間
[00:01:06.320 --> 00:01:07.320]  神秘得來
[00:01:07.320 --> 00:01:09.000]  但是很輕鬆的地方
[00:01:09.000 --> 00:01:11.960]  讓你可以躲起來聊天
[00:01:11.960 --> 00:01:14.560]  輔導房其實給人一種感覺就是
[00:01:14.560 --> 00:01:17.360]  什麼時候要走進去
[00:01:17.360 --> 00:01:20.920]  有什麼人會長駐在裡面
[00:01:20.920 --> 00:01:24.360]  去服務你呢
[00:01:24.360 --> 00:01:26.880]  我相信如果在讀書的年代
[00:01:26.880 --> 00:01:29.160]  輔導房沒有這間那麼漂亮
[00:01:29.160 --> 00:01:31.680]  通常都是有老師
[00:01:31.680 --> 00:01:35.400]  或者有社工關注
[00:01:35.400 --> 00:01:38.600]  亦都很預防措施
[00:01:38.600 --> 00:01:40.920]  讓一些情緒有困擾
[00:01:40.920 --> 00:01:43.240]  或者很需要聊天的人
[00:01:43.240 --> 00:01:46.000]  在裡面服務你
[00:01:46.000 --> 00:01:48.560]  如果在教會這個場景
[00:01:48.560 --> 00:01:50.440]  我們這裡八樓
[00:01:50.440 --> 00:01:52.160]  也有幾間這樣的房間
[00:01:52.160 --> 00:01:53.800]  讓你可以跟組長
[00:01:53.800 --> 00:01:55.000]  跟你的弟妹
[00:01:55.000 --> 00:01:57.080]  走進去靜靜聊天
[00:01:57.080 --> 00:01:58.040]  祈禱
[00:01:58.040 --> 00:02:01.840]  甚至在裡面有機會做一些整理
[00:02:01.840 --> 00:02:04.080]  其實在聖經裡面
[00:02:04.080 --> 00:02:08.200]  也出現過一間好像輔導房的空間
