
[00:00:00.000 --> 00:00:09.600]  感謝主讓我再次回到大家當中,分享訊息,探討神的話語
[00:00:09.600 --> 00:00:12.800]  算了,不要緊
[00:00:12.800 --> 00:00:20.800]  有沒有人在我上次講到時,已經聽過我講到的?
[00:00:20.800 --> 00:00:23.600]  應該有吧?不過隨便吧
[00:00:23.600 --> 00:00:33.600]  我想問一下大家知道我這次講的系列是哪一個系列?
[00:00:33.600 --> 00:00:37.600]  不是不是,是經文系所謂的系列
[00:00:37.600 --> 00:00:43.600]  好像是三上星期之前由阿蒲kick off的系列,是不是阿蒲?
[00:00:43.600 --> 00:00:48.600]  好像是,不過題目是由Jimmy選的
[00:00:48.600 --> 00:00:55.600]  是我要真XX系列,誒,沒有了,啪啪呢?
[00:00:55.600 --> 00:01:03.600]  我要真XX系列,誒,講錯了,應該是語情水共舞系列的第五講
[00:01:03.600 --> 00:01:09.600]  今天是第五講,我還未編好課題,題目就是大家眼前的這個
[00:01:09.600 --> 00:01:16.600]  其實沒有我要,本來是珍惜放,然後寫著約出敘舊語羞恥
[00:01:16.600 --> 00:01:20.600]  如果大家心水清,就會知道今天
[00:01:20.600 --> 00:01:26.600]  看到了,今天剛才也講了,經文來自創世記三章一至十三節
[00:01:26.600 --> 00:01:32.600]  分得較久的人,我猜也沒有人未聽過這個故事
[00:01:32.600 --> 00:01:40.600]  不如做一個survey,有沒有人是未聽過亞當和夏娃的故事的?舉手
[00:01:40.600 --> 00:01:43.600]  那邊有兩個,不好意思,是不是要按這個?
[00:01:43.600 --> 00:01:48.600]  對不起,我以為要舉手,啪啪呢?沒有了
[00:01:48.600 --> 00:01:56.600]  對了,大家都聽過了,亞當和夏娃的故事
[00:01:56.600 --> 00:02:06.600]  那我就繼續下去,不過我覺得有時我們重複讀了很多次,聽了很多次的東西
[00:02:06.600 --> 00:02:09.600]  反而有些東西會漏掉也不一定
[00:02:09.600 --> 00:02:14.600]  所以我待會去到某些地方,就會邀請大家讀一下經文,讀一下故事
[00:02:14.600 --> 00:02:19.600]  讓我們有些refresh我們的記憶,我們的印象對故事
[00:02:19.600 --> 00:02:25.600]  我相信這段經文剛才也講過了,這個故事大家都聽過不下一百幾十次
[00:02:25.600 --> 00:02:29.600]  不過在進入正題之前,我也循例問一下大家
[00:02:29.600 --> 00:02:37.600]  看到罪疚和羞恥,可能這兩個term沒有那麼貼切
[00:02:37.600 --> 00:02:40.600]  我有一個term大家都應該會認同,就是黑歷史
[00:02:40.600 --> 00:02:48.600]  大家有沒有一些在你生命中發生過一些死都不想被人知道或提起的黑歷史呢?
[00:02:48.600 --> 00:02:54.600]  都講明了是黑的東西,我猜應該沒有人會喜歡被人提起或自己提起
[00:02:54.600 --> 00:02:59.600]  當然我也沒有辦法完全排除或否定一些例外
[00:02:59.600 --> 00:03:03.600]  可能會有些人很喜歡講自己黑歷史給別人聽,我猜應該沒有吧?
[00:03:03.600 --> 00:03:09.600]  好,我們先開始祈禱吧
[00:03:09.600 --> 00:03:10.600]  我們一起等待祈禱吧
[00:03:10.600 --> 00:03:14.600]  天父願你來打開我們的眼睛,我們的耳朵
[00:03:14.600 --> 00:03:21.600]  叫我們在訊息中聽見你的話語,聽到你對我們的說話
[00:03:21.600 --> 00:03:27.600]  願我們能夠專心聆聽你的話語,多謝你我們禱告奉耶穌特赦的明智祈求,阿們
[00:03:27.600 --> 00:03:32.600]  進入經文之前,有些前情提要
[00:03:32.600 --> 00:03:36.600]  不是提要之前的講道,因為之前的講道跟這段經文沒有關係
[00:03:36.600 --> 00:03:44.600]  這段是三章,故事其實是開始在二章四節
[00:03:44.600 --> 00:03:48.600]  這段經文可以說是人類最早的黑歷史之一
[00:03:48.600 --> 00:03:53.600]  雖然前面的故事大家都知道,前文提要也是要做的
[00:03:53.600 --> 00:04:00.600]  前面說到如果你有手機,可以打開聖經,可以打開聖經
[00:04:00.600 --> 00:04:02.600]  看看第二章,第二章說到什麼呢?
[00:04:02.600 --> 00:04:05.600]  說到神在創造天地的時候,什麼都還沒做完
[00:04:05.600 --> 00:04:09.600]  在土地上,又沒有樹,又沒有草
[00:04:09.600 --> 00:04:21.600]  原來在經文說,在沒有樹又沒有草的土地上,有些霧氣湧出來滋潤整個地面
[00:04:21.600 --> 00:04:30.600]  在這樣的環境下,神就用這些被霧氣所滋潤的塵土或泥,創造了第一個人類
[00:04:30.600 --> 00:04:36.600]  神一呼一聲,吹了一口氣在這個人的鼻孔,從此就有生命
[00:04:36.600 --> 00:04:45.600]  故事繼續描述,前面二章說到神在東方一個叫伊甸的地方,建了一座花園
[00:04:45.600 --> 00:04:49.600]  將這個人放在花園裏面
[00:04:49.600 --> 00:04:56.600]  將這個人安置在花園裏面之後,神就開始叫不同的樹,不同的植物在土地裏面生長出來
[00:04:56.600 --> 00:04:59.600]  還特別說明有兩棵特別的樹
[00:04:59.600 --> 00:05:04.600]  一棵叫生命樹,一棵叫知識善惡樹,或者叫分辨善惡樹,大家熟悉的名字
[00:05:04.600 --> 00:05:12.600]  故事就描述了這個花園有多棒,又有什麼河,又有什麼珠寶
[00:05:12.600 --> 00:05:17.600]  然後神就對這個創造了人類的第一個命令
[00:05:17.600 --> 00:05:24.600]  前面還有一些交代,就是要耕作,要管理,等等
[00:05:24.600 --> 00:05:27.600]  然後命令就直接說,寫了出來
[00:05:27.600 --> 00:05:32.600]  這個花園裏面所有的樹的果實,你都可以來到它吃
[00:05:32.600 --> 00:05:41.600]  唯獨是那棵分辨善惡樹,或者叫知識善惡樹的果實,一定不可以吃
[00:05:41.600 --> 00:05:45.600]  因為吃了之後,你的日子裏面一定會有死亡跟著你
[00:05:45.600 --> 00:05:54.600]  然後就說神覺得這個人孤零零不好,就幫他創造了一個伴侶,叫他做女人
