
[00:00:00.000 --> 00:00:04.320]  今天的講題叫作《作門徒,事成為光》
[00:00:04.320 --> 00:00:09.880]  光,大家很記得很多經文都有講光
[00:00:09.880 --> 00:00:12.920]  光都是要照亮這個世界
[00:00:12.920 --> 00:00:15.240]  要發出這個光輝
[00:00:15.240 --> 00:00:19.320]  我不知道君妍是不是已經信主
[00:00:19.320 --> 00:00:21.920]  剛才她說是一個姐妹帶回來的朋友
[00:00:21.920 --> 00:00:26.480]  我們都渴望,我們心裏面今天都為她們祈禱
[00:00:26.480 --> 00:00:28.920]  希望下星期見到她們
[00:00:29.440 --> 00:00:31.440]  希望她們都成為我們的家人
[00:00:31.440 --> 00:00:38.560]  不知道大家有沒有看過這套日劇
[00:00:38.560 --> 00:00:40.520]  《孤獨的美食家》
[00:00:40.520 --> 00:00:42.840]  拍到season 10
[00:00:42.840 --> 00:00:44.720]  大家有沒有看過
[00:00:44.720 --> 00:00:48.040]  沒有看過,我很喜歡看日劇
[00:00:48.040 --> 00:00:53.880]  因為這個男主角在戲中叫伍郎
[00:00:54.240 --> 00:00:59.680]  伍郎很喜歡一個人去吃東西
[00:00:59.680 --> 00:01:04.080]  他的工作是去全國甚至外國的地方
[00:01:04.080 --> 00:01:06.760]  去幫客人找東西
[00:01:06.760 --> 00:01:10.560]  所以他會去別的地方幫客人找
[00:01:10.560 --> 00:01:12.560]  或者去別的地方見客
[00:01:12.560 --> 00:01:15.040]  所以他在全國遊走
[00:01:15.040 --> 00:01:17.840]  當他開完會,見完客之後
[00:01:17.840 --> 00:01:20.320]  他就會發覺很餓
[00:01:20.320 --> 00:01:23.680]  他就會用他的鼻子,用他的眼睛
[00:01:24.400 --> 00:01:28.920]  用他的腳去找一些美食
[00:01:28.920 --> 00:01:34.560]  他很厲害,他的鏡頭是拍他吃完所有東西
[00:01:34.560 --> 00:01:38.920]  所以聽說他拍到第十季之後
[00:01:38.920 --> 00:01:42.680]  要換主角,因為他的年紀已經不能再吃
[00:01:42.680 --> 00:01:44.880]  無論如何,我為何這麼喜歡看
[00:01:44.880 --> 00:01:47.400]  其實我也是一個很喜歡鑽洞鑽瓦的人
[00:01:47.400 --> 00:01:52.200]  在香港,不論是在工場還是去旅行
[00:01:52.600 --> 00:01:54.600]  我都很喜歡光顧小店
[00:01:54.600 --> 00:01:57.400]  到處找美食
[00:01:57.400 --> 00:02:00.760]  除了找美食之外,也可以跟他們聊天
[00:02:00.760 --> 00:02:05.520]  去交流一些文化,去認識他們的生活是怎樣
[00:02:05.520 --> 00:02:10.360]  當我在工場的時候,我發現另一套日劇是講述女生
[00:02:10.360 --> 00:02:13.560]  其實是講述一位女士
[00:02:13.560 --> 00:02:16.760]  在下班後,去居酒屋喝酒
[00:02:17.280 --> 00:02:23.400]  但其實一個女性去居酒屋喝酒,晚上是很危險的
[00:02:23.400 --> 00:02:24.920]  而且是沒有可能的
[00:02:24.920 --> 00:02:27.280]  因為當時都是一些…
[00:02:27.280 --> 00:02:30.080]  不只是一個,可能有幾個人
[00:02:30.080 --> 00:02:32.080]  或者只是男人去的地方
[00:02:32.080 --> 00:02:38.360]  我在工場附近有一間拉麵店
[00:02:38.360 --> 00:02:41.280]  當我不想煮飯,當我工作很累
[00:02:41.280 --> 00:02:43.680]  我就會去那間拉麵店吃東西
[00:02:44.760 --> 00:02:50.560]  但原來一個女生是不可以去拉麵店吃東西的
[00:02:50.560 --> 00:02:51.560]  大家知不知道?
[00:02:51.560 --> 00:02:53.640]  當然遊客是不會知道的
[00:02:53.640 --> 00:02:56.040]  但原來日本的文化是
[00:02:56.040 --> 00:02:58.640]  一個女生是不可以去拉麵店一個人吃東西的
[00:02:58.640 --> 00:02:59.840]  為甚麼呢?
[00:02:59.840 --> 00:03:03.640]  原來是代表你的性格有問題
[00:03:03.640 --> 00:03:05.120]  還有你沒有朋友
[00:03:05.120 --> 00:03:08.080]  我一開始不知道,於是繼續去吃
