
[00:00:00.000 --> 00:00:04.000]  我先介紹我自己,今天應該有新朋友來到當中
[00:00:04.000 --> 00:00:10.000]  我在沙田浸送會也會分堂的傳道人
[00:00:10.000 --> 00:00:14.000]  我叫盧光榮傳道,你叫我阿榮都可以
[00:00:14.000 --> 00:00:21.000]  今天的訊息就是耶穌誕生,喚然一新
[00:00:21.000 --> 00:00:25.000]  接下來我們就是聖誕節,是幾號?
[00:00:25.000 --> 00:00:32.000]  是,大家也很清楚是25號,還記得我們幾年前
[00:00:32.000 --> 00:00:36.000]  過去的聖誕節也很開心很喜樂
[00:00:36.000 --> 00:00:43.000]  但是今年的聖誕,令我們很多人都很心痛
[00:00:43.000 --> 00:00:47.000]  尤其是雲福縣大火,我們每個人都沒有想到
[00:00:47.000 --> 00:00:53.000]  燒一間屋已經很厲害,原來燒到一棟
[00:00:53.000 --> 00:00:57.000]  更加兩棟,三棟,四棟
[00:00:57.000 --> 00:01:01.000]  尤其是看到畫面很心酸
[00:01:01.000 --> 00:01:07.000]  有時候我都不敢看了,越看越不平安
[00:01:07.000 --> 00:01:13.000]  越看心裡越來越,人生是怎樣呢?
[00:01:13.000 --> 00:01:21.000]  接著近來還有澳洲槍擊事件,很突然
[00:01:21.000 --> 00:01:24.000]  不知道為什麼會發生這樣的事情
[00:01:24.000 --> 00:01:30.000]  可能就在旁邊,還有台灣昨天的事件有沒有聽到?
[00:01:30.000 --> 00:01:34.000]  突然有個人拿著刀亂來
[00:01:34.000 --> 00:01:41.000]  這個世界發生什麼事?我們真的不知道
[00:01:41.000 --> 00:01:45.000]  我記得我小時候,不知道大家記不記得
[00:01:45.000 --> 00:01:49.000]  有一件很重大的事件,就是蘭桂坊
[00:01:49.000 --> 00:01:53.000]  在1992年10月31號
[00:01:53.000 --> 00:01:57.000]  那晚我剛剛想去蘭桂坊
[00:01:57.000 --> 00:02:01.000]  誰知道我的車爆了胎,我就沒有去
[00:02:01.000 --> 00:02:07.000]  但是我看了畫面之後,個人的心情很不開心
[00:02:07.000 --> 00:02:10.000]  為什麼新年才來搞這樣的事?
[00:02:10.000 --> 00:02:15.000]  接著想想,人很脆弱的
[00:02:15.000 --> 00:02:18.000]  一聲就走了
[00:02:18.000 --> 00:02:22.000]  接著恐懼不斷在心裡湧現
[00:02:22.000 --> 00:02:25.000]  真的很不平安
[00:02:25.000 --> 00:02:32.000]  聖誕節對我們來說有什麼意義呢?
[00:02:32.000 --> 00:02:39.000]  聖誕節又讓我們怎樣找到平安呢?
[00:02:39.000 --> 00:02:43.000]  我們一起讀一段經文好不好?
[00:02:43.000 --> 00:02:45.000]  1,2,3
[00:02:45.000 --> 00:02:49.000]  那天時對他們說,不要懼怕
[00:02:49.000 --> 00:02:52.000]  我報給你們大喜的信息
[00:02:52.000 --> 00:02:54.000]  是關乎萬民的
[00:02:54.000 --> 00:03:00.000]  因今天在大衛的成侶為你們伸了救主
[00:03:00.000 --> 00:03:02.000]  就是主基督
[00:03:02.000 --> 00:03:06.000]  這是路加福音2:10-11
[00:03:06.000 --> 00:03:08.000]  這裡我講一下背景
[00:03:08.000 --> 00:03:12.000]  那時是羅馬最興盛的時間
[00:03:12.000 --> 00:03:14.000]  羅馬第一個皇帝
[00:03:14.000 --> 00:03:16.000]  那時是一個工會
[00:03:16.000 --> 00:03:18.000]  後來變成一個皇帝的統治
[00:03:18.000 --> 00:03:21.000]  那個叫奧古斯都
[00:03:21.000 --> 00:03:25.000]  他做了開國功臣皇帝的時候
