
[00:00:00.000 --> 00:00:06.000]  大家好,回到來看到很多熟悉的面孔,很開心
[00:00:06.000 --> 00:00:08.000]  雖然熟悉,可能有些人都不認識我
[00:00:08.000 --> 00:00:11.000]  我叫蘇平欣,大家可以叫我Benny就OK了
[00:00:11.000 --> 00:00:17.000]  今日和大家分享的就是工作生活平衡系列的第四講
[00:00:17.000 --> 00:00:21.000]  這一講就是工作與生活平衡
[00:00:21.000 --> 00:00:24.000]  看完題目,去到這一講,終於都講到了
[00:00:24.000 --> 00:00:29.000]  看看今天所講的能否幫到大家
[00:00:29.000 --> 00:00:31.000]  工作與生活平衡,問一問大家
[00:00:31.000 --> 00:00:36.000]  誰很開心,很喜歡自己的工作?
[00:00:36.000 --> 00:00:38.000]  舉手
[00:00:38.000 --> 00:00:42.000]  真是無聊,只有幾個人
[00:00:42.000 --> 00:00:45.000]  很慘,肯定工作都很慘
[00:00:45.000 --> 00:00:49.000]  我想加起來沒有十個才能數
[00:00:49.000 --> 00:00:52.000]  有沒有很享受自己生活的?
[00:00:52.000 --> 00:00:56.000]  都有些重覆的,都是那十個
[00:00:56.000 --> 00:01:00.000]  有些人是工作生活平衡到,他們很開心
[00:01:00.000 --> 00:01:07.000]  大家大部份都未找到怎樣去平衡或怎樣去面對
[00:01:07.000 --> 00:01:09.000]  要看看今天
[00:01:09.000 --> 00:01:14.000]  很多時都用Marslow、馬斯洛需求理論
[00:01:14.000 --> 00:01:18.000]  最底層就是飲食為了生存
[00:01:18.000 --> 00:01:22.000]  經常說打工為了飯吃,為了戶口
[00:01:22.000 --> 00:01:25.000]  做什麼都無所謂,賺到錢,賺到飯吃就OK
[00:01:25.000 --> 00:01:29.000]  為了供樓,找個安全的地方住
[00:01:29.000 --> 00:01:32.000]  再想歸屬,尊嚴,自我實現
[00:01:32.000 --> 00:01:36.000]  很多時很普通,我們都是這樣形容
[00:01:36.000 --> 00:01:39.000]  我們這個世代,樓上的年輕人,19歲的
[00:01:39.000 --> 00:01:41.000]  這個世代,我和大家差不多
[00:01:41.000 --> 00:01:43.000]  都是這樣想
[00:01:43.000 --> 00:01:46.000]  所以問大家,可能都是一樣
[00:01:46.000 --> 00:01:48.000]  現時的工作生活怎樣?
[00:01:48.000 --> 00:01:52.000]  我們為了戶口,賺錢當然是為了吃
[00:01:52.000 --> 00:01:55.000]  吃很多,喝很多,然後去哪裡?
[00:01:55.000 --> 00:01:57.000]  去深圳也很多,大家現在是吧?
[00:01:57.000 --> 00:01:59.000]  有兩元就上去,多開心
[00:01:59.000 --> 00:02:03.000]  吃很多,去很多,然後又說回香港工作又很多
[00:02:03.000 --> 00:02:07.000]  吃很多,喝很多,工作太多,忽略了家庭
[00:02:07.000 --> 00:02:10.000]  通常都是這樣的答案
[00:02:10.000 --> 00:02:13.000]  Marslow都是金字塔
[00:02:13.000 --> 00:02:16.000]  現在的金字塔是反過來的,大家知不知道?
[00:02:16.000 --> 00:02:19.000]  等一下我會再說多一點,現在的金字塔是反過來的
[00:02:19.000 --> 00:02:23.000]  我想看看網上,人們怎樣看工作生活平衡?
[00:02:23.000 --> 00:02:27.000]  找到一個外國人,他怎樣工作生活平衡?
[00:02:27.000 --> 00:02:30.000]  他發現自己,因為是財俊
