
[00:00:00.000 --> 00:00:03.480]  各位小力園堂 弟兄姊妹平安
[00:00:03.480 --> 00:00:06.080]  網上崇拜的弟兄姊妹平安
[00:00:06.080 --> 00:00:08.180]  希望很快可以見到你
[00:00:08.180 --> 00:00:10.760]  回來的時候我們實體一同敬拜
[00:00:10.760 --> 00:00:14.800]  很感恩 也感謝玉卿
[00:00:14.800 --> 00:00:17.120]  今天是一個很難得的機會
[00:00:17.120 --> 00:00:19.320]  可以和珠珊珠太一起
[00:00:19.320 --> 00:00:22.640]  和弟兄姊妹一起去敬拜
[00:00:22.640 --> 00:00:29.520]  心裏面很大的感動是耶穌的愛
[00:00:29.520 --> 00:00:31.760]  耶穌的愛在我們當中
[00:00:31.760 --> 00:00:34.160]  不論環境如何
[00:00:34.160 --> 00:00:37.640]  不論在我們所走的路途當中
[00:00:37.640 --> 00:00:40.400]  經歷了什麼變化
[00:00:40.400 --> 00:00:42.400]  我們相信耶穌的愛
[00:00:42.400 --> 00:00:47.080]  耶穌的很深的愛在這裡承載著我們
[00:00:47.080 --> 00:00:50.080]  今天在大家當中分享
[00:00:50.080 --> 00:00:52.960]  全教會的講道系列
[00:00:52.960 --> 00:00:56.680]  情緒健康教會
[00:00:56.680 --> 00:01:02.760]  這個系列不知道大家印象深不深
[00:01:02.760 --> 00:01:05.640]  我自己很喜歡這個系列
[00:01:05.640 --> 00:01:08.400]  今年年初的時候
[00:01:08.400 --> 00:01:11.720]  我和大家分享第一講
[00:01:11.720 --> 00:01:13.280]  審視內心
[00:01:13.280 --> 00:01:15.960]  不知道大家是否記得那個powerpoint
[00:01:15.960 --> 00:01:17.960]  那個冰山
[00:01:17.960 --> 00:01:22.760]  那個冰山在每一個人裏面
[00:01:22.760 --> 00:01:26.040]  長期抑壓在我們裏面
[00:01:26.040 --> 00:01:28.560]  內在的90%
[00:01:28.560 --> 00:01:32.760]  這個系列鼓勵我們去審視我們裏面
[00:01:32.760 --> 00:01:40.000]  去接觸我們不常接觸的真正的自我
[00:01:40.000 --> 00:01:42.960]  第二講就是阿榮
[00:01:42.960 --> 00:01:45.960]  阿榮在我們當中分享
[00:01:45.960 --> 00:01:47.520]  break the power of the past
[00:01:47.520 --> 00:01:49.520]  不知道大家有沒有很深印象
[00:01:49.520 --> 00:01:51.520]  我是很深刻的
[00:01:51.520 --> 00:01:55.560]  因為當我在審視內心很沉鬱的時候
[00:01:55.560 --> 00:02:02.440]  阿榮的講話讓我醒過來
[00:02:02.440 --> 00:02:06.040]  讓我們去明白
[00:02:06.040 --> 00:02:07.760]  也讓我們去突破
[00:02:07.760 --> 00:02:11.240]  在我們生命過去有很多事情
[00:02:11.240 --> 00:02:15.560]  都在影響我們和神和人的關係
[00:02:15.560 --> 00:02:17.760]  第三講就是Raymond
[00:02:17.760 --> 00:02:20.880]  在全道當中分享面對脆弱
[00:02:20.880 --> 00:02:23.680]  我們可以活在破碎
[00:02:23.680 --> 00:02:25.680]  或者我們面對自己的脆弱
[00:02:25.680 --> 00:02:27.080]  面對自己的破碎
[00:02:27.080 --> 00:02:30.440]  不一定要時常高姿態
[00:02:30.440 --> 00:02:35.280]  或者凌駕其他人之上
