(音樂)。
各位先生女士、先生們、各位基督徒弟妹們、各位主人們,各位觀眾,歡迎來到我們CJSC的文化與道德講座。。
各位先生、先生們,各位基督徒弟妹們,各位觀眾,歡迎來到我們CJSC的文化與道德講座。。
自1985年起,CJSC在一年多來,一直在宣傳這個講座,以紀念約瑟琳·索,在1982年她的不幸死亡後,香港的一位信仰主義者和領導人。。
今年,我們的講座題目是《寫給我們看的古代教義如基督教》。我們將來要看看古代教義如何對我們基督教而有關。。
我們很榮幸有許多人來參與。我們也很榮幸有許多人來參與。。
我們也很榮幸有許多人來參與。。
我們也很榮幸有許多人來參與。。
我們也很榮幸有許多人來參與。。
謝謝,博士。這是一個非常溫暖的歡迎。今天很高興能在這麼陽光的天氣下來。。
這不像是在倫敦,但還是像是在香港,我記得之前的訪問。。
我再次在今天下午的同樣情況下,我再次在倫敦的所有靈性教會的Langham教會的家庭教會,我向大家致謝。。
Langham Foundation的名字來自於Langham Foundation的名字,在倫敦的那條街道,John Stott曾經是一位主席,。
他創立了Langham Partnership,在香港的Langham Foundation。。
所以,我們向您致謝。。
就像博士所說的,我們今天將進入第三個課堂,。
在我們第一課堂中,我們看到了我們基督教的身份,。
是基於古教的身份,而形成了基督教的身份。。
在基督教中,我們,多國的信徒,基督徒和基督徒,。
博士說的,是阿伯拉罕的種子,。
我們在那次課堂中觀察到,。
在那次課堂中,我們觀察到,。
在那次課堂中,。
在那次課堂中,。
在那次課堂中,。
在那次課堂中,。
在那次課堂中,。
我們看到了基督教的身份,。
在那次課堂中,。
我們看到了基督教的身份,。
在那次課堂中,。
我們看到了基督教的身份,。
在那次課堂中,。
我們看到了基督教的身份,。
在那次課堂中,。
我們看到了基督教的身份,。
在那次課堂中,。
我們看到了基督教的身份,。
在那次課堂中,。
我們看到了基督教的身份,。
在那次課堂中,。
我們看到了基督教的身份,。
在那次課堂中,。
我們看到了基督教的身份,。
在那次課堂中,。
我們看到了基督教的身份,。
在那次課堂中,。
我們看到了基督教的身份,。
在那次課堂中,。
我們看到了基督教的身份,。
在那次課堂中,。
