
[00:00:00.000 --> 00:00:02.000]  我們一起學習神的話語
[00:00:02.000 --> 00:00:04.000]  (廣東話)
[00:00:04.000 --> 00:00:06.000]  (廣東話)
[00:00:06.000 --> 00:00:08.000]  (廣東話)
[00:00:08.000 --> 00:00:10.000]  (廣東話)
[00:00:10.000 --> 00:00:12.000]  (廣東話)
[00:00:12.000 --> 00:00:14.000]  (廣東話)
[00:00:14.000 --> 00:00:16.000]  (廣東話)
[00:00:16.000 --> 00:00:18.000]  (廣東話)
[00:00:18.000 --> 00:00:20.000]  大英姐妹
[00:00:20.000 --> 00:00:22.000]  再次在此與大家相聚
[00:00:22.000 --> 00:00:24.000]  再次來到一起學習
[00:00:24.000 --> 00:00:26.000]  神的話語
[00:00:26.000 --> 00:00:28.000]  今早在早上的講座
[00:00:28.000 --> 00:00:30.000]  我們概覽了
[00:00:30.000 --> 00:00:32.000]  整本耶利米書的
[00:00:32.000 --> 00:00:34.000]  一般結構
[00:00:34.000 --> 00:00:36.000]  看過耶利米
[00:00:36.000 --> 00:00:38.000]  生存的一個世代
[00:00:38.000 --> 00:00:40.000]  是一個怎樣動蕩不安
[00:00:40.000 --> 00:00:42.000]  怎樣錯綜複雜
[00:00:42.000 --> 00:00:44.000]  整個上帝的子民
[00:00:44.000 --> 00:00:46.000]  怎樣離棄上帝
[00:00:46.000 --> 00:00:48.000]  拒絕上帝的話語
[00:00:48.000 --> 00:00:50.000]  以致整個國勢
[00:00:50.000 --> 00:00:52.000]  好像江河日下
[00:00:52.000 --> 00:00:54.000]  局勢不斷變壞
[00:00:54.000 --> 00:00:56.000]  但是當時的上帝子民
[00:00:56.000 --> 00:00:58.000]  還覺得很安樂
[00:00:58.000 --> 00:01:00.000]  還覺得沒有問題
[00:01:00.000 --> 00:01:02.000]  而當時的君王將士
[00:01:02.000 --> 00:01:04.000]  領袖先知濟師
[00:01:04.000 --> 00:01:06.000]  也告訴他們平安
[00:01:06.000 --> 00:01:08.000]  沒事的
[00:01:08.000 --> 00:01:10.000]  耶利米的信息是
[00:01:10.000 --> 00:01:12.000]  他們一定要離開現在的生活
[00:01:12.000 --> 00:01:14.000]  否則上帝的審判
[00:01:14.000 --> 00:01:16.000]  會來到
[00:01:16.000 --> 00:01:18.000]  耶利米書大部分的信息
[00:01:18.000 --> 00:01:20.000]  是預備我們迎接
[00:01:20.000 --> 00:01:22.000]  上帝審判的一天
[00:01:22.000 --> 00:01:24.000]  以色列的歷史讓我們看到
[00:01:24.000 --> 00:01:26.000]  拒絕神的話語
[00:01:26.000 --> 00:01:28.000]  的代價非常重
[00:01:28.000 --> 00:01:30.000]  他們以為
[00:01:30.000 --> 00:01:32.000]  寄望於聖殿這個建築物
[00:01:32.000 --> 00:01:34.000]  有保障
[00:01:34.000 --> 00:01:36.000]  他們的生活本身
[00:01:36.000 --> 00:01:38.000]  和他們的信仰完全隔離
[00:01:38.000 --> 00:01:40.000]  他們的代人主事
[00:01:40.000 --> 00:01:42.000]  和他們的信仰
[00:01:42.000 --> 00:01:44.000]  完全反映不了
[00:01:44.000 --> 00:01:46.000]  他們所信的上帝是怎樣
[00:01:46.000 --> 00:01:48.000]  所以耶利米在大部分
[00:01:48.000 --> 00:01:50.000]  差不多四十年
[00:01:50.000 --> 00:01:52.000]  的時間
[00:01:52.000 --> 00:01:54.000]  都是為了他們所說的信息
[00:01:54.000 --> 00:01:56.000]  在這裡傳講
[00:01:56.000 --> 00:01:58.000]  也為他們的百姓流淚
[00:01:58.000 --> 00:02:00.000]  到了四十年之後
[00:02:00.000 --> 00:02:02.000]  終於有一天
[00:02:02.000 --> 00:02:04.000]  耶利米所說的話真的成真
[00:02:04.000 --> 00:02:06.000]  猶太人他們的
[00:02:06.000 --> 00:02:08.000]  拒絕神的話語
[00:02:08.000 --> 00:02:10.000]  就帶來他們亡國的
[00:02:10.000 --> 00:02:12.000]  之痛
[00:02:12.000 --> 00:02:14.000]  他們終於看到
[00:02:14.000 --> 00:02:16.000]  他們的家園失落
[00:02:16.000 --> 00:02:18.000]  猶太人以為
[00:02:18.000 --> 00:02:20.000]  他們穩如泰山的
[00:02:20.000 --> 00:02:22.000]  聖殿
[00:02:22.000 --> 00:02:24.000]  以為攻不破的聖城
[00:02:24.000 --> 00:02:26.000]  耶路撒冷徹底粉碎
[00:02:26.000 --> 00:02:28.000]  耶路撒冷成為一片廢墟
[00:02:28.000 --> 00:02:30.000]  隨著聖殿的
[00:02:30.000 --> 00:02:32.000]  被毀
[00:02:32.000 --> 00:02:34.000]  聖殿成為
[00:02:34.000 --> 00:02:36.000]  頹垣敗瓦
[00:02:36.000 --> 00:02:38.000]  君王死的死
[00:02:38.000 --> 00:02:40.000]  秘魯的秘魯
[00:02:40.000 --> 00:02:42.000]  他的領袖
[00:02:42.000 --> 00:02:44.000]  也都是成為
[00:02:44.000 --> 00:02:46.000]  亡國之奴
[00:02:46.000 --> 00:02:48.000]  所有的子民被拋擲在一個
[00:02:48.000 --> 00:02:50.000]  完全陌生的環境
[00:02:50.000 --> 00:02:52.000]  語言不一樣
[00:02:52.000 --> 00:02:54.000]  氣候不一樣
[00:02:54.000 --> 00:02:56.000]  生活文化不一樣
[00:02:56.000 --> 00:02:58.000]  周圍所有的人
[00:02:58.000 --> 00:03:00.000]  都不熟悉
[00:03:00.000 --> 00:03:02.000]  離開家園
