
[00:00:00.000 --> 00:00:03.000]  在我們研讀今天的經文之前
[00:00:03.000 --> 00:00:07.000]  我邀請大家我們再一次同心的祈禱
[00:00:07.000 --> 00:00:10.000]  聖哉聖哉聖哉
[00:00:10.000 --> 00:00:12.000]  三位一體的全能上帝
[00:00:12.000 --> 00:00:15.000]  求你施恩憐憫世人
[00:00:15.000 --> 00:00:18.000]  我們今天看到這個世界
[00:00:18.000 --> 00:00:20.000]  充滿著很多的戰爭
[00:00:20.000 --> 00:00:23.000]  充滿著很多的天災很多的人禍
[00:00:23.000 --> 00:00:25.000]  主要有很多的人
[00:00:25.000 --> 00:00:27.000]  活在悲慘的當中
[00:00:27.000 --> 00:00:29.000]  活在困難的裏面
[00:00:29.000 --> 00:00:31.000]  活在苦難的當中
[00:00:31.000 --> 00:00:34.000]  主要我們求你施恩憐憫
[00:00:34.000 --> 00:00:38.000]  我們要知道你是一個施恩憐憫世人的上帝
[00:00:38.000 --> 00:00:40.000]  我們為你去守望
[00:00:40.000 --> 00:00:42.000]  也祈求天父上帝
[00:00:42.000 --> 00:00:43.000]  你帶領我們
[00:00:43.000 --> 00:00:45.000]  讓今天教會的群體
[00:00:45.000 --> 00:00:49.000]  知道應該在今天這個世代裏面
[00:00:49.000 --> 00:00:51.000]  我們怎樣來活出你的見證
[00:00:51.000 --> 00:00:53.000]  踐行你的真理
[00:00:53.000 --> 00:00:55.000]  求父上帝幫助我們
[00:00:55.000 --> 00:00:58.000]  我們的禱告靠耶穌基督得性命祈求
[00:00:58.000 --> 00:01:00.000]  阿門
[00:01:00.000 --> 00:01:04.000]  今天我想和大家研讀的經文
[00:01:04.000 --> 00:01:07.000]  也是在《馬太福音》裏面
[00:01:07.000 --> 00:01:09.000]  一段是在第四章
[00:01:09.000 --> 00:01:11.000]  一段是在第九章
[00:01:11.000 --> 00:01:14.000]  第四章二十三至二十五節
[00:01:14.000 --> 00:01:17.000]  耶穌走遍加利利
[00:01:17.000 --> 00:01:20.000]  在當地各會堂裏教導人
[00:01:20.000 --> 00:01:23.000]  到處宣講天國的福音
[00:01:23.000 --> 00:01:26.000]  治好民眾各樣的疾病
[00:01:26.000 --> 00:01:28.000]  並且各樣的病症
[00:01:28.000 --> 00:01:32.000]  他的傳聞傳遍了敘利亞
[00:01:32.000 --> 00:01:34.000]  人就把所有病人
[00:01:34.000 --> 00:01:38.000]  就是受各種疾病和痛苦折磨的
[00:01:38.000 --> 00:01:40.000]  被鬼附身的
[00:01:40.000 --> 00:01:43.000]  精神失常的和癱瘓的
[00:01:43.000 --> 00:01:45.000]  都信到他那裏
[00:01:45.000 --> 00:01:48.000]  他把他們都治好了
[00:01:48.000 --> 00:01:51.000]  於是有一大群人
[00:01:51.000 --> 00:01:54.000]  從加利利、底加波利
[00:01:54.000 --> 00:01:58.000]  耶路撒冷、猶太和約旦河東岸
[00:01:58.000 --> 00:02:00.000]  來跟隨耶穌
[00:02:00.000 --> 00:02:02.000]  第二段經文
[00:02:02.000 --> 00:02:05.000]  是在《馬太福音》第九章
[00:02:05.000 --> 00:02:08.000]  第三十五至三十八節
[00:02:08.000 --> 00:02:11.000]  耶穌走遍各城各鄉
[00:02:11.000 --> 00:02:14.000]  在各地各會堂裏教導人
[00:02:14.000 --> 00:02:17.000]  到處宣講天國的福音
[00:02:17.000 --> 00:02:20.000]  治好各樣疾病各種病症
[00:02:20.000 --> 00:02:24.000]  他看到一大群人困苦無助
[00:02:24.000 --> 00:02:27.000]  好像沒有牧羊的人
[00:02:27.000 --> 00:02:29.000]  就憐憫他們
[00:02:29.000 --> 00:02:32.000]  於是他對門徒說
[00:02:32.000 --> 00:02:34.000]  莊家多,工人少
[00:02:34.000 --> 00:02:37.000]  所以你們要求莊家的主
[00:02:37.000 --> 00:02:41.000]  趕緊派工人去收割他的莊家
[00:02:41.000 --> 00:02:44.000]  弟子們,你們有沒有留意到
[00:02:44.000 --> 00:02:46.000]  這兩段經文
[00:02:46.000 --> 00:02:48.000]  第四章和第九章的經文
[00:02:48.000 --> 00:02:52.000]  似乎在內容上都很相似
[00:02:52.000 --> 00:02:55.000]  原來這兩段經文
[00:02:55.000 --> 00:03:00.000]  可以說是在《馬太福音》第四章至第九章
