
[00:00:00.000 --> 00:00:04.000]  大家好 現場及線上的弟兄姊妹平安
[00:00:04.000 --> 00:00:07.000]  我們足足兩個月沒見了
[00:00:07.000 --> 00:00:10.000]  又回到我們的2024聖嬰系列
[00:00:10.000 --> 00:00:14.000]  今年到年尾進入冬季聖嬰系列
[00:00:14.000 --> 00:00:20.000]  很開心 接下來我們都會有六場的訊息
[00:00:20.000 --> 00:00:23.000]  今天11月30日有兩場
[00:00:23.000 --> 00:00:27.000]  12月7日和12月14日都有兩場
[00:00:27.000 --> 00:00:32.000]  一共有四位講員和我們宣講自己的華語
[00:00:32.000 --> 00:00:34.000]  今天很開心
[00:00:34.000 --> 00:00:39.000]  因為有本會漢語聖經協會總幹事李耀華先生
[00:00:39.000 --> 00:00:43.000]  主持聖經課程 開頭炮
[00:00:43.000 --> 00:00:46.000]  他負責出哀及忌
[00:00:46.000 --> 00:00:49.000]  如果大家有看宣傳片
[00:00:49.000 --> 00:00:52.000]  就知道總幹事選了主題
[00:00:52.000 --> 00:00:55.000]  出哀及忌的序幕
[00:00:55.000 --> 00:01:01.000]  李耀華總幹事十多年前對這個主題有深入研究
[00:01:01.000 --> 00:01:03.000]  經過這麼長時間
[00:01:03.000 --> 00:01:06.000]  我相信有很多新的啟迪和新的反省
[00:01:06.000 --> 00:01:08.000]  事不宜遲
[00:01:08.000 --> 00:01:13.000]  請李耀華總幹事為今天的課程禱告
[00:01:13.000 --> 00:01:18.000]  然後正式開始他所負責的出哀及忌的序幕
[00:01:18.000 --> 00:01:28.000]  李耀華總幹事出席出哀及忌的序幕
[00:01:28.000 --> 00:01:30.000]  各位兄弟姐妹早安
[00:01:30.000 --> 00:01:34.000]  在場的兄弟姐妹和線上的兄弟姐妹早安
[00:01:34.000 --> 00:01:37.000]  今天很開心和大家分享整個訊息
[00:01:37.000 --> 00:01:39.000]  我們一起祈禱
[00:01:39.000 --> 00:01:45.000]  青海天父感謝你給我機會和大家分享出哀及忌
[00:01:45.000 --> 00:01:49.000]  我們知道五經相當難 也不容易
[00:01:49.000 --> 00:01:51.000]  我們只能掌握一部份
[00:01:51.000 --> 00:01:54.000]  我求聖靈在當中引領聽和講
[00:01:54.000 --> 00:01:58.000]  能夠明白你的說話 實踐你的話語
[00:01:58.000 --> 00:02:00.000]  開通我們的心
[00:02:00.000 --> 00:02:03.000]  我們將一切榮耀 重讚
[00:02:03.000 --> 00:02:05.000]  歸給三億的真神
[00:02:05.000 --> 00:02:07.000]  奉耶穌基督的名字祈禱
[00:02:07.000 --> 00:02:14.000]  其實出哀及忌大家都很熟悉
[00:02:14.000 --> 00:02:17.000]  特別是前面的七章
[00:02:17.000 --> 00:02:19.000]  七章大家都熟悉
[00:02:19.000 --> 00:02:22.000]  我將前面的七章和大家分享
[00:02:22.000 --> 00:02:26.000]  也會看完所有經文
[00:02:26.000 --> 00:02:30.000]  也會很快地看完
[00:02:30.000 --> 00:02:33.000]  裡面有些重點 我會提及重點
[00:02:33.000 --> 00:02:37.000]  我會扣著一個主題和大家分享
[00:02:37.000 --> 00:02:40.000]  希望大家清楚明白
[00:02:40.000 --> 00:02:45.000]  大家可以按著這個主題去看
[00:02:45.000 --> 00:02:48.000]  看看這個主題是不是序幕
[00:02:48.000 --> 00:02:53.000]  七章裡面的一個重要主題
[00:02:53.000 --> 00:02:58.000]  我們先看看出哀及忌
[00:02:58.000 --> 00:03:02.000]  我會由一章一到七章七節說起
[00:03:02.000 --> 00:03:07.000]  簡介在宣傳片也提及過
[00:03:07.000 --> 00:03:11.000]  其實出哀及忌 當是五經整體的故事一部份
[00:03:11.000 --> 00:03:15.000]  真的好像我們的人生一樣 有五經的故事
[00:03:15.000 --> 00:03:21.000]  有講到創造 出生 家庭生活 離開家庭
[00:03:21.000 --> 00:03:26.000]  組織家庭 生兒養女 遷徙流離
[00:03:26.000 --> 00:03:30.000]  無論是先祖還是遷徙流離
[00:03:30.000 --> 00:03:34.000]  最後去到埃及 有奴役 有呼召
[00:03:34.000 --> 00:03:39.000]  有很多呼召和掙扎 然後真的起行
[00:03:39.000 --> 00:03:44.000]  然後又停頓 民宿再起行
[00:03:44.000 --> 00:03:49.000]  人生又進退失據 又跌倒 又起來
[00:03:49.000 --> 00:03:53.000]  又回顧 回轉 回歸 如果大家看生命記
[00:03:53.000 --> 00:03:57.000]  你就知道最後是進入迦勒地
[00:03:57.000 --> 00:04:00.000]  其實真的是人生的反映
[00:04:00.000 --> 00:04:03.000]  我想多一點我會講 大家也有經歷
[00:04:03.000 --> 00:04:06.000]  所以我這次會摺取五經故事的其中一部份
[00:04:06.000 --> 00:04:09.000]  就是《春埃及記》的小小部份
