
[00:00:00.000 --> 00:00:03.000]  現場及線上的弟兄姊妹平安
[00:00:03.000 --> 00:00:07.800]  很開心 由兩個月沒有見大家
[00:00:07.800 --> 00:00:10.600]  回到2024的聖賢系列
[00:00:10.600 --> 00:00:14.600]  上一次是秋季 現在是年尾的冬季
[00:00:14.600 --> 00:00:19.200]  我們都預備了六場的訊息給大家
[00:00:19.200 --> 00:00:21.000]  上午已經完成了
[00:00:21.000 --> 00:00:22.600]  就是我們的總幹事主持
[00:00:22.600 --> 00:00:24.400]  《春安及記》的序幕
[00:00:24.400 --> 00:00:25.800]  今天都很開心
[00:00:25.800 --> 00:00:27.800]  有李思敬牧師在我們當中
[00:00:27.800 --> 00:00:30.000]  上次見他已經是年頭
[00:00:30.000 --> 00:00:31.800]  新年的時候 春季
[00:00:31.800 --> 00:00:34.600]  很開心 今天是冬季
[00:00:34.600 --> 00:00:38.000]  他又再跟我們一起來分享他的訊息
[00:00:38.000 --> 00:00:39.800]  就是在《針研》裏面
[00:00:39.800 --> 00:00:43.200]  讀經講座《智慧的足跡》
[00:00:43.200 --> 00:00:46.200]  我們給李牧師掌聲
[00:00:46.200 --> 00:00:47.800]  多謝你
[00:00:47.800 --> 00:00:49.200]  事不宜遲
[00:00:49.200 --> 00:00:52.400]  我們請我們的總幹事李耀華先生
[00:00:52.400 --> 00:00:54.400]  為這個講座祈禱
[00:00:54.400 --> 00:00:58.400]  (李先生的名字)
[00:00:58.400 --> 00:01:10.400]  再次感謝你給我們機會
[00:01:10.400 --> 00:01:16.400]  再去聽李思敬牧師對你的話語宣講
[00:01:16.400 --> 00:01:17.800]  特別是《針研》
[00:01:17.800 --> 00:01:19.600]  我們知道是不容易的
[00:01:19.600 --> 00:01:21.200]  我們有很多世俗的智慧
[00:01:21.200 --> 00:01:23.000]  但是聖經的智慧
[00:01:23.000 --> 00:01:25.000]  求主祢自己向我們顯明
[00:01:25.000 --> 00:01:27.800]  讓我們更加明白祢自己的心意
[00:01:27.800 --> 00:01:30.200]  我們將整個課堂恭敬仰望在手裏
[00:01:30.200 --> 00:01:31.600]  求祢大靈使人
[00:01:31.600 --> 00:01:32.600]  禱告仰望你
[00:01:32.600 --> 00:01:34.400]  奉耶穌基督的名字祈禱
[00:01:34.400 --> 00:01:35.000]  阿們
[00:01:35.000 --> 00:01:37.000]  把時間交給李先生
[00:01:50.000 --> 00:01:52.000]  病友姐妹 主內平安
[00:01:52.000 --> 00:01:56.000]  我不知道鏡頭在那邊
[00:01:56.000 --> 00:01:59.000]  可能我不會看著鏡頭講
[00:01:59.000 --> 00:02:02.000]  感謝神的恩典
[00:02:02.000 --> 00:02:06.000]  我們今天下午的時間
[00:02:06.000 --> 00:02:13.000]  來打開舊約聖經的《針研》
[00:02:13.000 --> 00:02:17.000]  《針研》這本書
[00:02:17.000 --> 00:02:20.000]  我多次講過
[00:02:20.000 --> 00:02:24.000]  華人教會很喜愛的
[00:02:24.000 --> 00:02:31.000]  只有中文聖經有這樣的版本
[00:02:31.000 --> 00:02:37.000]  就是新約 符 詩篇 《針研》
[00:02:37.000 --> 00:02:39.000]  英文沒有的
[00:02:39.000 --> 00:02:41.000]  其他的文字的聖經
[00:02:41.000 --> 00:02:43.000]  全世界都沒有的
[00:02:43.000 --> 00:02:44.000]  只是聖經
[00:02:44.000 --> 00:02:51.000]  這是市場供求的市場市場的需要
[00:02:51.000 --> 00:02:54.000]  所以中文聖經
[00:02:54.000 --> 00:02:58.000]  弟兄姊妹讀完新約聖經
[00:02:58.000 --> 00:03:01.000]  最喜歡讀的不是舊約
[00:03:01.000 --> 00:03:03.000]  這個我知道了很久
[00:03:03.000 --> 00:03:05.000]  是詩篇
