
[00:00:00.000 --> 00:00:01.000]  各位大兄姊妹好
[00:00:01.000 --> 00:00:05.280]  歡迎各位一起願意投入去認識全道書
[00:00:05.280 --> 00:00:13.160]  要認識全道書 我想先介紹創造神學這個框架
[00:00:13.160 --> 00:00:16.160]  全道書其實真的不是太容易去讀的
[00:00:16.160 --> 00:00:18.480]  因為當我們去看裏面的內容的時候
[00:00:18.480 --> 00:00:22.400]  我們會發覺裏面有某些地方是有一些矛盾出現
[00:00:22.400 --> 00:00:23.960]  我想舉其中一個例子
[00:00:23.960 --> 00:00:26.560]  就是如果大家手上是有聖經的
[00:00:26.560 --> 00:00:28.120]  請你揭去第八章
[00:00:28.120 --> 00:00:29.800]  全道書的第八章
[00:00:29.880 --> 00:00:34.200]  我們可以看第八章的十一節至到第十三節
[00:00:34.200 --> 00:00:38.040]  全道書的第八章
[00:00:38.040 --> 00:00:40.520]  第十一節
[00:00:40.520 --> 00:00:45.440]  十二節
[00:00:45.440 --> 00:00:47.720]  全道書的第八章第十二節
[00:00:47.720 --> 00:00:49.920]  至到十四節
[00:00:49.920 --> 00:00:57.080]  八章的十二節這樣說
[00:00:57.080 --> 00:01:02.440]  他說罪人雖然作惡百次 倒在長久的年日
[00:01:02.440 --> 00:01:05.560]  然而我準知道敬畏神的就是
[00:01:05.560 --> 00:01:09.280]  在他面前敬畏的人終必得福樂
[00:01:09.280 --> 00:01:13.480]  惡人卻不得福樂也不得長久的年日
[00:01:13.480 --> 00:01:18.400]  這個年日好象影兒 因為他不敬畏神
[00:01:18.400 --> 00:01:24.200]  我們起碼在這裏就見到有一個小矛盾或者張力的
[00:01:24.200 --> 00:01:28.600]  就是八章十三節說明惡人是不會得到福樂
[00:01:28.600 --> 00:01:30.600]  也不會得到長久的年日
[00:01:30.600 --> 00:01:35.760]  不過他之前那句就說罪人可以作惡百次
[00:01:35.760 --> 00:01:38.600]  這個罪人作惡百次自然也是一個惡人
[00:01:38.600 --> 00:01:41.760]  但是他卻可以享長久的年日
[00:01:41.760 --> 00:01:44.800]  為什麼近兩節的經文
[00:01:44.800 --> 00:01:48.160]  一個是說這些惡人是有長久的年日
[00:01:48.160 --> 00:01:51.920]  但是接著另外一節就不得享長久的年日呢?
[00:01:51.920 --> 00:01:54.120]  然後我們再看回十四節
[00:01:54.600 --> 00:01:58.400]  就說一個讓人覺得唏噓的事情
[00:01:58.400 --> 00:02:00.520]  就是世上有一件虛空的事
[00:02:00.520 --> 00:02:04.040]  就是二人所遭遇的反照惡人所作的
[00:02:04.040 --> 00:02:08.160]  又有惡人所遭遇的反照二人所作的
[00:02:08.160 --> 00:02:11.200]  這裏就說回二人會有什麼遭遇
[00:02:11.200 --> 00:02:14.920]  我們所期待的二人應該就是敬畏神的人
[00:02:14.920 --> 00:02:19.520]  按照剛才十二節所說的
[00:02:19.520 --> 00:02:21.680]  敬畏神的人應該是得到福樂的
[00:02:21.800 --> 00:02:24.760]  不過這個十四節所描述的
[00:02:24.760 --> 00:02:28.040]  就是二人所遭遇的應該是惡人
[00:02:28.040 --> 00:02:30.680]  應該有的審判和刑罰的結果
[00:02:30.680 --> 00:02:32.440]  那應該就是得不到福樂的
[00:02:32.440 --> 00:02:37.000]  我們再一次看到的就是近幾節的經文
[00:02:37.000 --> 00:02:40.040]  但是有很明顯的張力去發生
[00:02:40.040 --> 00:02:44.640]  這一類的處境在傳道書裏面不少地方都會出現
[00:02:44.640 --> 00:02:48.760]  創造神學的作用就是在於
[00:02:48.760 --> 00:02:50.920]  讓我們能夠在這個框架底下
[00:02:51.040 --> 00:02:53.120]  可以去處理到這一類的矛盾
[00:02:53.120 --> 00:02:57.960]  我們明白為什麼意思這麼不同的經文會放在一起
