
[00:00:00.000 --> 00:00:02.720]  國際性的華人聖經事供機構
[00:00:02.720 --> 00:00:05.840]  我們結合聖經出版和宣教理念
[00:00:05.840 --> 00:00:07.360]  向全球的中文讀者
[00:00:07.360 --> 00:00:09.120]  提供不同媒介和類型的
[00:00:09.120 --> 00:00:11.640]  聖經讀本和言經材料
[00:00:11.640 --> 00:00:13.960]  讓人從聖經中認識神
[00:00:13.960 --> 00:00:16.320]  進入永恆的生命
[00:00:16.320 --> 00:00:20.240]  康協於1987年在香港成立
[00:00:20.240 --> 00:00:22.520]  目標是用當代語文
[00:00:22.520 --> 00:00:26.120]  將聖經翻譯成淺白二名的讀本
[00:00:26.120 --> 00:00:29.120]  使大家明白聖經的真理
[00:00:29.120 --> 00:00:32.080]  現在在香港、台灣、美國
[00:00:32.080 --> 00:00:33.680]  都設有辦公室
[00:00:33.680 --> 00:00:36.440]  服務世界各地的華人社群
[00:00:36.440 --> 00:00:38.800]  和華人教會
[00:00:38.800 --> 00:00:40.600]  神教託我們的意象
[00:00:40.600 --> 00:00:43.760]  是「聖經傳聞家,救恩臨天下」
[00:00:43.760 --> 00:00:45.440]  我們以出版和推廣聖經
[00:00:45.440 --> 00:00:47.000]  為主要的服務
[00:00:47.000 --> 00:00:49.200]  透過聖經翻譯和出版
[00:00:49.200 --> 00:00:52.400]  聖經外展、電子網絡等工作
[00:00:52.400 --> 00:00:54.800]  拓展聖經的福音事供
[00:00:54.800 --> 00:00:57.120]  在聖經翻譯和出版方面
[00:00:57.120 --> 00:00:58.440]  最重要的出版
[00:00:58.440 --> 00:01:02.040]  包括《新漢語》譯本和《新普及》譯本
[00:01:02.040 --> 00:01:05.040]  《新漢語》譯本是華人聖經學者
[00:01:05.040 --> 00:01:06.680]  根據聖經原文
[00:01:06.680 --> 00:01:10.040]  由希伯來文、阿蘭文和希臘文
[00:01:10.040 --> 00:01:11.920]  重新翻譯而成
[00:01:11.920 --> 00:01:15.800]  幫助華人信徒掌握聖經原文精髓
[00:01:15.800 --> 00:01:20.480]  推出以來深受目者和信徒歡迎
[00:01:20.480 --> 00:01:21.840]  《新普及》譯本
[00:01:21.840 --> 00:01:23.760]  是直接由英文聖經
[00:01:23.760 --> 00:01:26.560]  New Living Translation翻譯而成
[00:01:26.560 --> 00:01:28.160]  語文清晰易讀
[00:01:28.160 --> 00:01:29.640]  生動扭暢
[00:01:29.640 --> 00:01:31.080]  感情豐富
[00:01:31.080 --> 00:01:35.120]  特別適合慕道朋友和年輕讀者
[00:01:35.120 --> 00:01:36.920]  在聖經外展方面
[00:01:36.920 --> 00:01:39.360]  我們透過舉辦聖經朗誦節
[00:01:39.360 --> 00:01:42.000]  製作福音小冊子和短片
[00:01:42.000 --> 00:01:44.560]  讓聖經文化得以普及
[00:01:44.560 --> 00:01:45.400]  同時
[00:01:45.400 --> 00:01:48.640]  我們定期舉行聖經專題講座
[00:01:48.640 --> 00:01:50.360]  推動讀經運動
[00:01:50.360 --> 00:01:53.000]  協助教會建立讀經文化
[00:01:53.000 --> 00:01:55.520]  用聖經的華語裝備門徒
[00:01:55.520 --> 00:01:59.920]  為普世華人歸主作好準備
[00:01:59.920 --> 00:02:02.120]  隨著科技日新月異
[00:02:02.120 --> 00:02:04.720]  我們亦致力開發電子資源
[00:02:04.720 --> 00:02:06.600]  和網上平台
[00:02:06.600 --> 00:02:08.520]  包括網上書店
[00:02:08.520 --> 00:02:10.400]  網上聖經
[00:02:10.400 --> 00:02:12.240]  手機應用程式
[00:02:12.240 --> 00:02:15.480]  電子聖經和電子書
[00:02:15.480 --> 00:02:17.720]  創業透過實體書店
[00:02:17.720 --> 00:02:20.920]  網上書店以及電子應用程式
[00:02:20.920 --> 00:02:23.920]  為不同背景和年齡層的華人讀者
[00:02:23.920 --> 00:02:26.040]  提供合適的聖經讀本
[00:02:26.040 --> 00:02:28.120]  並有各類賢經工具
[00:02:28.120 --> 00:02:29.920]  識經參考書等
[00:02:29.920 --> 00:02:32.480]  讓人從聖經中學習真理
[00:02:32.480 --> 00:02:34.680]  活出豐盛的生命
[00:02:34.680 --> 00:02:36.480]  漢語聖經協會
[00:02:36.480 --> 00:02:38.480]  願意成為你傳揚福音
[00:02:38.480 --> 00:02:40.640]  堅固信仰的夥伴
[00:02:40.640 --> 00:02:43.800]  我們亦需要你的禱告支持和參與
[00:02:43.800 --> 00:02:46.000]  歡迎你瀏覽我們的網站
[00:02:46.000 --> 00:02:48.000]  獲取最新消息
[00:02:48.000 --> 00:02:50.800]  讓我們一起為傳揚福音而努力
[00:02:51.800 --> 00:02:53.800]  《新漢語》的出版方案
[00:02:53.800 --> 00:02:55.800]  由 阿爾巴喬 和 阿爾巴喬 合作
[00:02:55.800 --> 00:02:57.800]  《新漢語》的出版方案
[00:02:57.800 --> 00:02:59.800]  由 阿爾巴喬 和 阿爾巴喬 合作
[00:02:59.800 --> 00:03:01.800]  《新漢語》的出版方案
[00:03:01.800 --> 00:03:03.800]  由 阿爾巴喬 和 阿爾巴喬 合作
[00:03:03.800 --> 00:03:05.800]  《新漢語》的出版方案
[00:03:05.800 --> 00:03:07.800]  由 阿爾巴喬 和 阿爾巴喬 合作
[00:03:07.800 --> 00:03:09.800]  《新漢語》的出版方案
[00:03:09.800 --> 00:03:11.800]  由 阿爾巴喬 和 阿爾巴喬 合作
[00:03:11.800 --> 00:03:13.800]  《新漢語》的出版方案
[00:03:13.800 --> 00:03:15.800]  由 阿爾巴喬 和 阿爾巴喬 合作
[00:03:15.800 --> 00:03:17.800]  《新漢語》的出版方案
[00:03:17.800 --> 00:03:20.800]  期待《舊約聖經》的出版
[00:03:20.800 --> 00:03:22.800]  四年後
[00:03:22.800 --> 00:03:27.800]  我們很高興見到《舊約五經》率先面世
[00:03:27.800 --> 00:03:31.800]  讓廣大讀者可以先睹為快
[00:03:31.800 --> 00:03:38.800]  體驗一下《舊約聖經》譯文的風格
[00:03:38.800 --> 00:03:43.800]  《新漢語》譯本是一本全新翻譯的聖經
[00:03:43.800 --> 00:03:45.800]  忠於原文
[00:03:45.800 --> 00:03:47.800]  採用漢語
[00:03:47.800 --> 00:03:52.800]  亦是用接近日常生活的文字
[00:03:52.800 --> 00:03:58.800]  它的特色是在於結合近代聖經研究的成果
[00:03:58.800 --> 00:04:03.800]  以及在翻譯上保留原文的面貌
[00:04:03.800 --> 00:04:08.800]  在翻譯上我們演出原有文字
[00:04:08.800 --> 00:04:15.800]  在結構、次序和文學特色上的現象
