
[00:00:00.000 --> 00:00:02.000]  好 今次是午晚
[00:00:02.000 --> 00:00:05.720]  今早又崇拜完 吃完飯
[00:00:05.720 --> 00:00:09.220]  下午可能有一點累的
[00:00:09.220 --> 00:00:12.880]  不要緊 我大概是35分鐘左右
[00:00:12.880 --> 00:00:14.140]  有10分鐘休息
[00:00:14.140 --> 00:00:15.380]  如果大家覺得累
[00:00:15.380 --> 00:00:17.140]  你會想 很快就休息了
[00:00:17.140 --> 00:00:18.140]  很有精神
[00:00:18.140 --> 00:00:22.640]  好 我們開始講
[00:00:22.640 --> 00:00:26.160]  路德記大家都看過的
[00:00:26.160 --> 00:00:30.640]  路德記和其他的書卷很不同
[00:00:30.640 --> 00:00:33.440]  它是一個故事的形式
[00:00:33.440 --> 00:00:35.120]  很完整的一個故事
[00:00:35.120 --> 00:00:38.720]  它沒有說到誰是作者
[00:00:38.720 --> 00:00:41.520]  因為作者不知道
[00:00:41.520 --> 00:00:45.280]  所以寫書的時間我們都很難確定
[00:00:45.280 --> 00:00:48.600]  不過大致上我們可以知道
[00:00:48.600 --> 00:00:50.560]  因為從第一章第一節
[00:00:50.560 --> 00:00:53.480]  它說到事司秉政的時候
[00:00:53.480 --> 00:00:59.360]  和第四章22節就是耶穌生大衛
[00:00:59.360 --> 00:01:01.800]  如果提到大衛很明顯
[00:01:01.800 --> 00:01:07.960]  那個作者他應該是在大衛之後
[00:01:07.960 --> 00:01:09.880]  因為他不知道大衛 是不是
[00:01:09.880 --> 00:01:12.560]  所以大概他和事司紀一樣
[00:01:12.560 --> 00:01:15.360]  都是以色列人有了君王以後所寫的
[00:01:15.360 --> 00:01:17.640]  就是王朝建立之後
[00:01:17.640 --> 00:01:21.760]  甚至有學者認為他是事司紀的一部分
[00:01:21.760 --> 00:01:24.320]  事司紀的附錄
[00:01:24.320 --> 00:01:25.760]  不過這個不要緊
[00:01:25.760 --> 00:01:30.600]  但是在過去的編排上
[00:01:30.600 --> 00:01:33.400]  路德記都是相當獨立的
[00:01:33.400 --> 00:01:40.040]  有些猶太人 有些猶太的拉比或者古代
[00:01:40.040 --> 00:01:44.960]  他們認為可能是薩姆爾所寫
[00:01:44.960 --> 00:01:46.600]  因為薩姆爾居立大衛
[00:01:46.600 --> 00:01:48.400]  不過不要緊
[00:01:48.400 --> 00:01:49.920]  這個都是推測
[00:01:49.920 --> 00:01:53.120]  所以我們仍然都不知道是誰所寫
