
[00:00:00.000 --> 00:00:03.160]  之前在第七章一開始也提到
[00:00:03.160 --> 00:00:06.520]  大衛身處一個安定的環境
[00:00:06.520 --> 00:00:09.520]  安定或者平靜
[00:00:09.520 --> 00:00:12.040]  好像沒有打仗
[00:00:12.040 --> 00:00:16.320]  但你會發覺很快第八章又繼續打
[00:00:16.320 --> 00:00:18.520]  打到第十一章又是在打
[00:00:18.520 --> 00:00:24.080]  即是說其實真的沒有去到平靜安定的日子
[00:00:24.080 --> 00:00:27.840]  可能每一次都是一些階段性的安定
[00:00:27.840 --> 00:00:30.600]  現在過了一段時間
[00:00:30.600 --> 00:00:32.200]  諸王出戰的時候
[00:00:32.200 --> 00:00:34.120]  大衛又要派人去打仗
[00:00:34.120 --> 00:00:36.560]  即是還有一段時間要搞
[00:00:36.560 --> 00:00:39.840]  圍攻的地點值得我們留意
[00:00:39.840 --> 00:00:41.680]  他說圍攻拉巴
[00:00:41.680 --> 00:00:43.640]  拉巴即是怎樣
[00:00:43.640 --> 00:00:49.080]  其實你回到第十二章最後結束的時候
[00:00:49.080 --> 00:00:51.480]  你會發現他們都是在說打拉巴
[00:00:51.480 --> 00:00:53.880]  都是在說攻打拉巴
[00:00:53.880 --> 00:00:59.000]  即是說整段由十一章一節到十二章二十六節
[00:00:59.000 --> 00:01:02.960]  其實是一個首尾呼應的經文
[00:01:02.960 --> 00:01:05.280]  開頭說外圍的處境
[00:01:05.280 --> 00:01:07.040]  打仗打拉巴
[00:01:07.040 --> 00:01:10.440]  最後的時候都是說一個外圍的處境
[00:01:10.440 --> 00:01:12.160]  打仗打拉巴
[00:01:12.160 --> 00:01:13.960]  全部是對外的事情
[00:01:13.960 --> 00:01:17.120]  就在打拉巴和打拉巴之間
[00:01:17.120 --> 00:01:21.360]  夾了中間這五十一節這麼長的經文
[00:01:21.360 --> 00:01:22.760]  兩章的聖經
[00:01:22.760 --> 00:01:26.160]  五十一節這麼長的經文
[00:01:26.160 --> 00:01:29.880]  即是說很多的外圍的事件
[00:01:29.880 --> 00:01:31.360]  國家大事
[00:01:31.360 --> 00:01:32.240]  打仗
[00:01:32.240 --> 00:01:33.120]  攻城
[00:01:33.120 --> 00:01:37.840]  這些大事之間
[00:01:37.840 --> 00:01:41.480]  作者忽然間要用很長的篇幅
[00:01:41.480 --> 00:01:44.080]  不跟你說國家大事
[00:01:44.080 --> 00:01:46.120]  不跟你說國際政局
[00:01:46.120 --> 00:01:48.680]  不跟你說外在的大環境
[00:01:48.680 --> 00:01:50.960]  這個世界發生什麼事
[00:01:50.960 --> 00:01:52.120]  外面怎樣怎樣
[00:01:52.120 --> 00:01:55.200]  轉到一兩個人當中
[00:01:55.200 --> 00:01:58.880]  甚至乎是一個人的內在生命裡面
[00:01:58.880 --> 00:02:01.680]  成為描述的焦點
[00:02:01.680 --> 00:02:06.160]  成為我們要關注的東西
[00:02:06.160 --> 00:02:08.360]  其實我們今天的處境可能都是這樣
[00:02:08.360 --> 00:02:09.280]  想想是不是
[00:02:09.280 --> 00:02:12.200]  我們活在一個大時代
[00:02:12.200 --> 00:02:15.080]  即是說周圍發生很多大事
[00:02:15.080 --> 00:02:16.720]  過去二十年三十年
[00:02:16.720 --> 00:02:19.560]  過去十年過去五年
[00:02:19.560 --> 00:02:22.120]  有社運 有疫情
[00:02:22.120 --> 00:02:23.520]  有移民潮
[00:02:23.520 --> 00:02:25.520]  有經濟爆破
[00:02:25.520 --> 00:02:26.720]  失業
[00:02:26.720 --> 00:02:28.960]  有Bitcoin
[00:02:28.960 --> 00:02:31.000]  很多事情發生在我們周圍
[00:02:31.000 --> 00:02:32.360]  接著我們又會發現
[00:02:32.360 --> 00:02:35.120]  教會也在面對很多的衝擊
[00:02:35.120 --> 00:02:39.240]  有一段是講發展的時期
[00:02:39.240 --> 00:02:42.640]  有一段是在萎縮的時期
[00:02:42.640 --> 00:02:45.040]  接著又說要發整為零
[00:02:45.040 --> 00:02:45.920]  分散
[00:02:45.920 --> 00:02:49.760]  一會兒又說要怎樣
[00:02:49.760 --> 00:02:50.840]  要有席堂
[00:02:50.840 --> 00:02:52.200]  很多事情發生
[00:02:52.200 --> 00:02:55.120]  其實我們很忙碌處理外面的事情
[00:02:55.120 --> 00:02:57.160]  無論是世界的事情
[00:02:57.160 --> 00:02:59.160]  應付外在環境
[00:02:59.160 --> 00:03:00.800]  甚至教會
[00:03:00.800 --> 00:03:05.760]  都一樣處理很多外在大型的事情
[00:03:05.760 --> 00:03:10.080]  香港的政治環境
[00:03:10.080 --> 00:03:11.680]  法治的衝擊
[00:03:11.680 --> 00:03:13.280]  大家都很關注
[00:03:13.280 --> 00:03:15.440]  國際關係
[00:03:15.440 --> 00:03:17.440]  美國大選前段時間
[00:03:17.440 --> 00:03:19.080]  中美關係
[00:03:19.080 --> 00:03:20.200]  中東打仗
[00:03:20.200 --> 00:03:21.160]  俄烏戰爭
[00:03:21.160 --> 00:03:22.480]  北韓的局勢
[00:03:22.480 --> 00:03:25.720]  股票市場一定會下跌
[00:03:25.720 --> 00:03:29.760]  教會當中宣教策略的改變
