
[00:00:00.000 --> 00:00:14.200]  歡迎大家來到漢業獨經Channel
[00:00:14.200 --> 00:00:16.200]  我在獨經中成長
[00:00:16.200 --> 00:00:18.200]  我是蔡宗敬牧師
[00:00:18.200 --> 00:00:20.860]  我現在在香港西區潮語浸信會
[00:00:20.860 --> 00:00:22.860]  我是主音牧師
[00:00:22.860 --> 00:00:24.860]  先和大家分享一首詩歌
[00:00:24.860 --> 00:00:26.860]  這首詩歌叫做Is He Worthy
[00:00:26.860 --> 00:00:28.860]  英文歌來的
[00:00:28.860 --> 00:00:30.860]  這首詩歌精彩在於
[00:00:30.860 --> 00:00:32.860]  一開始用很多問題來問
[00:00:32.860 --> 00:00:34.860]  幫助我們從這個紛亂的世界
[00:00:34.860 --> 00:00:36.860]  聚焦回到耶穌基督
[00:00:36.860 --> 00:00:40.860]  最終對祂有很大的敬拜
[00:00:40.860 --> 00:00:42.860]  以致我們生命提升
[00:00:42.860 --> 00:00:44.860]  我們一齊聽聽
[00:00:44.860 --> 00:00:46.860]  (Is He Worthy)
[00:00:46.860 --> 00:00:48.860]  (Is He Worthy)
[00:00:48.860 --> 00:00:50.860]  (Is He Worthy)
[00:00:51.860 --> 00:00:55.860]  Do you feel the world is broken
[00:00:55.860 --> 00:01:02.860]  Do you feel the shadows deepening
[00:01:02.860 --> 00:01:11.860]  Do you know that all the dark won't stop the light from getting through
[00:01:11.860 --> 00:01:19.860]  Do you wish that you could see it all made new
[00:01:20.860 --> 00:01:22.860]  (Is He Worthy)
[00:01:22.860 --> 00:01:24.860]  (Is He Worthy)
[00:01:24.860 --> 00:01:26.860]  (Is He Worthy)
[00:01:26.860 --> 00:01:28.860]  (Is He Worthy)
[00:01:28.860 --> 00:01:31.860]  Is all creation groaning
[00:01:31.860 --> 00:01:37.860]  Is a new creation coming
[00:01:37.860 --> 00:01:47.860]  Is the glory of the Lord to be the light within our midst
[00:01:48.860 --> 00:01:50.860]  Yeah
[00:01:50.860 --> 00:01:56.860]  Is it good that we remind ourselves of this
[00:01:56.860 --> 00:02:00.860]  Yeah
[00:02:00.860 --> 00:02:06.860]  Is anyone worthy
[00:02:06.860 --> 00:02:09.860]  Is anyone whole
[00:02:09.860 --> 00:02:16.860]  Is anyone able to break the seal and open the soul
[00:02:17.860 --> 00:02:19.860]  The Lion of Judah
[00:02:19.860 --> 00:02:22.860]  Who conquered the grave
[00:02:22.860 --> 00:02:29.860]  He is David's Root and the Lamb who died to ransom the slain
[00:02:29.860 --> 00:02:32.860]  Is He Worthy
[00:02:32.860 --> 00:02:35.860]  Is He Worthy
[00:02:35.860 --> 00:02:40.860]  Of all blessing and honor and glory
[00:02:40.860 --> 00:02:43.860]  Is He Worthy
[00:02:44.860 --> 00:02:46.860]  Is He Worthy
[00:02:46.860 --> 00:02:49.860]  Of this
[00:02:49.860 --> 00:02:52.860]  Yeah
[00:02:52.860 --> 00:02:59.860]  Does the Father truly love us
[00:02:59.860 --> 00:03:02.860]  (He loves us)
[00:03:02.860 --> 00:03:06.860]  Does the Spirit move among us
[00:03:06.860 --> 00:03:09.860]  (He loves us)
[00:03:09.860 --> 00:03:12.860]  And does Jesus our Messiah
[00:03:13.860 --> 00:03:15.860]  (He loves us)
[00:03:15.860 --> 00:03:18.860]  (He loves us)
[00:03:18.860 --> 00:03:23.860]  Does our God intend to dwell again with us
[00:03:23.860 --> 00:03:26.860]  (He loves us)
[00:03:26.860 --> 00:03:29.860]  Is anyone worthy
[00:03:29.860 --> 00:03:32.860]  Is anyone whole
[00:03:32.860 --> 00:03:39.860]  Is anyone able to break the seal and open the soul
[00:03:39.860 --> 00:03:42.860]  The Lion of Judah
[00:03:42.860 --> 00:03:44.860]  Who conquered the grave
[00:03:44.860 --> 00:03:51.860]  He is David's Root and the Lamb who died to ransom the slain
[00:03:51.860 --> 00:03:54.860]  From every people and tribe
[00:03:54.860 --> 00:03:57.860]  From every nation and tribe
[00:03:57.860 --> 00:04:01.860]  He has made us the King of the priests of God
[00:04:01.860 --> 00:04:04.860]  To reign with the Son
[00:04:04.860 --> 00:04:07.860]  Is He Worthy
[00:04:07.860 --> 00:04:10.860]  Is He Worthy
[00:04:11.860 --> 00:04:17.860]  Of all blessing and honor and glory
[00:04:17.860 --> 00:04:20.860]  Is He Worthy
[00:04:20.860 --> 00:04:23.860]  Is He Worthy
[00:04:23.860 --> 00:04:26.860]  Is He Worthy
[00:04:26.860 --> 00:04:29.860]  Of this
[00:04:29.860 --> 00:04:36.860]  Yeah
[00:04:36.860 --> 00:04:39.860]  Yeah
[00:04:40.860 --> 00:04:42.860]  Yeah
[00:04:42.860 --> 00:04:45.860]  Yeah
[00:04:45.860 --> 00:04:48.860]  Yeah
[00:04:48.860 --> 00:04:51.860]  Yeah
[00:04:51.860 --> 00:04:54.860]  Yeah
[00:04:54.860 --> 00:04:57.860]  Yeah
[00:04:57.860 --> 00:05:00.860]  Yeah
[00:05:00.860 --> 00:05:03.860]  Yeah
[00:05:03.860 --> 00:05:06.860]  Yeah
[00:05:06.860 --> 00:05:08.860]  Yeah
[00:05:08.860 --> 00:05:19.860]  在經文之前
[00:05:19.860 --> 00:05:21.860]  我為大家做一個祈禱
