
[00:00:00.000 --> 00:00:03.200]  在讀經文之前,我和大家一起有個祈禱
[00:00:03.200 --> 00:00:05.800]  天父上帝,我們感謝祢
[00:00:05.800 --> 00:00:07.800]  因為祢賜下祢的說話
[00:00:07.800 --> 00:00:10.800]  所以求祢今天打開我們的耳朵
[00:00:10.800 --> 00:00:12.000]  打開我們的心靈
[00:00:12.000 --> 00:00:14.600]  讓我們不單止讀得明白
[00:00:14.600 --> 00:00:17.800]  更加能夠觸摸祢的心意
[00:00:17.800 --> 00:00:19.800]  所以就求祢這樣去帶領我們
[00:00:19.800 --> 00:00:21.200]  更新我們
[00:00:21.200 --> 00:00:22.200]  聽我們祈禱
[00:00:22.200 --> 00:00:23.800]  禱告奉耶穌基督的名
[00:00:23.800 --> 00:00:24.600]  阿們
[00:00:24.600 --> 00:00:29.000]  我今天解的經文是《尼西米記》第一章的全章
[00:00:29.400 --> 00:00:33.200]  《尼西米記》的背景是那時候猶太人被擄
[00:00:33.200 --> 00:00:35.200]  有很多人離開家鄉
[00:00:35.200 --> 00:00:38.200]  被那時候波斯帝國統治
[00:00:38.200 --> 00:00:42.600]  而《尼西米記》就是波斯王阿達舌西的走證
[00:00:42.600 --> 00:00:46.600]  聖經《尼西米記》第一章第一節開始這樣說
[00:00:46.600 --> 00:00:52.000]  哈加利亞的兒子尼西米的言語如下
[00:00:52.000 --> 00:00:56.400]  阿達舌西王二十年基斯留月
[00:00:56.400 --> 00:00:58.000]  我在書山城堡中
[00:00:58.000 --> 00:01:02.000]  那時我有一位兄弟哈拿尼
[00:01:02.000 --> 00:01:05.000]  和幾個人從猶太來
[00:01:05.000 --> 00:01:08.000]  我問他們那些被擄歸回
[00:01:08.000 --> 00:01:12.600]  剩下殘存的猶太人和耶路撒冷的情況
[00:01:12.600 --> 00:01:17.000]  這兩節是說到尼西米關心什麼呢?
[00:01:17.000 --> 00:01:19.000]  他關心那些被擄歸回
[00:01:19.000 --> 00:01:23.600]  剩下殘存的猶太人在耶路撒冷的境況
[00:01:23.600 --> 00:01:25.600]  在這裡已經馬下伏筆
[00:01:25.600 --> 00:01:29.000]  因為接下來《尼西米記》就是記載他怎樣
[00:01:29.000 --> 00:01:33.000]  回到耶路撒冷重建那個城市
[00:01:33.000 --> 00:01:35.000]  第三節繼續說
[00:01:35.000 --> 00:01:38.000]  這些猶太人和他們說
[00:01:38.000 --> 00:01:39.000]  和尼西米說
[00:01:39.000 --> 00:01:44.000]  那些被擄歸回剩下的漁民在猶大省那裡遭大難
[00:01:44.000 --> 00:01:46.000]  受凌辱
[00:01:46.000 --> 00:01:49.000]  耶路撒冷的城牆被拆毀
[00:01:49.000 --> 00:01:51.000]  城門被火焚燒
[00:01:51.000 --> 00:01:55.000]  我聽見者說就做下哭泣悲哀的人
[00:01:55.000 --> 00:01:59.000]  在天上的神面前禁食祈禱
[00:01:59.000 --> 00:02:07.000]  尼西米關心耶路撒冷和那些歸回的耶穌人的狀況
[00:02:07.000 --> 00:02:10.000]  他打聽完之後發現他們的狀況一點都不好
[00:02:10.000 --> 00:02:14.400]  然後他的反應就是哭泣悲哀了幾天
[00:02:14.400 --> 00:02:18.400]  然後他做的事情是在天上的神面前禁食祈禱
[00:02:18.400 --> 00:02:20.400]  可見他聽到消息的時候
[00:02:20.400 --> 00:02:25.400]  其實都是馬上將事情放回上帝的面前
[00:02:25.400 --> 00:02:28.400]  然後第一章大部分的內容
[00:02:28.400 --> 00:02:32.400]  都是說尼西米祈禱的內容
[00:02:32.400 --> 00:02:35.400]  第五至十一節是說尼西米的祈禱
[00:02:35.400 --> 00:02:37.400]  我想可以分三個部分
[00:02:37.400 --> 00:02:40.400]  第一部分在第五節至第七節
[00:02:40.400 --> 00:02:43.400]  尼西米祈禱的內容是
