
[00:00:00.000 --> 00:00:02.000]  好 各位姐妹早安
[00:00:02.000 --> 00:00:06.000]  今日和大家講一個聖經的故事
[00:00:06.000 --> 00:00:12.000]  講題是大衛和烏尼亞
[00:00:12.000 --> 00:00:18.000]  我去年在大家中間講了大衛和哥利亞
[00:00:18.000 --> 00:00:20.000]  今日是另一個故事
[00:00:20.000 --> 00:00:26.000]  本來一般的教會的教會
[00:00:26.000 --> 00:00:32.000]  本來一般的印象我以前也是
[00:00:32.000 --> 00:00:36.000]  應該好像現在你見到的聖經標題
[00:00:36.000 --> 00:00:38.000]  應該是大衛和拔士巴
[00:00:38.000 --> 00:00:43.000]  但你看完撒滿爾記第十一章
[00:00:43.000 --> 00:00:45.000]  你一定應該改題目
[00:00:45.000 --> 00:00:49.000]  因為拔士巴在第十一章
[00:00:49.000 --> 00:00:53.000]  他只是在開始出現和結束出現
[00:00:53.000 --> 00:00:57.000]  中間最大的部分根本沒有提及拔士巴
[00:00:57.000 --> 00:01:02.000]  所以重點其實是烏尼亞不是拔士巴
[00:01:02.000 --> 00:01:04.000]  而且你看第十一章
[00:01:04.000 --> 00:01:09.000]  你會發覺拔士巴的名字也只是開始出現
[00:01:09.000 --> 00:01:13.000]  結束的時候連拔士巴的名字也沒有出現
[00:01:13.000 --> 00:01:15.000]  他是烏尼亞的妻子
[00:01:15.000 --> 00:01:21.000]  所以你就明白為何我今天改聚會的題目
[00:01:21.000 --> 00:01:23.000]  是大衛和烏尼亞
[00:01:23.000 --> 00:01:29.000]  因為這才是第十一章中心的思想
[00:01:29.000 --> 00:01:36.000]  哥利亞和烏尼亞兩個中文的譯名
[00:01:36.000 --> 00:01:37.000]  只差一個字
[00:01:37.000 --> 00:01:40.000]  一個姓阿哥一個姓阿烏
[00:01:40.000 --> 00:01:42.000]  假的不是真的
[00:01:42.000 --> 00:01:48.000]  兩個其實都有很多相似又不相似的地方
[00:01:48.000 --> 00:01:52.000]  其實哥利亞和烏尼亞都是外邦人
[00:01:52.000 --> 00:01:55.000]  哥利亞是菲利斯人
[00:01:55.000 --> 00:01:58.000]  烏尼亞是赫人
[00:01:58.000 --> 00:02:01.000]  兩者都是軍人
[00:02:01.000 --> 00:02:06.000]  烏尼亞是屬於以色列人的敵人
[00:02:06.000 --> 00:02:09.000]  是菲利斯人和以色列人打仗
[00:02:09.000 --> 00:02:11.000]  烏尼亞就不是
[00:02:11.000 --> 00:02:13.000]  烏尼亞是軍人
[00:02:13.000 --> 00:02:16.000]  他是屬於以色列人這一邊
[00:02:16.000 --> 00:02:19.000]  幫大衛打仗
[00:02:19.000 --> 00:02:24.000]  兩個人其實都是死在戰場
[00:02:24.000 --> 00:02:29.000]  兩個都是死在大衛的手下
[00:02:29.000 --> 00:02:32.000]  兩個都是借刀殺人
[00:02:32.000 --> 00:02:39.000]  大衛借刀殺人的那把刀是哥利亞的刀
[00:02:39.000 --> 00:02:41.000]  不是大衛自己的刀
[00:02:41.000 --> 00:02:46.000]  是他用了烏尼亞的刀
[00:02:46.000 --> 00:02:49.000]  把哥利亞的頭割下來
[00:02:49.000 --> 00:02:54.000]  烏尼亞真的借刀殺人
[00:02:54.000 --> 00:02:59.000]  他借阿門人的手殺了烏尼亞
[00:02:59.000 --> 00:03:02.000]  兩個都是死在大衛的手上
[00:03:02.000 --> 00:03:08.000]  當大衛殺哥利亞的時候
[00:03:08.000 --> 00:03:13.000]  大衛當時是無權無勢的年輕人
[00:03:13.000 --> 00:03:16.000]  不夠二十歲
[00:03:16.000 --> 00:03:19.000]  是一個少年人 無權無勢
[00:03:19.000 --> 00:03:21.000]  還是一個幕僚
[00:03:21.000 --> 00:03:24.000]  當大衛殺烏尼亞的時候
[00:03:24.000 --> 00:03:27.000]  大衛應該是一個中年人
[00:03:27.000 --> 00:03:29.000]  中得很厲害
[00:03:29.000 --> 00:03:32.000]  因為他有太太
[00:03:32.000 --> 00:03:35.000]  而且有子女
[00:03:35.000 --> 00:03:38.000]  那些子女不是首抱的階段
[00:03:38.000 --> 00:03:40.000]  全部都長大成人
[00:03:40.000 --> 00:03:43.000]  所以你想到他殺烏尼亞的時候
[00:03:43.000 --> 00:03:46.000]  他年紀也有差不多
[00:03:46.000 --> 00:03:50.000]  同時當他殺烏尼亞的時候
[00:03:50.000 --> 00:03:51.000]  他不是無權無勢
[00:03:51.000 --> 00:03:54.000]  他是一國的元首
[00:03:54.000 --> 00:03:58.000]  他很有那種權力
[00:03:58.000 --> 00:04:02.000]  大衛殺哥利亞
[00:04:02.000 --> 00:04:06.000]  令他聲名大噪
[00:04:06.000 --> 00:04:10.000]  也因為這樣很多人認識他
[00:04:10.000 --> 00:04:15.000]  他攀上了向上的階梯
[00:04:15.000 --> 00:04:18.000]  留下的是美名
[00:04:18.000 --> 00:04:21.000]  因為一講大衛殺哥利亞
[00:04:21.000 --> 00:04:24.000]  大家知道是他出名的那一戰
[00:04:24.000 --> 00:04:26.000]  一戰他就成名
[00:04:26.000 --> 00:04:28.000]  但是大衛殺烏尼亞
[00:04:28.000 --> 00:04:32.000]  為他一生人留下了很大的污點
[00:04:32.000 --> 00:04:36.000]  我想是一個很大的差別
[00:04:36.000 --> 00:04:39.000]  今天我們試試看這個故事
[00:04:39.000 --> 00:04:41.000]  這個故事的開始
[00:04:41.000 --> 00:04:45.000]  其實就是第十一章的第一節
[00:04:45.000 --> 00:04:47.000]  我想大多數聖經都是一樣的
[00:04:47.000 --> 00:04:53.000]  第一節完結後他就開新段
[00:04:53.000 --> 00:04:56.000]  我這本聖經很舊的
[00:04:56.000 --> 00:05:00.000]  第一節完結後他就給他一個很大的句號
[00:05:00.000 --> 00:05:06.000]  其實第一節好像跟後面的經文無關
[00:05:06.000 --> 00:05:08.000]  不過其實第一節
[00:05:08.000 --> 00:05:12.000]  你留心看內容
[00:05:12.000 --> 00:05:16.000]  第一節應該是跟這件事有關
[00:05:16.000 --> 00:05:18.000]  跟烏尼亞那件事有關
[00:05:18.000 --> 00:05:21.000]  我們先看這節經文
[00:05:21.000 --> 00:05:24.000]  過了一年,到獵王出戰的時候
