
[00:00:00.000 --> 00:00:03.000]  弟兄姊妹平安 新年無福
[00:00:03.000 --> 00:00:07.500]  代表漢語聖經協會非常歡迎現場的弟兄姊妹
[00:00:07.500 --> 00:00:13.500]  和線上很多弟兄姊妹參與今天的讀經講座
[00:00:13.500 --> 00:00:16.500]  我們給自己掌聲 也給身邊的朋友掌聲
[00:00:16.500 --> 00:00:19.500]  非常歡迎線上甚至海外的弟兄姊妹
[00:00:19.500 --> 00:00:22.000]  現在晚上也來支持這個講座
[00:00:22.000 --> 00:00:23.500]  非常歡迎你們
[00:00:23.500 --> 00:00:27.500]  更加感謝何潔牧師為漢語聖經協會
[00:00:27.500 --> 00:00:31.000]  主持今天的春季讀經講座
[00:00:31.000 --> 00:00:35.500]  主題是以色列聖者的救贖情懷
[00:00:35.500 --> 00:00:38.000]  看的書卷是以賽亞書
[00:00:38.000 --> 00:00:40.500]  大家都很了解何潔牧師
[00:00:40.500 --> 00:00:44.000]  他是一位非常資深的舊約學者
[00:00:44.000 --> 00:00:46.000]  也是一位很資深的牧者
[00:00:46.000 --> 00:00:49.000]  課程完結 講座完結
[00:00:49.000 --> 00:00:50.500]  我們大概都是這樣
[00:00:50.500 --> 00:00:52.500]  講者是不趕著走的
[00:00:52.500 --> 00:00:57.000]  何潔牧師也很期待和大家有個交流或者討論
[00:00:57.000 --> 00:01:00.000]  我們講完之後很自由的
[00:01:00.000 --> 00:01:01.000]  牧師不趕著走
[00:01:01.000 --> 00:01:04.000]  我們聽了訊息有提問
[00:01:04.000 --> 00:01:06.000]  或者很想和牧師討論
[00:01:06.000 --> 00:01:08.000]  非常歡迎你留步
[00:01:08.000 --> 00:01:12.000]  牧師會和大家一起有相聚的時間
[00:01:12.000 --> 00:01:15.000]  現在在讀經講座開始之先
[00:01:15.000 --> 00:01:20.000]  有請漢語聖經協會的總幹事李耀華先生
[00:01:20.000 --> 00:01:22.000]  為整個講座來唸祈禱
[00:01:22.000 --> 00:01:25.000]  之後就將時間交給何潔牧師
[00:01:25.000 --> 00:01:32.000]  好 各位弟兄姊妹和先上的弟兄姊妹
[00:01:32.000 --> 00:01:34.000]  我們一起祈禱
[00:01:34.000 --> 00:01:36.000]  上帝我們感謝你自己
[00:01:36.000 --> 00:01:39.000]  讓我們有機會一起去服侍你自己
[00:01:39.000 --> 00:01:42.000]  讓我們在這個地方聖賢中心重啟之後
