
[00:00:00.000 --> 00:00:02.520]  重寫啟示錄的時候
[00:00:02.520 --> 00:00:06.400]  不知道你會怎樣去重寫啟示錄
[00:00:06.400 --> 00:00:10.600]  啟示錄21字是將當天是說新天新地
[00:00:10.600 --> 00:00:15.040]  或者我們今天的用語天堂的景象
[00:00:15.040 --> 00:00:20.600]  那麼我們就說天堂究竟是怎樣一回事
[00:00:20.600 --> 00:00:24.520]  天堂究竟是怎樣
[00:00:24.520 --> 00:00:27.200]  我們用問題開始
[00:00:27.200 --> 00:00:31.040]  就說如果你有機會重寫啟示錄21頁
[00:00:31.040 --> 00:00:33.640]  不知道你怎樣去描述天堂
[00:00:33.640 --> 00:00:39.960]  對某些人來說天堂好像是一個很偉大的自助餐
[00:00:39.960 --> 00:00:45.920]  另外一些人可能覺得天堂是一間很漂亮的屋
[00:00:45.920 --> 00:00:50.880]  或者是覺得天堂好像是某些的遊樂場一樣
[00:00:50.880 --> 00:00:55.480]  對學生來說天堂就是不用做功課的地方
[00:00:55.480 --> 00:01:00.160]  在醫院的病人來說天堂是沒有病的地方
[00:01:00.160 --> 00:01:03.280]  但如果我們反過來想的時候
[00:01:03.280 --> 00:01:08.480]  會不會我們對天堂的期待
[00:01:08.480 --> 00:01:12.680]  就可以反映到我們心中的偶像
[00:01:12.680 --> 00:01:17.400]  因為我們越想越期待有的東西
[00:01:17.400 --> 00:01:22.920]  我們就覺得這個就是天堂應該給我們的一些事物
[00:01:22.920 --> 00:01:26.120]  為食的人來說天堂就是自助餐
[00:01:26.120 --> 00:01:30.320]  懶惰來說天堂就是一個很長的眼教
[00:01:30.320 --> 00:01:31.520]  而一路說下去
[00:01:31.520 --> 00:01:35.600]  我們想起究竟每一個人心中的天堂是什麼
[00:01:35.600 --> 00:01:37.280]  我們就變成問一個問題
[00:01:37.280 --> 00:01:43.640]  我們每一個人心中敬拜的對象是什麼
[00:01:43.640 --> 00:01:47.400]  在教會歷史裡面有學者研究
[00:01:47.400 --> 00:01:50.000]  就發覺在每個時期
[00:01:50.000 --> 00:01:55.600]  對天堂有不同的期待
[00:01:55.600 --> 00:01:58.600]  最早期聖經以後
[00:01:58.600 --> 00:02:01.320]  對天堂的期待
[00:02:01.320 --> 00:02:05.600]  可能就是說舊約和兩個中間歷史差不多的時候
[00:02:05.600 --> 00:02:08.840]  猶太人被擄大概有四百年
[00:02:08.840 --> 00:02:12.840]  在巴比倫波斯
[00:02:12.840 --> 00:02:15.000]  因為去到希臘羅馬的手中
[00:02:15.000 --> 00:02:19.000]  受著不同的災害
[00:02:19.000 --> 00:02:23.800]  在兩個中間的文帖可能見到天堂最普遍的描述
[00:02:23.800 --> 00:02:27.200]  就是外邦人受到神的懲罰
[00:02:27.200 --> 00:02:30.200]  神的子民得蒙救贖
[00:02:30.200 --> 00:02:34.000]  這個是兩個中間群體所期待
[00:02:34.000 --> 00:02:35.800]  在新約聖經之後
[00:02:35.800 --> 00:02:40.920]  可能最早期去描述到天堂景象的時候
[00:02:40.920 --> 00:02:42.320]  可能大家有些驚奇
[00:02:42.320 --> 00:02:44.160]  因為在第二世紀的時候
[00:02:44.160 --> 00:02:48.000]  特別是在修道主義盛行的時候
[00:02:48.000 --> 00:02:54.320]  基督徒幻想天堂是一個沒有雜念的地方
[00:02:54.320 --> 00:02:57.800]  沒有親戚朋友的地方
[00:02:57.800 --> 00:03:01.000]  廣東話說不用帶孩子的地方
[00:03:01.000 --> 00:03:03.200]  沒有人阻礙你去思考
[00:03:03.200 --> 00:03:06.800]  沒有人阻礙你自己去安靜
[00:03:06.800 --> 00:03:07.800]  對修道士
[00:03:07.800 --> 00:03:10.400]  這個就是天堂
[00:03:10.400 --> 00:03:12.400]  慢慢去到第四世紀的時候
[00:03:12.400 --> 00:03:15.600]  有一本文獻大概是388年
[00:03:15.600 --> 00:03:20.400]  文獻第一次正式介紹天堂的時候
