
[00:00:00.000 --> 00:00:08.400]  漢語聖經協會總幹事李懿華先生的就職禮現在開始
[00:00:08.400 --> 00:00:16.000]  首先歡迎各位嘉賓抽空出席今天的就職禮
[00:00:16.000 --> 00:00:23.600]  和接下來的講座和2024年讀經的起步禮
[00:00:23.600 --> 00:00:30.600]  今天的嘉賓包括機構的代表
[00:00:30.600 --> 00:00:35.600]  來自不同的神學院、教會
[00:00:35.600 --> 00:00:42.200]  和一向支持漢語聖經協會的頂展會
[00:00:42.200 --> 00:00:47.600]  很感謝你們今天出席這個典禮
[00:00:47.600 --> 00:00:52.600]  見證漢語聖經協會這個重要的時刻
[00:00:52.600 --> 00:00:59.600]  李懿華先生是漢語聖經協會資深的同工
[00:00:59.600 --> 00:01:04.600]  他曾經多年參與協會的工作
[00:01:04.600 --> 00:01:07.600]  特別是在譯經方面
[00:01:07.600 --> 00:01:12.600]  2010年出版的新漢語譯本《新約》
[00:01:12.600 --> 00:01:15.600]  他很積極地參與
[00:01:15.600 --> 00:01:18.600]  他及後去美國進修
[00:01:18.600 --> 00:01:22.600]  回來香港後就全職在博路神學院任教
[00:01:22.600 --> 00:01:25.600]  直至今年的7月底
[00:01:25.600 --> 00:01:31.600]  我們很感恩李懿華先生接受漢語聖經協會的邀請
[00:01:31.600 --> 00:01:34.600]  擔任總幹事這個職位
[00:01:34.600 --> 00:01:37.600]  我們心慶得人
[00:01:37.600 --> 00:01:41.600]  願上主大力使用他領導協會的事工
[00:01:41.600 --> 00:01:47.600]  現在恭請董事歐伯平牧師做個簡短的經分
[00:01:47.600 --> 00:02:00.600]  自高榮耀三一上主厚愛世人
[00:02:00.600 --> 00:02:02.600]  樂於啟示自己
[00:02:02.600 --> 00:02:04.600]  賜下恩賢
[00:02:04.600 --> 00:02:09.600]  但人性的限制和離開上主
[00:02:09.600 --> 00:02:17.600]  以至聖經的流傳
[00:02:17.600 --> 00:02:22.600]  一直都是一件相當嚴重導遠
[00:02:22.600 --> 00:02:24.600]  不容易的事
[00:02:24.600 --> 00:02:26.600]  我們感謝主
[00:02:26.600 --> 00:02:29.600]  他興起了漢語聖經協會
[00:02:29.600 --> 00:02:33.600]  在這個歷史時段有份參與
[00:02:33.600 --> 00:02:36.600]  我們又感謝主在這個時刻
[00:02:36.600 --> 00:02:41.600]  帶領李懿華先生擔任我們的總幹事
[00:02:41.600 --> 00:02:47.600]  領導整個協會有關上主話語的流傳
[00:02:47.600 --> 00:02:52.600]  與流傳這個這麼嚴重導遠的工作
[00:02:52.600 --> 00:02:57.600]  我們儘管看看聖經中的先例
[00:02:57.600 --> 00:03:05.600]  首先第一段耶利米書第36章第4節
[00:03:05.600 --> 00:03:11.600]  於是耶利米叫來尼利亞的兒子巴祿
[00:03:11.600 --> 00:03:16.600]  由耶利米口述上主給他的全部預言
[00:03:16.600 --> 00:03:21.600]  巴祿則把他們記錄在卷軸上
[00:03:21.600 --> 00:03:24.600]  耶利米書記載過很多次
[00:03:24.600 --> 00:03:28.600]  當先知得到上帝的曉喻之後
[00:03:28.600 --> 00:03:32.600]  他的書記巴祿將它寫下來
[00:03:32.600 --> 00:03:36.600]  並且向皇室向百姓宣告
[00:03:36.600 --> 00:03:40.600]  當中很多艱難被割了書卷
[00:03:40.600 --> 00:03:42.600]  燒了它
[00:03:42.600 --> 00:03:47.600]  但耶利米一路得到上帝的啟示
[00:03:47.600 --> 00:03:51.600]  巴祿一路寫下來
[00:03:51.600 --> 00:03:55.600]  原來聖經文本的流傳下來
[00:03:55.600 --> 00:03:59.600]  不是一件僥倖的事
[00:03:59.600 --> 00:04:02.600]  是有上帝的看顧、保守
[00:04:02.600 --> 00:04:04.600]  我們再看第二段
[00:04:04.600 --> 00:04:07.600]  但耶利書第9章第2節
[00:04:07.600 --> 00:04:10.600]  當耶利米將信息寫下
[00:04:10.600 --> 00:04:13.600]  幾十年之後
[00:04:13.600 --> 00:04:16.600]  但耶利書有句這樣的說話
[00:04:16.600 --> 00:04:19.600]  他執政第一年期間
[00:04:19.600 --> 00:04:25.600]  我但耶利讀到上主啟示給先知耶利米的話
[00:04:25.600 --> 00:04:30.600]  得知耶路撒冷必要荒廢七十年
[00:04:30.600 --> 00:04:33.600]  耶利米寫下的信息
[00:04:33.600 --> 00:04:36.600]  又某幾十年之後
[00:04:36.600 --> 00:04:40.600]  被俘虜了幾十年的但耶利
[00:04:40.600 --> 00:04:42.600]  有機會讀到
[00:04:42.600 --> 00:04:45.600]  他的書中兩次提到
[00:04:45.600 --> 00:04:49.600]  這隻經文所說的事
[00:04:49.600 --> 00:04:51.600]  這些經文
[00:04:51.600 --> 00:04:53.600]  耶利米所說的話
[00:04:53.600 --> 00:04:55.600]  巴祿所寫下的
[00:04:55.600 --> 00:04:59.600]  如何可以得到但耶利的手上呢?
[00:04:59.600 --> 00:05:03.600]  我相信是一個不容易的抄寫
[00:05:03.600 --> 00:05:06.600]  傳遞的過程
[00:05:06.600 --> 00:05:10.600]  特別是在兵荒馬亂的時候
[00:05:10.600 --> 00:05:13.600]  好比我們今天這個工作
[00:05:13.600 --> 00:05:18.600]  就是聖經的編制、推廣
[00:05:18.600 --> 00:05:22.600]  以致人得到機會去閱讀
[00:05:22.600 --> 00:05:25.600]  我們再看第三段經文
[00:05:25.600 --> 00:05:29.600]  尼西米記第八章第八節
[00:05:29.600 --> 00:05:32.600]  又過了幾十年
[00:05:32.600 --> 00:05:37.600]  猶大人有機會一次兩次
[00:05:37.600 --> 00:05:40.600]  這裡記載的是第三次回歸
[00:05:40.600 --> 00:05:44.600]  尼西米安排民事以斯拉
