
[00:00:00.000 --> 00:00:05.480]  去年我記得在同樣的聚會
[00:00:05.480 --> 00:00:09.120]  我講了大衛和烏尼亞的故事
[00:00:09.120 --> 00:00:11.600]  那個真是驚心動魄
[00:00:11.600 --> 00:00:14.680]  很可怕的一個故事
[00:00:14.680 --> 00:00:19.520]  今天就看十三章和第十四章
[00:00:19.520 --> 00:00:20.960]  有沒有時間看完
[00:00:20.960 --> 00:00:26.360]  在延續去年的故事
[00:00:26.360 --> 00:00:32.640]  十三章分開上半章和下半章
[00:00:32.640 --> 00:00:41.440]  上半章是由第一節一直到第二節
[00:00:41.440 --> 00:00:43.440]  這個就是上半章
[00:00:43.440 --> 00:00:47.640]  下半章是由第二十三節開始
[00:00:47.640 --> 00:00:49.640]  其實很多聖經
[00:00:49.640 --> 00:00:52.640]  我知道很多弟兄姊妹習慣讀聖經
[00:00:52.640 --> 00:00:55.640]  一開始是由第一節開始讀
[00:00:55.640 --> 00:00:59.640]  很少人會讀標題
[00:00:59.640 --> 00:01:03.640]  其實讀聖經都要留心標題
[00:01:03.640 --> 00:01:08.640]  因為它有時候對我們了解經文有幫助
[00:01:08.640 --> 00:01:12.640]  所以一開始見到是「暗亂和他馬」
[00:01:12.640 --> 00:01:15.640]  去到幾時完結這個部分呢?
[00:01:15.640 --> 00:01:17.640]  就去到二十二節
[00:01:17.640 --> 00:01:21.640]  二十三節開始就「壓沙龍為美報仇」
[00:01:21.640 --> 00:01:25.640]  所以整章經文就是第一和第二部分
[00:01:25.640 --> 00:01:29.640]  編輯已經幫你做了
[00:01:29.640 --> 00:01:33.640]  雖然我都說有時候這些標記
[00:01:33.640 --> 00:01:35.640]  未必一定是完全正確
[00:01:35.640 --> 00:01:38.640]  不過可以作為一個參考
[00:01:38.640 --> 00:01:43.640]  我們先看第一節到第二節
[00:01:43.640 --> 00:01:45.640]  第一節開始
[00:01:45.640 --> 00:01:49.640]  上半節講述大衛的遺旨
[00:01:49.640 --> 00:01:54.640]  下半節他也是講述大衛的遺旨
[00:01:54.640 --> 00:01:58.640]  上半節講述大衛的遺旨是壓沙龍
[00:01:58.640 --> 00:02:03.640]  下半節大衛的遺旨就是暗亂
[00:02:03.640 --> 00:02:06.640]  由於這兩個人都是大衛的遺旨
[00:02:06.640 --> 00:02:09.640]  所以他們是兄弟
[00:02:09.640 --> 00:02:12.640]  由於他們都是大衛的遺旨
[00:02:12.640 --> 00:02:16.640]  所以都是王的遺旨
[00:02:16.640 --> 00:02:19.640]  壓沙龍和暗亂
[00:02:19.640 --> 00:02:22.640]  其實是兩個人的名字
[00:02:22.640 --> 00:02:24.640]  在撒姆爾記下
[00:02:24.640 --> 00:02:27.640]  他們是第二次出現
[00:02:27.640 --> 00:02:31.640]  也是第二次他們一起出現
[00:02:31.640 --> 00:02:33.640]  第一次在哪裏呢?
[00:02:33.640 --> 00:02:38.640]  第一次在撒姆爾記下的第三章
[00:02:38.640 --> 00:02:42.640]  那裏就是他們兩個人的名字出現
[00:02:42.640 --> 00:02:45.640]  也是一起出現
[00:02:45.640 --> 00:02:47.640]  在第十三章
[00:02:47.640 --> 00:02:49.640]  誰的名字先出現呢?
[00:02:49.640 --> 00:02:51.640]  是壓沙龍先出現
[00:02:51.640 --> 00:02:55.640]  然後暗亂就在後面
[00:02:55.640 --> 00:02:58.640]  但如果我們看第三章
[00:02:58.640 --> 00:03:00.640]  暗亂的名字先出現
[00:03:00.640 --> 00:03:03.640]  壓沙龍的名字就在後面
[00:03:03.640 --> 00:03:07.640]  為何在第三章暗亂的名字先出現呢?
[00:03:07.640 --> 00:03:09.640]  大家看經文就知道
[00:03:09.640 --> 00:03:13.640]  因為他是記錄大衛在希伯倫的時候
[00:03:13.640 --> 00:03:16.640]  他已經有的那些遺旨
[00:03:16.640 --> 00:03:20.640]  他是按照著長幼次序去排列
[00:03:20.640 --> 00:03:22.640]  由於暗亂是大兒子
[00:03:22.640 --> 00:03:24.640]  所以他先出現
[00:03:24.640 --> 00:03:27.640]  壓沙龍是大衛的第三個兒子
[00:03:27.640 --> 00:03:30.640]  所以排在後面
[00:03:30.640 --> 00:03:33.640]  當你留心看這段經文
[00:03:33.640 --> 00:03:36.640]  就是第二節到第五節
[00:03:36.640 --> 00:03:38.640]  說了大衛在希伯倫的時候
[00:03:38.640 --> 00:03:40.640]  他有六個兒子
[00:03:40.640 --> 00:03:45.640]  但六個兒子是由六個女人幫大衛生的
[00:03:45.640 --> 00:03:48.640]  所以大家知道大衛有多風流
[00:03:48.640 --> 00:03:50.640]  有很多女人
[00:03:50.640 --> 00:03:55.640]  六個兒子是由六個女子幫他生的
[00:03:55.640 --> 00:03:59.640]  回到第十三章這段經文
