
[00:00:00.000 --> 00:00:02.000]  在我們看聖經之前
[00:00:02.000 --> 00:00:04.000]  我們先有一個禱告
[00:00:04.000 --> 00:00:07.000]  天父上帝多謝祢的慈愛
[00:00:07.000 --> 00:00:10.000]  因待祢的女兒女
[00:00:10.000 --> 00:00:14.000]  給我們不單止是個人的救恩
[00:00:14.000 --> 00:00:17.000]  而且是和眾多的弟兄姊妹
[00:00:17.000 --> 00:00:19.000]  一同奔走天路
[00:00:19.000 --> 00:00:21.000]  可以彼此陪同
[00:00:21.000 --> 00:00:23.000]  彼此去扶持
[00:00:23.000 --> 00:00:24.000]  遇到困難的時候
[00:00:24.000 --> 00:00:27.000]  肢體之間互相幫助是很重要
[00:00:27.000 --> 00:00:30.000]  這也是天父你建立教會的
[00:00:30.000 --> 00:00:34.000]  群體的心意和目的
[00:00:34.000 --> 00:00:35.000]  我們信徒之間
[00:00:35.000 --> 00:00:39.000]  有時候也會有關係出現問題的時候
[00:00:39.000 --> 00:00:40.000]  求聖靈幫助我們
[00:00:40.000 --> 00:00:43.000]  能夠用真的愛心去處理問題
[00:00:43.000 --> 00:00:45.000]  願意去學習
[00:00:45.000 --> 00:00:48.000]  饒恕、包容、體諒的功課
[00:00:48.000 --> 00:00:50.000]  天父我們今天分享的
[00:00:50.000 --> 00:00:54.000]  聖經內容都是關於人際關係
[00:00:54.000 --> 00:00:57.000]  希望藉著聖經的教導
[00:00:57.000 --> 00:00:59.000]  我們可以得到幫助
[00:00:59.000 --> 00:01:02.000]  願祢賜給我們有智慧去好好掌握
[00:01:02.000 --> 00:01:04.000]  願祢與我們同在
[00:01:04.000 --> 00:01:06.000]  感謝祢聽我們禱告
[00:01:06.000 --> 00:01:09.000]  祈禱奉靠主耶穌的聖名祈求
[00:01:09.000 --> 00:01:10.000]  阿門
[00:01:10.000 --> 00:01:15.000]  今天我揀選的經文
[00:01:15.000 --> 00:01:18.000]  是來自《新約肥納比書》
[00:01:18.000 --> 00:01:20.000]  二章一至四節
[00:01:20.000 --> 00:01:21.000]  經文不是很多
[00:01:21.000 --> 00:01:25.000]  但是很貼切地講述
[00:01:25.000 --> 00:01:30.000]  我們很貼切地信徒的現實生活
[00:01:30.000 --> 00:01:32.000]  我先讀出
[00:01:32.000 --> 00:01:35.000]  我是用新譜及譯本
[00:01:35.000 --> 00:01:42.000]  你們因為屬於基督而感到鼓舞嗎?
[00:01:42.000 --> 00:01:46.000]  因為祂的愛而感到安慰嗎?
[00:01:46.000 --> 00:01:50.000]  在聖靈裡能契合相交嗎?
[00:01:50.000 --> 00:01:53.000]  懷有慈悲憐憫之心嗎?
[00:01:53.000 --> 00:01:58.000]  那麼你們就要全心全意地達成共識
[00:01:58.000 --> 00:02:00.000]  彼此相愛
[00:02:00.000 --> 00:02:04.000]  抱著共同的想法和目標一起合作
[00:02:04.000 --> 00:02:07.000]  好讓我歡喜快樂
[00:02:07.000 --> 00:02:08.000]  不要自私自利
[00:02:08.000 --> 00:02:11.000]  也不要譁眾取寵
[00:02:11.000 --> 00:02:15.000]  都要謙卑看別人比自己強
[00:02:15.000 --> 00:02:17.000]  不要只顧自己的利益
[00:02:17.000 --> 00:02:20.000]  也要考慮別人的利益
[00:02:20.000 --> 00:02:22.000]  這次有另外一個主題
[00:02:22.000 --> 00:02:27.000]  是關於人如何看待其他人
[00:02:27.000 --> 00:02:31.000]  即是我們用什麼標準去對待其他人
[00:02:31.000 --> 00:02:38.000]  很感恩新譜及譯本用了很直接和淺白的言語
[00:02:38.000 --> 00:02:40.000]  去翻譯菲勒比書的經文
[00:02:40.000 --> 00:02:45.000]  讀的時候可以產生很好的、很強烈的感受
[00:02:45.000 --> 00:02:48.000]  如果讀過菲勒比書的人都知道
[00:02:48.000 --> 00:02:53.000]  保羅在這封信裏面很強調信徒要有喜樂
[00:02:53.000 --> 00:02:56.000]  要在主類上享喜樂
[00:02:56.000 --> 00:02:59.000]  但是在寫這封信的時候
[00:02:59.000 --> 00:03:03.000]  保羅的處境其實是不容易有喜樂的
[00:03:03.000 --> 00:03:06.000]  一方面保羅實際上是在監獄裏面
[00:03:06.000 --> 00:03:09.000]  很可能是在羅馬一個監獄
[00:03:09.000 --> 00:03:12.000]  他失去了人生的自由
[00:03:12.000 --> 00:03:18.000]  而且面臨之後的審訊都不知道結果會是怎樣
[00:03:18.000 --> 00:03:26.000]  保羅其實已經抱著自生死於道外的態度去面對
[00:03:26.000 --> 00:03:30.000]  另外一方面其實保羅在這封信裏面
[00:03:30.000 --> 00:03:35.000]  顯示了他心裏寄掛不安的事情
[00:03:35.000 --> 00:03:40.000]  就是教會裏面的領導有糾紛
[00:03:40.000 --> 00:03:43.000]  影響了教會的合一
[00:03:43.000 --> 00:03:48.000]  在四章二節保羅勸兩位姐妹
[00:03:48.000 --> 00:03:52.000]  友亞蝶和秦都基要和解
