
[00:00:00.000 --> 00:00:01.520]  在讀經文之前
[00:00:01.520 --> 00:00:04.440]  我想帶領大家一起做一個禱告
[00:00:04.440 --> 00:00:07.000]  我們低頭同心禱告
[00:00:07.000 --> 00:00:08.560]  正如詩歌的內容
[00:00:08.560 --> 00:00:12.080]  讓我們從今以後一生以榮耀真神為目的
[00:00:12.080 --> 00:00:13.800]  想到我們都是不配
[00:00:13.800 --> 00:00:15.320]  都是沒有罪魁的人
[00:00:15.320 --> 00:00:17.160]  但因著基督的降生
[00:00:17.160 --> 00:00:18.440]  為人的罪而死
[00:00:18.440 --> 00:00:19.880]  成就神救恩的計劃
[00:00:19.880 --> 00:00:21.400]  我們成為神的兒女
[00:00:21.400 --> 00:00:22.400]  蒙恩德求
[00:00:22.400 --> 00:00:25.600]  求主讓我們在生活裡見證祢
[00:00:25.600 --> 00:00:26.640]  為主而活
[00:00:26.640 --> 00:00:29.520]  求主更新我們的心思和意念
[00:00:29.520 --> 00:00:32.480]  去除一些舊有不恰當的價值觀
[00:00:32.480 --> 00:00:34.160]  塗造改變我們
[00:00:34.160 --> 00:00:35.520]  讓我們成為聖潔
[00:00:35.520 --> 00:00:36.520]  合乎主容
[00:00:36.520 --> 00:00:39.000]  也更求主讓我們愛惜光陰
[00:00:39.000 --> 00:00:40.080]  把握時機
[00:00:40.080 --> 00:00:41.400]  信服祢的指引
[00:00:41.400 --> 00:00:42.640]  榮耀主名
[00:00:42.640 --> 00:00:45.800]  我們禱告是奉我主耶穌基督名字
[00:00:45.800 --> 00:00:46.560]  阿門
[00:00:46.560 --> 00:00:49.320]  我今天和大家簡選一次經文
[00:00:49.320 --> 00:00:55.720]  就是來自《馬太福音》的19章30至20章的16節
[00:00:55.720 --> 00:00:56.960]  請聽我讀經文
[00:00:56.960 --> 00:00:58.360]  19章30節
[00:00:58.360 --> 00:01:01.360]  但是在許多在前的將要在後
[00:01:01.360 --> 00:01:03.760]  在後的將要在前
[00:01:03.760 --> 00:01:05.240]  20章1節
[00:01:05.240 --> 00:01:08.000]  因為天國就像一個園主
[00:01:08.000 --> 00:01:09.320]  清晨出去
[00:01:09.320 --> 00:01:12.480]  僱人到他的葡萄園工作
[00:01:12.480 --> 00:01:16.160]  他和工人協定一天一個特拿利
[00:01:16.160 --> 00:01:19.080]  然後差遣他們到葡萄園去
[00:01:19.080 --> 00:01:21.360]  第三時左右他出去
[00:01:21.360 --> 00:01:26.040]  看見還有些人站在雜事中無所事事
[00:01:26.040 --> 00:01:27.520]  就對他們說
[00:01:27.520 --> 00:01:29.720]  你們也進葡萄園去吧
[00:01:29.720 --> 00:01:32.160]  我會給你們合理的工資
[00:01:32.160 --> 00:01:34.160]  他們就去了
[00:01:34.160 --> 00:01:36.920]  第六時和第九時左右
[00:01:36.920 --> 00:01:40.040]  他又出去也是這樣做
[00:01:40.040 --> 00:01:42.720]  第十一時左右他出去
[00:01:42.720 --> 00:01:45.160]  發現還有人站在那裡
[00:01:45.160 --> 00:01:46.280]  就問他們
[00:01:46.280 --> 00:01:50.840]  你們為什麼整天站在這裡無所事事呢
[00:01:50.840 --> 00:01:51.880]  他們說
[00:01:51.880 --> 00:01:53.960]  因為沒有人僱我們
[00:01:53.960 --> 00:01:55.440]  他對他們說
[00:01:55.440 --> 00:01:57.840]  你們也進葡萄園去吧
[00:01:57.840 --> 00:01:58.760]  傍晚
[00:01:58.760 --> 00:02:01.520]  葡萄園的主人對公頭說
[00:02:01.520 --> 00:02:04.640]  把工人叫來給他們工錢
[00:02:04.640 --> 00:02:06.640]  從最後來的人開始
[00:02:06.640 --> 00:02:08.360]  直到最先來的人
[00:02:08.360 --> 00:02:12.640]  那些在第十一時左右才僱用的人來了
[00:02:12.640 --> 00:02:15.520]  每個人都領取了一個特拿利
[00:02:15.520 --> 00:02:17.840]  最先僱用的人也來了
[00:02:17.840 --> 00:02:21.120]  他們以為自己會多領一些
[00:02:21.120 --> 00:02:25.040]  但他們每個人都是領到一個特拿利
[00:02:25.040 --> 00:02:26.320]  他們領取後
[00:02:26.320 --> 00:02:29.920]  對園主咕咕隆隆發怨言
[00:02:29.920 --> 00:02:30.680]  說
[00:02:30.680 --> 00:02:32.480]  那些最後來的人
[00:02:32.480 --> 00:02:34.400]  只做了一個小時
[00:02:34.400 --> 00:02:37.120]  而我們整天勞苦受熱
[00:02:37.120 --> 00:02:40.640]  你卻使他們跟我們有同等待遇
[00:02:40.640 --> 00:02:41.800]  園主回答
[00:02:41.800 --> 00:02:43.640]  他們其中一個人說
[00:02:43.640 --> 00:02:44.400]  朋友
[00:02:44.400 --> 00:02:45.840]  我沒有虧待你
[00:02:45.840 --> 00:02:48.760]  你不是跟我協定好一個特拿利嗎
[00:02:48.760 --> 00:02:50.640]  那屬於你的那份酒吧
[00:02:50.640 --> 00:02:53.000]  我願意給那最後來的人
[00:02:53.000 --> 00:02:54.280]  跟給你的一樣
[00:02:54.280 --> 00:02:56.640]  難道我按自己的意思
[00:02:56.640 --> 00:02:58.200]  用自己的東西
[00:02:58.200 --> 00:02:59.600]  也是不合意嗎
[00:02:59.600 --> 00:03:01.680]  還是因為我有善心
[00:03:01.680 --> 00:03:03.040]  你就眼紅了嗎
[00:03:03.040 --> 00:03:05.440]  這樣在後的將要在前
[00:03:05.440 --> 00:03:07.520]  在前的反要在後
[00:03:07.520 --> 00:03:08.680]  在經文裏面
[00:03:08.680 --> 00:03:10.360]  很清楚帶出一個
[00:03:10.360 --> 00:03:11.600]  跟隨主的人
[00:03:11.600 --> 00:03:13.560]  是需要有心意的更新
[00:03:13.560 --> 00:03:16.920]  按著天國的觀念去處理
[00:03:16.920 --> 00:03:18.720]  行事為人去跟從
[00:03:18.720 --> 00:03:20.320]  在十九章的三十節
[00:03:20.320 --> 00:03:22.960]  但是許多在前的將要在後
[00:03:22.960 --> 00:03:25.120]  在後的將要在前
[00:03:25.120 --> 00:03:28.440]  要據經文在二十章十六節這樣說
[00:03:28.440 --> 00:03:31.040]  這樣在後的將要在前
[00:03:31.040 --> 00:03:33.280]  在前的反要在後
[00:03:33.280 --> 00:03:35.960]  兩字的經文是十分類似
[00:03:35.960 --> 00:03:36.920]  都是說
[00:03:36.920 --> 00:03:38.520]  在前的將要在後
[00:03:38.520 --> 00:03:40.320]  在後的將要在前
[00:03:40.320 --> 00:03:42.480]  或者在後的將要在前
[00:03:42.480 --> 00:03:44.440]  在前的將要在後
[00:03:44.440 --> 00:03:46.360]  兩個經文彼此呼應
[00:03:46.360 --> 00:03:47.920]  一個天國的觀念
[00:03:47.920 --> 00:03:49.720]  就是說對於跟隨主的人
[00:03:49.720 --> 00:03:52.080]  多年的可能是反而落在
[00:03:52.080 --> 00:03:54.080]  年日短小的肢體的後面
[00:03:54.080 --> 00:03:56.040]  耶穌更用一個比喻來
[00:03:56.040 --> 00:03:57.800]  展示了這個觀念
