
[00:00:00.000 --> 00:00:04.000]  春季聖經課程即將開始
[00:00:04.000 --> 00:00:08.000]  勞煩大英姐妹將手機調校靜音
[00:00:08.000 --> 00:00:10.000]  讓整個流程不被打擾
[00:00:10.000 --> 00:00:14.000]  勞煩大家將手機調校靜音
[00:00:14.000 --> 00:00:16.000]  讓整個流程不被打擾
[00:00:16.000 --> 00:00:24.000]  大英姐妹平安
[00:00:24.000 --> 00:00:26.000]  新年蒙福
[00:00:26.000 --> 00:00:28.000]  代表漢語聖經協會
[00:00:28.000 --> 00:00:32.000]  歡迎現場及線上的大英姐妹
[00:00:32.000 --> 00:00:33.000]  我們給予掌聲
[00:00:33.000 --> 00:00:34.000]  歡迎我們身邊的大英姐妹
[00:00:34.000 --> 00:00:36.000]  也歡迎我們的講員
[00:00:36.000 --> 00:00:38.000]  知道線上的大英姐妹
[00:00:38.000 --> 00:00:39.000]  有些在海外
[00:00:39.000 --> 00:00:40.000]  可能現在在睡覺
[00:00:40.000 --> 00:00:42.000]  但仍然堅持出席
[00:00:42.000 --> 00:00:44.000]  非常感謝你們的支持
[00:00:44.000 --> 00:00:47.000]  亦很感謝陳偉家牧師
[00:00:47.000 --> 00:00:49.000]  為我們漢語聖經協會
[00:00:49.000 --> 00:00:54.000]  主持今天的2024春季聖經課程
[00:00:54.000 --> 00:00:58.000]  主題是「撥開紛亂世代中的迷霧」
[00:00:58.000 --> 00:01:00.000]  要看的經卷是路加福音
[00:01:00.000 --> 00:01:02.000]  陳偉家牧師是
[00:01:02.000 --> 00:01:05.000]  播道神學院的聖經科副教授
[00:01:05.000 --> 00:01:07.000]  課程完結後
[00:01:07.000 --> 00:01:08.000]  由於是課程
[00:01:08.000 --> 00:01:10.000]  不是只講了
[00:01:10.000 --> 00:01:12.000]  希望有些交流的時間
[00:01:12.000 --> 00:01:14.000]  陳牧師是不趕著走
[00:01:14.000 --> 00:01:16.000]  他們有預留時間
[00:01:16.000 --> 00:01:18.000]  聽完我們熟悉的路加福音
[00:01:18.000 --> 00:01:19.000]  今天整個訊息中
[00:01:19.000 --> 00:01:20.000]  有些靈感給你
[00:01:20.000 --> 00:01:22.000]  或許也有些疑問
[00:01:22.000 --> 00:01:25.000]  陳牧師很願意跟你交流討論
[00:01:25.000 --> 00:01:27.000]  所以不用客氣
[00:01:27.000 --> 00:01:28.000]  我們完結後
[00:01:28.000 --> 00:01:30.000]  陳牧師會跟你一起
[00:01:30.000 --> 00:01:32.000]  有一個短短的相聚
[00:01:32.000 --> 00:01:37.000]  現在有請漢語聖經協會的總幹事
[00:01:37.000 --> 00:01:39.000]  李耀華先生為課程祈禱
[00:01:39.000 --> 00:01:43.000]  之後將時間交給陳偉家牧師
[00:01:43.000 --> 00:01:49.000]  在座的弟兄姊妹
[00:01:49.000 --> 00:01:50.000]  及先上的弟兄姊妹
[00:01:50.000 --> 00:01:52.000]  我們一起低頭祈禱
[00:01:52.000 --> 00:01:54.000]  真是希望感謝你
[00:01:54.000 --> 00:01:56.000]  讓我們有機會在這裡
[00:01:56.000 --> 00:01:58.000]  服侍弟兄姊妹
[00:01:58.000 --> 00:02:02.000]  亦有講員、學者、牧師
[00:02:02.000 --> 00:02:04.000]  有傳道者來到我們當中
[00:02:04.000 --> 00:02:06.000]  宣講你的訊息
[00:02:06.000 --> 00:02:08.000]  這是你給我們的恩典
