主耶穌,多謝祢賜效華語。。
是呀,祢是我們的主,。
祢是我們生命裏面最重要的,。
所以求祢此刻打開我們的心,。
引導我們進入祢真理,。
讓我們願意聽從,。
而且在生活裏面行出祢的道理去回應祢,。
帶領以下的時間,。
祈禱加託仰望,。
是奉靠主耶穌基督得性命自祈求。。
阿們。。
請姐妹早晨,。
很想介紹一下我自己,。
我中文名叫鍾曼瑩,。
英文名叫Fiona,。
我是今年一月的時候入職恩福,。
來做傳道同工的,。
我現在在果園團契和差全部服侍中,。
我想和你們分享一個我小時候的愚蠢事情,。
我小時候一家住在沙田的屋邨裏面,。
我父母是做運輸工作的,。
他們每天都要開著大貨車早出晚歸工作,。
我家裏的客廳和睡房的窗口,。
是可以看到樓下發生什麼事的,。
有什麼車出入,。
我們是一目了然的,。
就是這樣,。
我父母幾點回來,。
我和我哥哥是很清楚的,。
有什麼車出入,。
我們都看到的,。
所以每一次我和我哥哥在家的時候,。
我們都會玩,。
看電視,。
因為父母不在家,。
等到車一回到大門口,。
我們就知道要收拾東西,。
要收拾房子,。
等到他們回來的時候,。
看到我們很乖的在做功課,。
所以我們逛市集,。
就會叫鄰居的同學過來,。
一起來看電視,。
一起來玩,。
當我們以為這一招很聰明之際,。
有一次我又叫我鄰居的姐姐,。
過來我家試試媽媽買的新化妝品,。
誰知道那一次,。
媽媽很聰明,。
在我爸爸的車還沒有進入村口之前,。
就下車回樓上,。
當我和我姐姐裝扮得很漂亮之際,。
開鐵閘的聲音傳到我耳邊的時候,。
我就知道糟糕了,。
媽媽就站在我們門口,。
我姐姐就落荒而逃,。
說一聲「阿姨你好」,。
回到隔壁,。
可憐的我就在等媽媽發落,。
當我還以為自己很聰明的時候,。
經常可以敲準時間,。
等他們剛剛回到門口的時候才收拾房子,。
但是原來,。
對比我們小朋友,。
怎樣比他大人聰明呢?。
原來我們的行動才比他療癒指掌,。
就是這樣,。
我們以為將家可以玩到翻天覆地,。
都沒有人知道的時候,。
他突然回來,。
就殺我一個措手不及,。
今天我想和大家分享,。
《馬可福音》十一章,。
十一至十四節,。
和十九至二十一節,。
當中馬可都描述到主耶穌回到自己的地方,。
去巡視的一個小片段,。
不如我們一起讀出以下的經文,。
準備了,。
一二三,。
耶穌到了耶路撒冷,進了聖殿,。
看了周圍的一切,天色已晚,。
他就和十二使徒出城,往伯大利去,。
第二天,他們從伯大利出來,。
耶穌餓了,。
他遠遠地看見一棵無花果樹,。
樹上有葉,。
就過去看是不是在樹上可以找到什麼,。
他到了樹下竟找不到什麼,。
只有葉子,。
因為不是無花果的季節,。
耶穌就對樹說,。
從今以後永沒有人吃你的果子,。
他的門徒都聽到了,。
每天晚上他們都到城外去,。
早晨他們從那裡經過,。
看見無花果樹連根都枯乾了,。
彼得想起耶穌的話來,。
就對他說,。
拉比,你看,。
你所就坐的無花果樹已經枯乾了。。
謝謝,。
最近我經常聽到弟兄姊妹跟我分享,。
因為疫情太久了,。
現在的靈命大不如前,。
以前對神或是對侍奉都很火熱,。
但現在不知為什麼,。
靈性開始走下坡,。
回團契崇拜的心都減弱了,。
甚至連讀經祈禱都沒力,。
所以今天我想和大家分享,。
我今天在這段經文裡領受到的三個學習,。
第一個就是主期望我們有果,。
可以得到滿足,。
馬福音由第十一章開始,。
記錄著主耶穌在地上最後一個禮拜所發生的事情,。
快到如月節,。
各地的猶太人都會從各地聚集,。
回耶路撒冷去守節,。
熱鬧之餘也有些緊張,。
作者馬可將主耶穌和門徒的行蹤,。
很清楚地記錄出來,。
他們早上就入城,。
晚上就會出城,。
他們不會在城裡停留,。
因為主耶穌知道有人一直很想去除掉他,。
所以在熱鬧之下暗藏殺機,。
主耶穌回到耶路撒冷的第一件事,。
就是馬上進去聖殿,。
四處看各樣的物件,。
馬可稍為將主耶穌進入聖殿的焦點放大了一點給我們看,。
主耶穌進入聖殿,。
看了周圍,。
這個動作會不會好像作為父母的你們,。
很想不時走進子女的房間,。
看一看他們的房間整不整齊呢?。
耶穌這次來一個突擊檢查,。
看完之後他就出城了,。
第二天他又再進入耶路撒冷,。
進去之後說了一大堆只有他自己才明白的話,。
馬可形容主耶穌在路上,。
耶穌餓了,。
這個說話可能令我們回想尼加書七章一節所說,。
就好像一個飢餓的人,。
在無花果樹上找不到剩下的果子,。
先知尼加這一番說話是宣判百姓沒有果子的開場白,。
而這裡主耶穌離遠就看到一棵無花果樹,。
看到樹上有葉,。
就以為有果實可以吃,。
誰知走到近處只有葉,。
連小小的果實都沒有,。
原來主耶穌是想在無花果樹上找果子,。
另外在耶利米書二十四章裡說道,。
神曾經指示過耶利米,。
他說被擄去異地的猶太人就是極好的無花果,。
但是沒有被擄的就是壞透的無花果,。
原來在今天的經文裡,。
耶穌再次利用無花果樹來比喻以色列,。
耶穌期望在以色列這棵無花果樹上可以尋得果子,。
第二天他們從伯大利出來,。
耶穌餓了,。
他遠遠地看見一棵無花果樹,。
樹上有葉子就過去,。
看是不是在樹上可以找到什麼,。
神揀選以色列民族在地上成為他的代表,。
讓不認識神的外邦人都可以透過這群看得見的屬靈群體,。
被祝福的生命和屬靈的氣質吸引人一齊敬拜神,。
而且在約翰福音十五章八節裡說道,。
你們多結果子,我父就因此得榮耀,。
你們也就是我的門徒了,。
原來當神的人生命結出屬靈果子的時候,。
就可以令神得榮耀,。
今天我們同樣是神的代表,。
在代表神,。
邀請別人認識主耶穌,。
神期望在我們的生命裡都找到屬靈果子,。
弟妹們,你們有沒有在做令神滿足和得榮耀的事?。
疫情確實是成為了我們返聚會的障礙,。
但是障礙正好就好像一顆小石一樣,。
其實讓我們思考一下我們和神的關係,。
障礙越多才能夠測試到我們的果子有多少,。
我很想和大家分享一下我初信的時候的我是怎樣的,。
那時候我性格雖然信了主,。
但是仍然性格很固執,。
個人又很自我中心,。
又很喜歡將別人的錯處放大,。
對自己的問題完全看不到,。
所以和人相處的時候,。
經常都會令人很尷尬,。
又喜歡經常說話令人難堪,。
但是神很恩待我,。
有一段時間,。
分別我和不同的人都發生摩擦,。
不論是家人,朋友,弟兄姊妹,甚至同事,。
在相處上我都出現問題,。
雖然是這樣,但是我都沒有醒覺自己有問題,。
只是覺得那些人很粗魯,。
神很恩待我,。
那祂的恩待是什麼呢?。
就是那時候預備了很多會向我直話直說的人在我身邊,。
神用他們不斷地向我作出提醒,。
我和弟兄姊妹不斷地發生摩擦,。
老闆和我做PASEL工作檢討的時候又點出我的不是,。
連去看醫生都好像不經意被醫生罵我一樣,。
要我面對自己的問題,。
那段時間其實都挺辛苦的,。
但是現在回望其實神是很想我能夠結出果子,。
所以不斷地修剪我,。
祂賜給我身邊有很多塊鐵,。
所以有很多機會可以讓我和這些不同的鐵一起去磨合,。
到了現在都總算可以說和那些鐵磨出印來,。
原來神比我更緊張我的生命素質,。
當我都沒有意識到自己的問題,。
還沒有懂得自動自覺去成長結果子的時候,。
神就用不同的場景去幫助我,。
目的就是想我能夠結出屬靈果子,。
因為我們結出果子,神就會得榮耀,。
弟兄姊妹,。
神最近有沒有給困難的處境和不同的機會,。
讓你看到自己還欠缺什麼果子的特質呢?。
你又看不看到神緊張你的成長的心意?。
神期望在我們每一個人身上都能夠找到果子,。
我們結果子,父就得滿足。。
接著第二個學習,。
我看到的就是主失望因為樹有葉無果。。
看回第三節的經文的描述,。
似乎出現了一個很不合理的狀況,。
就是主耶穌為什麼會在一個不是果實收成的時候,。
卻要去尋找果子呢?。
主耶穌為什麼在不對的時候要做出這樣的要求呢?。
連我們都知道,。
生果不當做,當然不合口味,。
主耶穌沒有理由不知道,。
其實無花果樹通常在三月底到四月初的時候就會長出葉子,。
作者馬可已經形容過這棵樹是有葉子的,。
其實無花果樹一般在長葉子之前,。
是已經會長出一些綠色,。
但是還未成熟的小果類,。
而且那棵樹會呈現出不同程度的成熟度,。
