
[00:00:00.000 --> 00:00:03.480]  各位兄弟姐妹早晨 主內平安
[00:00:03.480 --> 00:00:08.800]  我們《約書亞記》講道系列已經來到《約書亞記》的第二章
[00:00:08.800 --> 00:00:12.080]  或者我們一起打開《約書亞記》第二章
[00:00:12.080 --> 00:00:15.440]  我們看這段經文
[00:00:15.440 --> 00:00:23.280]  在教會聖經教育部份第264面
[00:00:23.280 --> 00:00:25.840]  當看到《約書亞記》第二章
[00:00:25.840 --> 00:00:33.600]  我不知道當中的內容 你如果曾經讀過 有甚麼內容令你記憶很深刻呢?
[00:00:33.600 --> 00:00:37.400]  有人跟我說 一看到《約書亞記》第二章
[00:00:37.400 --> 00:00:39.640]  一想起拉合的故事的時候
[00:00:39.640 --> 00:00:43.920]  就覺得當中內容充滿了戲劇性
[00:00:43.920 --> 00:00:48.040]  如果你熟悉內容的時候 你確實會覺得也同意
[00:00:48.040 --> 00:00:51.680]  拉合這個技術是真的很戲劇化
[00:00:51.680 --> 00:00:56.200]  我甚至可以形容是一個現代的間諜片
[00:00:56.200 --> 00:00:59.200]  你看當中的內容就是形容有兩個間諜
[00:00:59.200 --> 00:01:01.800]  應該當時叫做「探子」
[00:01:01.800 --> 00:01:03.520]  就好像今天的「探蝶」
[00:01:03.520 --> 00:01:04.960]  就約書亞差派他們
[00:01:04.960 --> 00:01:08.760]  只有約書亞和這兩個「探子」知道 據原文講
[00:01:08.760 --> 00:01:11.320]  派他們去到敵方的堡壘
[00:01:11.320 --> 00:01:13.600]  是一個城鎮 就是耶利哥城
[00:01:13.600 --> 00:01:17.880]  去探聽一下敵情 探聽一下虛實
[00:01:17.880 --> 00:01:20.320]  但是這兩個「探子」一去到
[00:01:20.320 --> 00:01:24.920]  這兩個間諜一去到 沒多久就立刻被人知道他的行蹤了
[00:01:24.920 --> 00:01:27.720]  立刻派兵去追殺他
[00:01:27.720 --> 00:01:29.880]  好奇 第一個的技術就是
[00:01:29.880 --> 00:01:31.760]  他們的接頭人
[00:01:31.760 --> 00:01:34.760]  就是去到敵方的接頭人 竟然是一個女子
[00:01:34.760 --> 00:01:36.560]  還是一個妓女
[00:01:36.560 --> 00:01:39.360]  素未謀面的敵方的接頭人
[00:01:39.360 --> 00:01:43.600]  竟然願意去幫他們 收起他們
[00:01:43.600 --> 00:01:45.360]  並且獻計
[00:01:45.360 --> 00:01:50.040]  讓他們可以很安全地逃離了這個城堡
[00:01:50.040 --> 00:01:53.120]  平安地回到自己的陣地
[00:01:53.120 --> 00:01:56.320]  是不是很充滿戲劇性呢?
[00:02:20.040 --> 00:02:32.440]  聖經有關拉俠的記載
[00:02:32.440 --> 00:02:35.200]  有四卷的經書都出現
[00:02:35.200 --> 00:02:38.560]  包括舊約的《約書亞記》 我們現在看的經文
[00:02:38.560 --> 00:02:40.960]  也都包括有新約《馬太福音》
[00:02:40.960 --> 00:02:44.520]  《希伯來書》和《雅各書》
[00:02:44.520 --> 00:02:47.360]  其中《希伯來書》和《雅各書》的經文
[00:02:47.360 --> 00:02:50.360]  內容都講到拉俠的信心
[00:02:50.360 --> 00:02:53.200]  和信心所帶來的行動
[00:02:53.200 --> 00:02:56.200]  經文這樣說
[00:02:56.200 --> 00:02:58.480]  不如我們一起讀《希伯來書》第11章
[00:02:58.480 --> 00:03:01.000]  第31字 請經文
[00:03:01.000 --> 00:03:06.160]  彭卓遜 妓女拉俠友善地接待貪子
[00:03:06.160 --> 00:03:12.120]  所以沒有跟城中拒絕 信服上帝的人一同滅亡
[00:03:12.120 --> 00:03:15.080]  另外 繼續在《雅各書》的經文這樣說
[00:03:15.080 --> 00:03:18.000]  她說 可見我們不是單憑信心
[00:03:18.000 --> 00:03:20.720]  也是憑著我們所做的
[00:03:20.720 --> 00:03:26.880]  才能顯出自己跟上帝有了正確的關係
[00:03:26.880 --> 00:03:29.720]  妓女拉俠也是一個例子
[00:03:29.720 --> 00:03:31.840]  她把那些使者藏起來
[00:03:31.840 --> 00:03:36.760]  又送他們從另一條路安全逃離
[00:03:36.760 --> 00:03:44.960]  她的行動表明她跟上帝有正確的關係
[00:03:44.960 --> 00:03:47.600]  很多的聖經學者都同意
[00:03:47.600 --> 00:03:50.120]  《約書亞記》講拉俠這段經文
[00:03:50.120 --> 00:03:52.800]  不是只是在講間諜戰
[00:03:52.800 --> 00:03:57.080]  不是在討論怎樣去講大話
