
[00:00:00.000 --> 00:00:01.520]  各位電影姐妹早晨
[00:00:01.520 --> 00:00:04.200]  繼續我們《睡醒》系列三
[00:00:04.200 --> 00:00:06.000]  正確地認識自己
[00:00:06.000 --> 00:00:07.040]  下半集
[00:00:07.040 --> 00:00:11.160]  經文是在哥倫多前書三章9至23節
[00:00:11.160 --> 00:00:14.960]  在這幾年特別是經歷COVID的同時
[00:00:14.960 --> 00:00:18.000]  我們澳洲的人也都經歷房價
[00:00:18.000 --> 00:00:20.400]  那些房屋的價格不斷地上升
[00:00:20.400 --> 00:00:24.120]  因為我們這裡建築的人手嚴重的不足
[00:00:24.120 --> 00:00:26.360]  建築物價也都不斷地上升
[00:00:26.360 --> 00:00:28.360]  有很多新的樓盤
[00:00:28.360 --> 00:00:30.160]  但是仍然供不應求
[00:00:30.160 --> 00:00:34.440]  Australian Security and Investment Commission
[00:00:34.440 --> 00:00:35.560]  這個組織
[00:00:35.560 --> 00:00:38.280]  他們公佈了在2024年裏面
[00:00:38.280 --> 00:00:40.280]  你知不知道在澳洲
[00:00:40.280 --> 00:00:44.480]  超過有多少間跟建築有關的公司倒閉呢
[00:00:44.480 --> 00:00:47.560]  是三千間
[00:00:47.560 --> 00:00:50.320]  我在電視新聞裏面看到
[00:00:50.320 --> 00:00:51.480]  有一些的苦主
[00:00:51.480 --> 00:00:52.400]  有一些的家庭
[00:00:52.400 --> 00:00:53.880]  他們建新房子
[00:00:53.880 --> 00:00:54.960]  建了一點點
[00:00:54.960 --> 00:00:56.680]  但是等了一年、兩年
[00:00:57.040 --> 00:00:58.360]  還是一點點
[00:00:58.360 --> 00:01:01.040]  到最後等了一陣子
[00:01:01.040 --> 00:01:03.840]  那個建築商就倒閉了
[00:01:03.840 --> 00:01:07.440]  為什麼我們會說建樓呢
[00:01:07.440 --> 00:01:08.840]  又說建築呢
[00:01:08.840 --> 00:01:11.960]  因為今天這段經文是提到我們
[00:01:11.960 --> 00:01:16.040]  我們是神所建造的房屋
[00:01:16.040 --> 00:01:18.680]  樓價不斷上升是吧
[00:01:18.680 --> 00:01:20.640]  樓價不斷上升的同時
[00:01:20.640 --> 00:01:23.680]  也都經歷著很多建築人手不足
[00:01:23.680 --> 00:01:26.160]  以及很多建築物料的物價
[00:01:26.320 --> 00:01:27.760]  不斷上升
[00:01:27.760 --> 00:01:28.800]  那麼
[00:01:28.800 --> 00:01:31.680]  在澳洲、在柏斯
[00:01:31.680 --> 00:01:32.920]  或者在澳洲其他地方
[00:01:32.920 --> 00:01:34.520]  其實有很多新的樓盤
[00:01:34.520 --> 00:01:36.240]  但是仍然都供不應求
[00:01:36.240 --> 00:01:38.120]  所以樓價又繼續上升
[00:01:38.120 --> 00:01:40.040]  物價又繼續上升
[00:01:40.040 --> 00:01:44.480]  在Australian Security and Investment Commission
[00:01:44.480 --> 00:01:45.680]  一個機構裏面
[00:01:45.680 --> 00:01:48.040]  它公佈2024年裏面
[00:01:48.040 --> 00:01:49.880]  澳洲
[00:01:49.880 --> 00:01:51.760]  超過
