
[00:00:00.000 --> 00:00:01.960]  感謝神 今天是母親節
[00:00:01.960 --> 00:00:05.340]  先來祝福我們在座每一位的母親
[00:00:05.340 --> 00:00:10.560]  身體健康 常有主義的平安和喜樂
[00:00:10.560 --> 00:00:15.460]  真的要很感謝我們每一位的母親
[00:00:15.460 --> 00:00:17.900]  因爲無論是相職的
[00:00:17.900 --> 00:00:19.600]  即是說可能是白天工作
[00:00:19.600 --> 00:00:22.060]  晚上回到家裏要做家務
[00:00:22.060 --> 00:00:26.760]  或者是全職在家裏照顧家庭的媽媽
[00:00:26.760 --> 00:00:28.540]  都是很不容易
[00:00:28.540 --> 00:00:31.400]  家裏有不同的家庭成員
[00:00:31.400 --> 00:00:34.140]  有丈夫 也有兒女
[00:00:34.140 --> 00:00:39.440]  也有年長的父母需要我們去關愛
[00:00:39.440 --> 00:00:43.940]  有時會關注其他家庭成員的需要
[00:00:43.940 --> 00:00:47.300]  可能會忽略了自己的需要
[00:00:47.300 --> 00:00:50.500]  所以也祝福我們每一位的母親
[00:00:50.500 --> 00:00:53.940]  都能夠在神面前領受神的恩典
[00:00:53.940 --> 00:00:57.900]  身體健康 常有主義的喜樂 平安臨在
[00:00:57.900 --> 00:00:59.460]  今天我選取了《舊約》
[00:00:59.460 --> 00:01:01.800]  一個很重要的母親哈娜
[00:01:01.800 --> 00:01:03.940]  和大家分享
[00:01:03.940 --> 00:01:05.200]  哈娜在她的生命裏
[00:01:05.200 --> 00:01:07.500]  其實也經歷了一些苦困
[00:01:07.500 --> 00:01:09.000]  一些的艱難
[00:01:09.000 --> 00:01:11.000]  但是在這個艱難裏
[00:01:11.000 --> 00:01:14.300]  她有作出不一樣的抉擇
[00:01:14.300 --> 00:01:17.440]  以至她之後不單止個人
[00:01:17.440 --> 00:01:19.000]  她的家庭蒙福
[00:01:19.000 --> 00:01:22.640]  她也將祝福帶給她的民族
[00:01:22.640 --> 00:01:24.700]  帶給世界
[00:01:24.700 --> 00:01:29.500]  願意今天我們在哈娜這個故事裏一同去領受主的教導
[00:01:29.500 --> 00:01:33.400]  我們再一次一起去禱告
[00:01:33.400 --> 00:01:35.260]  天父我們去感謝禰
[00:01:35.260 --> 00:01:37.260]  禰是愛的源頭
[00:01:37.260 --> 00:01:39.340]  感謝禰賜給我們每一個弟兄姊妹
[00:01:39.340 --> 00:01:41.540]  我們都有原生的家庭
[00:01:41.540 --> 00:01:45.300]  我們有父母來愛我們 養育我們
[00:01:45.300 --> 00:01:48.040]  特別今天母親節的日子
[00:01:48.040 --> 00:01:50.460]  雖然是人所設立的
[00:01:50.460 --> 00:01:52.260]  但是藉着母親節
[00:01:52.260 --> 00:01:57.660]  我們也去思想 去感謝神禰爲我們預備母親
[00:01:57.660 --> 00:01:59.300]  去領受愛
[00:01:59.300 --> 00:02:02.300]  也知道這個愛是從神而來
[00:02:02.300 --> 00:02:04.400]  因爲禰就是愛的根源
[00:02:04.400 --> 00:02:06.900]  但願我們今天藉着禰的話語
[00:02:06.900 --> 00:02:09.000]  去祝福我們每一位的母親
[00:02:09.000 --> 00:02:13.400]  也都盼望每一個家庭在主的話語當中得蒙造就
[00:02:13.400 --> 00:02:14.900]  求主禰幫助
[00:02:14.900 --> 00:02:18.400]  禱告奉靠主耶穌基督的名字而求
[00:02:18.400 --> 00:02:21.600]  阿門
[00:02:21.600 --> 00:02:24.500]  哈娜是撒姆爾的母親
[00:02:24.500 --> 00:02:27.100]  撒姆爾出生的那個時期
[00:02:27.100 --> 00:02:31.800]  以色列人被譽爲他們是任意而行
[00:02:31.800 --> 00:02:34.200]  他們按着自己的心意
[00:02:34.200 --> 00:02:40.000]  很多時候都是離開了神的教導
[00:02:40.000 --> 00:02:43.900]  在道德層面裏面都有很多的敗壞
[00:02:43.900 --> 00:02:46.400]  而撒姆爾的長大
[00:02:46.400 --> 00:02:50.000]  他成爲了當時以色列人最後的士師
[00:02:50.000 --> 00:02:54.100]  也都成爲了偉大的先知和祭司
[00:02:54.100 --> 00:02:55.500]  在他的時期
[00:02:55.500 --> 00:02:57.500]  他按着神的旨意
