
[00:00:00.000 --> 00:00:03.820]  是的 鼎姐妹 午安
[00:00:03.820 --> 00:00:08.140]  剛才Warner提到今天是4月13日
[00:00:08.140 --> 00:00:13.000]  我都在新春期間祝賀大家
[00:00:13.000 --> 00:00:16.820]  新的一年靠主得令
[00:00:16.820 --> 00:00:22.780]  就好像進馬奔跑一樣 靠主得令
[00:00:22.780 --> 00:00:25.620]  好 鼎姐妹 我不知道對你來說
[00:00:25.620 --> 00:00:28.420]  你覺得今天的家庭裏面
[00:00:28.420 --> 00:00:32.900]  最常見的問題是什麼呢?
[00:00:32.900 --> 00:00:36.900]  會不會是同住在一間屋裏面
[00:00:36.900 --> 00:00:42.980]  但是父母和子女之間越來越沉默呢?
[00:00:42.980 --> 00:00:48.660]  又會不會是一家人坐在同一張飯桌裏面
[00:00:48.660 --> 00:00:54.260]  但是每個人都只是看著自己的手機?
[00:00:54.260 --> 00:01:01.080]  情緒化的反應取代了溫柔的對話呢?
[00:01:01.080 --> 00:01:07.800]  對我們一群在香港來到英國的弟兄姊妹來說
[00:01:07.800 --> 00:01:12.680]  我們的下一代很多都是接受英國的教育
[00:01:12.680 --> 00:01:18.460]  會不會我們都發現和我們的下一代出現了一個代溝
[00:01:18.460 --> 00:01:24.900]  令到父母和我們的孩子好像活在兩個世界一樣
[00:01:24.900 --> 00:01:29.860]  在這些張力之下 父母覺得教養很難
[00:01:29.860 --> 00:01:33.220]  兒女又覺得被誤解
[00:01:33.220 --> 00:01:37.620]  家庭覺得越來越疏離
[00:01:37.620 --> 00:01:42.840]  上次我和大家分享《已不鎖書》五章的時候
[00:01:42.840 --> 00:01:48.880]  我都分享過 保羅提到要看一個人的屬靈生命
[00:01:48.880 --> 00:01:51.980]  不是看他在教會做什麼
[00:01:51.980 --> 00:01:55.640]  而是看他在家裏是怎麼樣的
[00:01:55.640 --> 00:01:59.220]  上次就看到夫婦的關係
[00:01:59.220 --> 00:02:03.660]  今天就進入另一對的關係
[00:02:03.660 --> 00:02:07.360]  父母和子女的關係
[00:02:07.360 --> 00:02:10.560]  希望透過《已不鎖書》六章一至四節
[00:02:10.560 --> 00:02:13.300]  我們都一起去學習
[00:02:13.300 --> 00:02:18.380]  可能弟兄姊妹你會說 其實我沒有子女
[00:02:18.380 --> 00:02:24.460]  但我都很想你去留心聽今天的講道
[00:02:24.460 --> 00:02:27.380]  聽完你就會發現
[00:02:27.380 --> 00:02:30.900]  你在裏面都有一些使命要去做
[00:02:30.900 --> 00:02:33.860]  我們一起祈禱
[00:02:33.860 --> 00:02:36.740]  順著我求你去幫助我們每一位
[00:02:36.740 --> 00:02:41.740]  你讓透過今天的講道
[00:02:41.740 --> 00:02:45.540]  你幫助我們每一位弟兄姊妹體現
